rescue_route,ligand_family,rows
template_replan,BTBP_BTPhen_like_N4,38
template_replan,large_rigid_filtered_4dent,29
template_replan,BTP_like_N3,25
template_replan,aminopolycarboxylate_6dent,14
template_replan,filtered_donor_pocket_4dent,6
template_replan,compact_amide_core_3dent,4
template_replan,phosphoryl_thiophosphoryl_2dent,3
template_replan,compact_amide_core_4dent,2
template_replan,PyTri_like_N3,2
template_replan,compact_amide_core_2dent,2
template_replan,flavonol_3OH_4oxo_bidentate,1
template_replan,phosphoryl_thiophosphoryl_4dent,1
template_replan,BTTP_like_N5,1
conformer_borderline,valid_template_3dent,9
conformer_borderline,valid_template_2dent,4
conformer_sibling,valid_template_3dent,2
conformer_deep,valid_template_3dent,3
conformer_deep,valid_template_2dent,1
no_xyz_uff,valid_template_no_candidate,4
no_xyz_ligtype,valid_template_no_candidate,1
manual_review,,0
