queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,accepted_attempt,accepted_xyz_path,accepted_mol2_path,qc_class,coreCN_max_dist,gap_after_coreCN,nearest_coreCN_sig,accepted_for_clean_3d_features,ligtype_override
1,b977d7df5bfe,Ce,58,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Ce/Ce_Z58_ox3_CN8_nlig1_nitrate_b977d7df5bfe_attempt01_standard.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Ce/Ce_Z58_ox3_CN8_nlig1_nitrate_b977d7df5bfe_attempt01_standard.mol2,OK,2.546,0.1342,O81:2.141;O86:2.158;O82:2.168;O85:2.190;N79:2.505;N23:2.508;N38:2.537;N83:2.546,True,tetra_planar_bent
2,b0f064433a85,Ce,58,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Ce/Ce_Z58_ox3_CN8_nlig1_nitrate_b0f064433a85_attempt01_standard.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Ce/Ce_Z58_ox3_CN8_nlig1_nitrate_b0f064433a85_attempt01_standard.mol2,OK,2.5348,0.1598,O97:2.105;O102:2.146;O98:2.156;O101:2.176;N95:2.436;N8:2.454;N21:2.504;N99:2.535,True,tetra_planar_bent
3,b71ea25cd505,Eu,63,3,CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,"[21, 33, 34, 35]",4,8,1,nitrate,,2,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_b71ea25cd505_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_b71ea25cd505_attempt02_large_ligand_fast.mol2,OK,2.4838,0.2021,O75:2.108;O76:2.124;O71:2.130;O72:2.146;N22:2.444;N36:2.469;N69:2.475;N73:2.484,True,tetra_planar_bent
4,4c679e68d502,Eu,63,3,Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,"[11, 24, 25, 28]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_4c679e68d502_attempt01_standard.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_4c679e68d502_attempt01_standard.mol2,OK,2.491,0.1235,O92:2.107;O88:2.126;O91:2.137;O87:2.160;N12:2.373;N29:2.409;N89:2.480;N85:2.491,True,tetra_planar_bent
6,d22ea5b4507c,Eu,63,3,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,"[17, 30, 31, 34]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_d22ea5b4507c_attempt01_standard.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_d22ea5b4507c_attempt01_standard.mol2,OK,2.4919,0.1087,O110:2.094;O109:2.095;O106:2.113;O105:2.137;N18:2.324;N35:2.360;N107:2.420;N103:2.492,True,tetra_planar_bent
8,cf2925f73b64,Eu,63,3,CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,"[7, 20, 33, 34]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_cf2925f73b64_attempt01_standard.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_cf2925f73b64_attempt01_standard.mol2,OK,2.5112,0.121,O77:2.113;O81:2.118;O82:2.152;O78:2.167;N21:2.424;N8:2.431;N75:2.468;N79:2.511,True,tetra_planar_bent
9,86854fe552dc,Eu,63,3,CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,"[21, 33, 34, 35]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_86854fe552dc_attempt01_standard.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_86854fe552dc_attempt01_standard.mol2,OK,2.533,0.116,O71:2.144;O72:2.150;O75:2.152;O76:2.178;N36:2.464;N22:2.476;N69:2.506;N73:2.533,True,tetra_planar_bent
11,a1b1948ac9a0,Gd,64,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Gd/Gd_Z64_ox3_CN8_nlig1_nitrate_a1b1948ac9a0_attempt01_standard.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Gd/Gd_Z64_ox3_CN8_nlig1_nitrate_a1b1948ac9a0_attempt01_standard.mol2,OK,2.5132,0.1464,O98:2.132;O102:2.161;O97:2.161;O101:2.176;N21:2.456;N8:2.468;N95:2.511;N99:2.513,True,tetra_planar_bent
12,381edbfc03cf,Gd,64,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Gd/Gd_Z64_ox3_CN8_nlig1_nitrate_381edbfc03cf_attempt01_standard.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Gd/Gd_Z64_ox3_CN8_nlig1_nitrate_381edbfc03cf_attempt01_standard.mol2,OK,2.5179,0.1423,O81:2.107;O85:2.152;O82:2.161;O86:2.178;N23:2.399;N38:2.438;N79:2.464;N83:2.518,True,tetra_planar_bent
13,772af3795c1b,La,57,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,8,1,nitrate,,2,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/La/La_Z57_ox3_CN8_nlig1_nitrate_772af3795c1b_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/La/La_Z57_ox3_CN8_nlig1_nitrate_772af3795c1b_attempt02_large_ligand_fast.mol2,OK,2.6088,0.1185,O98:2.138;O101:2.151;O97:2.194;O102:2.288;N8:2.492;N95:2.531;N21:2.557;N99:2.609,True,tetra_planar_bent
