queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
1,b977d7df5bfe,Ce,58,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,8,1,nitrate,,data/processed/geometries_family_regenerated/template_pincer/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_d440dfd680b4_attempt02_large_ligand_fast_dup2.xyz,1,standard,1472636231,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Ce/Ce_Z58_ox3_CN8_nlig1_nitrate_b977d7df5bfe_attempt01_standard.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Ce/Ce_Z58_ox3_CN8_nlig1_nitrate_b977d7df5bfe_attempt01_standard.mol2,-3875.343502506528,,OK,nearest_coreCN_qc_ok,O81:2.141;O86:2.158;O82:2.168;O85:2.190;N79:2.505;N23:2.508;N38:2.537;N83:2.546,2.546,2.6801,0.1342,O81:2.141;O86:2.158;O82:2.168;O85:2.190;N79:2.505;N23:2.508;N38:2.537;N83:2.546;N36:2.680;N37:2.706;N39:3.256;N24:3.274;O80:3.682;O84:3.733;N27:4.716;N10:4.765
2,b0f064433a85,Ce,58,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,8,1,nitrate,,data/processed/geometries_family_regenerated/template_pincer/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_225861c739fc_attempt02_large_ligand_fast_dup2.xyz,1,standard,1868487720,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Ce/Ce_Z58_ox3_CN8_nlig1_nitrate_b0f064433a85_attempt01_standard.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Ce/Ce_Z58_ox3_CN8_nlig1_nitrate_b0f064433a85_attempt01_standard.mol2,-4274.063804112781,,OK,nearest_coreCN_qc_ok,O97:2.105;O102:2.146;O98:2.156;O101:2.176;N95:2.436;N8:2.454;N21:2.504;N99:2.535,2.5348,2.6946,0.1598,O97:2.105;O102:2.146;O98:2.156;O101:2.176;N95:2.436;N8:2.454;N21:2.504;N99:2.535;N36:2.695;N37:2.720;N7:3.221;N22:3.255;O96:3.581;O100:3.725;N38:4.680;N35:4.695
3,b71ea25cd505,Eu,63,3,CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,"[21, 33, 34, 35]",4,8,1,nitrate,,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_cf17beddcb28_attempt02_large_ligand_fast.xyz,1,standard,1468858911,40,5,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/adaptive_cn_fill/rejected/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_b71ea25cd505_attempt01_standard.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/rejected/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_b71ea25cd505_attempt01_standard.mol2,-3705.8581583633168,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O71:2.108;O76:2.121;O75:2.126;O72:2.161;N36:2.469;N22:2.475;N73:2.492;N69:2.498,2.498,2.5873,0.0893,O71:2.108;O76:2.121;O75:2.126;O72:2.161;N36:2.469;N22:2.475;N73:2.492;N69:2.498;N35:2.587;N34:2.599;N37:3.243;N23:3.260;O74:3.678;O70:3.684;N9:4.681;N26:4.687;S4:7.154;S30:7.178
3,b71ea25cd505,Eu,63,3,CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,"[21, 33, 34, 35]",4,8,1,nitrate,,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_cf17beddcb28_attempt02_large_ligand_fast.xyz,2,large_ligand_fast,1468866830,50,6,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_b71ea25cd505_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_b71ea25cd505_attempt02_large_ligand_fast.mol2,-3706.269973418297,,OK,nearest_coreCN_qc_ok,O75:2.108;O76:2.124;O71:2.130;O72:2.146;N22:2.444;N36:2.469;N69:2.475;N73:2.484,2.4838,2.6859,0.2021,O75:2.108;O76:2.124;O71:2.130;O72:2.146;N22:2.444;N36:2.469;N69:2.475;N73:2.484;N34:2.686;N35:2.689;N23:3.158;N37:3.252;O70:3.631;O74:3.671;N9:4.670;N26:4.679;S30:7.077;S4:7.167
4,4c679e68d502,Eu,63,3,Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,"[11, 24, 25, 28]",4,8,1,nitrate,,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_75a002a31497_attempt01_standard.xyz,1,standard,1371599608,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_4c679e68d502_attempt01_standard.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_4c679e68d502_attempt01_standard.mol2,-4047.78113683877,,OK,nearest_coreCN_qc_ok,O92:2.107;O88:2.126;O91:2.137;O87:2.160;N12:2.373;N29:2.409;N89:2.480;N85:2.491,2.491,2.6145,0.1235,O92:2.107;O88:2.126;O91:2.137;O87:2.160;N12:2.373;N29:2.409;N89:2.480;N85:2.491;N26:2.615;N25:2.642;N13:3.096;N30:3.152;O86:3.664;O90:3.670;N16:4.614;N33:4.627
5,02b320c2cae4,Eu,63,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,8,1,nitrate,,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_59647d1e3834_attempt01_standard.xyz,1,standard,449178764,40,5,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/adaptive_cn_fill/rejected/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_02b320c2cae4_attempt01_standard.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/rejected/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_02b320c2cae4_attempt01_standard.mol2,-3874.4609080143578,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O85:2.135;O81:2.147;O86:2.150;O82:2.191;N38:2.478;N23:2.494;N83:2.518;N79:2.543,2.5428,2.5971,0.0543,O85:2.135;O81:2.147;O86:2.150;O82:2.191;N38:2.478;N23:2.494;N83:2.518;N79:2.543;N37:2.597;N36:2.597;N39:3.257;N24:3.299;O84:3.704;O80:3.727;N27:4.679;N10:4.686
5,02b320c2cae4,Eu,63,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,8,1,nitrate,,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_59647d1e3834_attempt01_standard.xyz,2,large_ligand_fast,449186683,50,6,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/adaptive_cn_fill/rejected/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_02b320c2cae4_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/rejected/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_02b320c2cae4_attempt02_large_ligand_fast.mol2,-3874.3467661120935,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O85:2.158;O81:2.166;O82:2.174;O86:2.183;N38:2.478;N23:2.506;N79:2.534;N83:2.549,2.5486,2.6173,0.0687,O85:2.158;O81:2.166;O82:2.174;O86:2.183;N38:2.478;N23:2.506;N79:2.534;N83:2.549;N36:2.617;N37:2.631;N39:3.212;N24:3.280;O80:3.711;O84:3.732;N10:4.685;N27:4.685
6,d22ea5b4507c,Eu,63,3,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,"[17, 30, 31, 34]",4,8,1,nitrate,,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_066e131bab03_attempt02_large_ligand_fast.xyz,1,standard,296711278,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_d22ea5b4507c_attempt01_standard.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_d22ea5b4507c_attempt01_standard.mol2,-4564.601992077464,,OK,nearest_coreCN_qc_ok,O110:2.094;O109:2.095;O106:2.113;O105:2.137;N18:2.324;N35:2.360;N107:2.420;N103:2.492,2.4919,2.6005,0.1087,O110:2.094;O109:2.095;O106:2.113;O105:2.137;N18:2.324;N35:2.360;N107:2.420;N103:2.492;N32:2.601;N31:2.646;N19:3.067;N36:3.208;O108:3.585;O104:3.676;N39:4.543;N22:4.574
7,3c25127f39bd,Eu,63,3,CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,"[22, 35, 38, 39]",4,8,1,nitrate,,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_35e0c00b8a88_attempt01_standard.xyz,1,standard,697715891,40,5,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/adaptive_cn_fill/rejected/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_3c25127f39bd_attempt01_standard.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/rejected/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_3c25127f39bd_attempt01_standard.mol2,-3991.7721005479366,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O87:2.112;O83:2.128;O88:2.131;O84:2.169;N40:2.472;N85:2.489;N81:2.504;N23:2.506,2.5061,2.5645,0.0584,O87:2.112;O83:2.128;O88:2.131;O84:2.169;N40:2.472;N85:2.489;N81:2.504;N23:2.506;N39:2.565;N36:2.584;N41:3.240;N24:3.297;O86:3.677;O82:3.680;N10:4.683;N27:4.716
7,3c25127f39bd,Eu,63,3,CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,"[22, 35, 38, 39]",4,8,1,nitrate,,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_35e0c00b8a88_attempt01_standard.xyz,2,large_ligand_fast,697723810,50,6,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/adaptive_cn_fill/rejected/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_3c25127f39bd_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/adaptive_cn_fill/rejected/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_3c25127f39bd_attempt02_large_ligand_fast.mol2,-3991.772800364179,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O88:2.112;O83:2.124;O87:2.139;O84:2.171;N40:2.485;N85:2.495;N23:2.497;N81:2.504,2.5038,2.5692,0.0655,O88:2.112;O83:2.124;O87:2.139;O84:2.171;N40:2.485;N85:2.495;N23:2.497;N81:2.504;N39:2.569;N36:2.584;N41:3.242;N24:3.289;O82:3.680;O86:3.683;N10:4.695;N27:4.705
