queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
1,9ce4f4d1c0d5,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23]",3,9,3,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_9ce4f4d1c0d5.xyz,1,large_ligand_fast,885327498,40,5,250,-11,build_failed,False,,,,,,BUILD_FAILED,exit-11,,,,,
1,9ce4f4d1c0d5,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23]",3,9,3,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_9ce4f4d1c0d5.xyz,2,standard,885335417,50,6,250,-6,build_failed,False,,,,,double free or corruption (!prev),BUILD_FAILED,double free or corruption (!prev),,,,,
2,f32387e7edd6,Eu,63,3,CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,"[5, 11, 14]",3,9,3,nitrate,63|CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_f32387e7edd6.xyz,1,large_ligand_fast,1355462724,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_family_regenerated/conformer_borderline/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_f32387e7edd6_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/conformer_borderline/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_f32387e7edd6_attempt01_large_ligand_fast.mol2,-6090.089510734039,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O138:2.439;S141:2.723;S6:2.800;S15:2.886;O12:2.904;S69:3.113;S78:3.378;S132:3.578;P140:3.700,3.7003,3.7454,0.0451,O138:2.439;S141:2.723;S6:2.800;S15:2.886;O12:2.904;S69:3.113;S78:3.378;S132:3.578;P140:3.700;O75:3.745;P5:3.847;P14:4.090;P131:4.158;P68:4.431;P77:4.887
2,f32387e7edd6,Eu,63,3,CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,"[5, 11, 14]",3,9,3,nitrate,63|CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_f32387e7edd6.xyz,2,standard,1355470643,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_family_regenerated/conformer_borderline/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_f32387e7edd6_attempt02_standard.xyz,data/processed/geometries_family_regenerated/conformer_borderline/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_f32387e7edd6_attempt02_standard.mol2,-6091.651595849754,,BORDERLINE_LONGISH,coreCN_max_dist>2.95,S6:2.743;S141:2.757;O12:2.769;S69:2.876;S15:2.889;S132:2.912;O75:2.955;O138:2.965;S78:2.966,2.9662,3.8223,0.8561,S6:2.743;S141:2.757;O12:2.769;S69:2.876;S15:2.889;S132:2.912;O75:2.955;O138:2.965;S78:2.966;P140:3.822;P68:3.879;P5:3.921;P14:4.011;P131:4.071;P77:4.149
3,e9fcac340ff5,Eu,63,3,S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,"[0, 3, 6]",3,9,3,water,63|S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_water_e9fcac340ff5.xyz,1,large_ligand_fast,2146975429,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_family_regenerated/conformer_borderline/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_water_e9fcac340ff5_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/conformer_borderline/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_water_e9fcac340ff5_attempt01_large_ligand_fast.mol2,-6817.877365626225,,FAIL_LONG_BOND,coreCN_max_dist>3.10,S111:2.822;O59:2.844;S56:2.863;S7:2.888;S117:2.892;S62:2.910;S1:2.960;O4:2.992;O114:3.116,3.1163,3.9022,0.7859,S111:2.822;O59:2.844;S56:2.863;S7:2.888;S117:2.892;S62:2.910;S1:2.960;O4:2.992;O114:3.116;P61:3.902;P112:3.970;P57:3.996;P6:4.047;P2:4.065;P116:4.249
3,e9fcac340ff5,Eu,63,3,S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,"[0, 3, 6]",3,9,3,water,63|S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_water_e9fcac340ff5.xyz,2,standard,2146983348,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_family_regenerated/conformer_borderline/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_water_e9fcac340ff5_attempt02_standard.xyz,data/processed/geometries_family_regenerated/conformer_borderline/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_water_e9fcac340ff5_attempt02_standard.mol2,-6818.356925452327,,FAIL_LONG_BOND,coreCN_max_dist>3.10,S1:2.819;S117:2.836;S111:2.837;O4:2.863;S56:2.871;O59:2.884;S7:2.911;S62:3.045;O114:3.460,3.4603,3.8247,0.3644,S1:2.819;S117:2.836;S111:2.837;O4:2.863;S56:2.871;O59:2.884;S7:2.911;S62:3.045;O114:3.460;P2:3.825;P57:3.862;P6:4.000;P116:4.083;P61:4.084;P112:4.144
4,ee1036964dae,Eu,63,3,CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,"[5, 11, 14]",3,9,3,water,63|CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_water_ee1036964dae.xyz,1,large_ligand_fast,1230146946,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_family_regenerated/conformer_borderline/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_water_ee1036964dae_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/conformer_borderline/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_water_ee1036964dae_attempt01_large_ligand_fast.mol2,-6091.719947494901,,FAIL_LONG_BOND,coreCN_max_dist>3.10,S6:2.807;S141:2.810;S69:2.884;S132:2.887;O138:2.892;S78:2.899;S15:2.921;O75:3.031;O12:3.604,3.604,3.7991,0.1951,S6:2.807;S141:2.810;S69:2.884;S132:2.887;O138:2.892;S78:2.899;S15:2.921;O75:3.031;O12:3.604;P140:3.799;P77:4.006;P131:4.066;P68:4.092;P5:4.101;P14:4.400
4,ee1036964dae,Eu,63,3,CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,"[5, 11, 14]",3,9,3,water,63|CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_water_ee1036964dae.xyz,2,standard,1230154865,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_family_regenerated/conformer_borderline/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_water_ee1036964dae_attempt02_standard.xyz,data/processed/geometries_family_regenerated/conformer_borderline/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_water_ee1036964dae_attempt02_standard.mol2,-6092.295485542129,,FAIL_LONG_BOND,coreCN_max_dist>3.10,S132:2.851;S15:2.856;S69:2.861;S78:2.873;O138:2.877;S141:2.906;S6:2.915;O75:2.948;O12:3.320,3.3202,3.8068,0.4866,S132:2.851;S15:2.856;S69:2.861;S78:2.873;O138:2.877;S141:2.906;S6:2.915;O75:2.948;O12:3.320;P68:3.807;P131:3.856;P140:3.979;P14:3.984;P77:4.026;P5:4.208
5,33c10b1775e6,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1,"[18, 28]",2,9,4,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6.xyz,1,large_ligand_fast,276999379,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_family_regenerated/conformer_borderline/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/conformer_borderline/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6_attempt01_large_ligand_fast.mol2,-9505.488651439378,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O226:2.204;O88:2.404;O157:2.515;O19:2.613;N29:2.824;O277:2.861;N98:2.955;N167:2.967;N236:3.574,3.5738,4.3862,0.8125,O226:2.204;O88:2.404;O157:2.515;O19:2.613;N29:2.824;O277:2.861;N98:2.955;N167:2.967;N236:3.574;N216:4.386;N78:4.486;N147:4.712;N9:4.732
5,33c10b1775e6,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1,"[18, 28]",2,9,4,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6.xyz,2,standard,277007298,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_family_regenerated/conformer_borderline/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6_attempt02_standard.xyz,data/processed/geometries_family_regenerated/conformer_borderline/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6_attempt02_standard.mol2,-9505.288360147071,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O226:2.296;O157:2.348;O19:2.380;O88:2.433;O277:2.660;N167:2.700;N236:2.746;N29:2.789;N98:3.182,3.1817,4.4622,1.2805,O226:2.296;O157:2.348;O19:2.380;O88:2.433;O277:2.660;N167:2.700;N236:2.746;N29:2.789;N98:3.182;N147:4.462;N216:4.465;N9:4.503;N78:4.683
