queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
1,3b2820db6fc4,Ce,58,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_8891c25d4c67.xyz,1,standard,1561546308,40,5,250,8,build_failed,False,tetra_trigonal_pyramidal,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
1,3b2820db6fc4,Ce,58,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_8891c25d4c67.xyz,2,large_ligand_fast,1561554227,50,6,250,8,build_failed,False,tetra_trigonal_pyramidal,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
2,60e55854a033,Dy,66,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]",4,8,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig2_nitrate_4ca0b6f30178.xyz,1,standard,1266810915,40,5,250,8,build_failed,False,tetra_trigonal_pyramidal,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
2,60e55854a033,Dy,66,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]",4,8,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig2_nitrate_4ca0b6f30178.xyz,2,large_ligand_fast,1266818834,50,6,250,8,build_failed,False,tetra_trigonal_pyramidal,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
3,1a0470dc9c6f,Eu,63,3,CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,"[10, 18, 30]",3,9,3,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_1f1106359435.xyz,1,standard,362468397,40,5,250,124,failed_timeout,False,tri_mer_bent,,,,exceeded 3000s,BUILD_FAILED,timeout,,,,,
3,1a0470dc9c6f,Eu,63,3,CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,"[10, 18, 30]",3,9,3,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_1f1106359435.xyz,2,large_ligand_fast,362476316,50,6,250,0,accepted,True,tri_mer_bent,data/processed/geometries_family_regenerated/template_amide_core/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_1a0470dc9c6f_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_amide_core/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_1a0470dc9c6f_attempt02_large_ligand_fast.mol2,-7777.138977385382,,OK,nearest_coreCN_qc_ok,O137:2.124;O19:2.126;O145:2.214;O74:2.280;O11:2.301;O82:2.314;O94:2.519;O31:2.600;O157:2.628,2.6283,4.2067,1.5785,O137:2.124;O19:2.126;O145:2.214;O74:2.280;O11:2.301;O82:2.314;O94:2.519;O31:2.600;O157:2.628;N83:4.207;N20:4.305;N135:4.355;N146:4.441;N72:4.455;N9:4.473;O78:6.526;O15:6.554;O141:6.597
4,eb62218d1b12,Eu,63,3,CCCCCCCCOc1cc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)nc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)c1,"[13, 26, 29]",3,9,3,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_dfa51784b875.xyz,1,standard,247916455,40,5,250,0,accepted,True,tri_mer_bent,data/processed/geometries_family_regenerated/template_amide_core/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_eb62218d1b12_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_amide_core/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_eb62218d1b12_attempt01_standard.mol2,-10313.20367132198,,OK,nearest_coreCN_qc_ok,O218:2.252;O202:2.295;O108:2.321;O14:2.327;O124:2.347;N215:2.458;O30:2.485;N121:2.521;N27:2.638,2.638,4.3488,1.7109,O218:2.252;O202:2.295;O108:2.321;O14:2.327;O124:2.347;N215:2.458;O30:2.485;N121:2.521;N27:2.638;N219:4.349;N109:4.430;N125:4.431;N203:4.473;N15:4.474;N31:4.647;O103:6.487;O197:6.520;O9:6.549
5,da66a3b16f13,Eu,63,3,CCCCCCCCOc1cc(C(=O)Nc2ccc(C(C)(C)C)cc2)nc(C(=O)Nc2ccc(C(C)(C)C)cc2)c1,"[13, 25, 28]",3,9,3,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_ecdd71aa88de.xyz,1,standard,1256605691,40,5,250,0,accepted,True,tri_mer_bent,data/processed/geometries_family_regenerated/template_amide_core/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_da66a3b16f13_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_amide_core/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_da66a3b16f13_attempt01_standard.mol2,-9796.989294529829,,OK,nearest_coreCN_qc_ok,O205:2.233;O117:2.271;O190:2.291;O14:2.297;O102:2.318;N202:2.372;N26:2.424;O29:2.436;N114:2.534,2.5344,4.1551,1.6207,O205:2.233;O117:2.271;O190:2.291;O14:2.297;O102:2.318;N202:2.372;N26:2.424;O29:2.436;N114:2.534;N30:4.155;N206:4.224;N118:4.354;N191:4.365;N15:4.438;N103:4.485;O185:6.379;O9:6.492;O97:6.577
6,03b447c331ab,Eu,63,3,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,"[11, 23]",2,9,4,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_fb46283268e8.xyz,1,standard,451799171,40,5,250,-11,build_failed,False,bi_cis_chelating,,,,,BUILD_FAILED,exit-11,,,,,
6,03b447c331ab,Eu,63,3,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,"[11, 23]",2,9,4,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_fb46283268e8.xyz,2,large_ligand_fast,451807090,50,6,250,-6,build_failed,False,bi_cis_chelating,,,,free(): corrupted unsorted chunks,BUILD_FAILED,free(): corrupted unsorted chunks,,,,,
