queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
1,7f67dd10b8c9,Ce,58,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 4, 7, 10, 13, 17]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_1deb3f946bab.xyz,1,standard,1121549704,40,5,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
1,7f67dd10b8c9,Ce,58,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 4, 7, 10, 13, 17]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_1deb3f946bab.xyz,2,large_ligand_deep,1121557623,50,6,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
2,1dffbb101d5b,Ce,58,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 4, 7, 15, 18, 22]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_6774552a35e9.xyz,1,standard,827473878,40,5,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
2,1dffbb101d5b,Ce,58,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 4, 7, 15, 18, 22]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_6774552a35e9.xyz,2,large_ligand_deep,827481797,50,6,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
3,2b190032c56e,Dy,66,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 4, 7, 10, 13, 17]",6,8,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_932ef4e2c665.xyz,1,standard,1555876422,40,5,250,0,accepted,True,hexa_octahedral,data/processed/geometries_family_regenerated/template_aminopolycarboxylate/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_2b190032c56e_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_aminopolycarboxylate/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_2b190032c56e_attempt01_standard.mol2,-2186.62275843967,,OK,nearest_coreCN_qc_ok,O40:2.018;O41:2.035;O1:2.172;O14:2.270;O8:2.271;O18:2.309;N38:2.383;N5:2.619,2.6193,2.7323,0.113,O40:2.018;O41:2.035;O1:2.172;O14:2.270;O8:2.271;O18:2.309;N38:2.383;N5:2.619;N11:2.732;O39:3.543;O3:4.121;O19:4.373;O15:4.420
4,c83f2b866c76,Eu,63,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 4, 7, 10, 13, 17]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_28e521f57d3b.xyz,1,standard,419186473,40,5,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
4,c83f2b866c76,Eu,63,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 4, 7, 10, 13, 17]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_28e521f57d3b.xyz,2,large_ligand_deep,419194392,50,6,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
5,644790613fc3,Eu,63,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 4, 7, 15, 18, 22]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_95358dc8e1c2.xyz,1,standard,45395096,40,5,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
5,644790613fc3,Eu,63,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 4, 7, 15, 18, 22]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_95358dc8e1c2.xyz,2,large_ligand_deep,45403015,50,6,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
6,16266565b918,Gd,64,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 4, 7, 10, 13, 17]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_797b56c554e7.xyz,1,standard,1087555339,40,5,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
6,16266565b918,Gd,64,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 4, 7, 10, 13, 17]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_797b56c554e7.xyz,2,large_ligand_deep,1087563258,50,6,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
7,a393be50ce40,Gd,64,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 4, 7, 15, 18, 22]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_98f86a1f1a95.xyz,1,standard,460377478,40,5,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
7,a393be50ce40,Gd,64,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 4, 7, 15, 18, 22]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_98f86a1f1a95.xyz,2,large_ligand_deep,460385397,50,6,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
8,7a5f301c3304,La,57,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 4, 7, 15, 18, 22]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_nitrate_448f0760f6e6.xyz,1,standard,1590045402,40,5,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
8,7a5f301c3304,La,57,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 4, 7, 15, 18, 22]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_nitrate_448f0760f6e6.xyz,2,large_ligand_deep,1590053321,50,6,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
9,6a3dfa68892d,La,57,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 4, 7, 10, 13, 17]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_nitrate_d4d6b8c18118.xyz,1,standard,13766316,40,5,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
9,6a3dfa68892d,La,57,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 4, 7, 10, 13, 17]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_nitrate_d4d6b8c18118.xyz,2,large_ligand_deep,13774235,50,6,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
10,f89953d575cc,Nd,60,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 4, 7, 10, 13, 17]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_08ad5b34d70c.xyz,1,standard,1973292704,40,5,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
10,f89953d575cc,Nd,60,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 4, 7, 10, 13, 17]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_08ad5b34d70c.xyz,2,large_ligand_deep,1973300623,50,6,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
11,18ebc2904075,Nd,60,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 4, 7, 15, 18, 22]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_ac16f7a06741.xyz,1,standard,382936240,40,5,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
11,18ebc2904075,Nd,60,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 4, 7, 15, 18, 22]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_ac16f7a06741.xyz,2,large_ligand_deep,382944159,50,6,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
12,e776bfd65d62,Pr,59,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 4, 7, 15, 18, 22]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_1bd312352a39.xyz,1,standard,187708696,40,5,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
12,e776bfd65d62,Pr,59,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 4, 7, 15, 18, 22]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_1bd312352a39.xyz,2,large_ligand_deep,187716615,50,6,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
13,08e984832865,Pr,59,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 4, 7, 10, 13, 17]",6,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_ee16c94c1ba9.xyz,1,standard,2020213949,40,5,250,8,build_failed,False,hexa_octahedral,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
