queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,accepted_attempt,accepted_xyz_path,accepted_mol2_path,qc_class,coreCN_max_dist,gap_after_coreCN,nearest_coreCN_sig,accepted_for_clean_3d_features,ligtype_override
2,767120592b2e,Ce,58,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,9,1,water,,1,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Ce/Ce_Z58_ox3_CN9_nlig1_water_767120592b2e_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Ce/Ce_Z58_ox3_CN9_nlig1_water_767120592b2e_attempt01_large_ligand_fast.mol2,OK,2.7607,1.767,O52:2.393;O111:2.404;O60:2.445;N54:2.465;N57:2.474;O117:2.641;O120:2.666;O123:2.717;O114:2.761,True,tetra_planar_bent
3,2a517d56ff41,Dy,66,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_2a517d56ff41_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_2a517d56ff41_attempt01_large_ligand_fast.mol2,OK,2.4613,0.1337,O118:2.057;O117:2.071;O114:2.086;O113:2.114;N115:2.375;N111:2.375;O60:2.420;O52:2.461,True,tetra_planar_bent
4,ae268fc436f5,Dy,66,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,8,1,water,,1,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_water_ae268fc436f5_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_water_ae268fc436f5_attempt01_large_ligand_fast.mol2,OK,2.6135,1.8749,O52:2.350;O60:2.408;O120:2.442;N57:2.444;N54:2.447;O117:2.527;O114:2.546;O111:2.614,True,tetra_planar_bent
5,07e48b9adbd1,Er,68,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Er/Er_Z68_ox3_CN8_nlig1_nitrate_07e48b9adbd1_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Er/Er_Z68_ox3_CN8_nlig1_nitrate_07e48b9adbd1_attempt01_large_ligand_fast.mol2,OK,2.4421,0.1573,O118:2.063;O113:2.078;O117:2.096;O114:2.147;O60:2.355;O52:2.392;N115:2.440;N111:2.442,True,tetra_planar_bent
6,99b569fa6f64,Er,68,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,8,1,water,,1,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Er/Er_Z68_ox3_CN8_nlig1_water_99b569fa6f64_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Er/Er_Z68_ox3_CN8_nlig1_water_99b569fa6f64_attempt01_large_ligand_fast.mol2,OK,2.5978,1.9143,O52:2.378;O60:2.408;O120:2.419;N54:2.447;N57:2.461;O117:2.536;O114:2.571;O111:2.598,True,tetra_planar_bent
8,5355a09ac181,Eu,63,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,9,1,water,,1,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_water_5355a09ac181_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_water_5355a09ac181_attempt01_large_ligand_fast.mol2,OK,2.8594,1.6098,O52:2.326;O60:2.390;N57:2.490;N54:2.502;O111:2.504;O114:2.575;O117:2.589;O120:2.667;O123:2.859,True,tetra_planar_bent
10,37a7e6578c98,Gd,64,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,9,1,water,,1,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Gd/Gd_Z64_ox3_CN9_nlig1_water_37a7e6578c98_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Gd/Gd_Z64_ox3_CN9_nlig1_water_37a7e6578c98_attempt01_large_ligand_fast.mol2,OK,2.7942,1.7022,O60:2.341;O52:2.394;O111:2.425;N57:2.439;N54:2.459;O117:2.545;O120:2.752;O123:2.772;O114:2.794,True,tetra_planar_bent
11,75c4380e37c9,Ho,67,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_75c4380e37c9_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_75c4380e37c9_attempt01_large_ligand_fast.mol2,OK,2.4566,0.1635,O117:2.079;O113:2.100;O118:2.112;O114:2.148;O60:2.397;O52:2.408;N111:2.449;N115:2.457,True,tetra_planar_bent
12,45a08ce57e6e,Ho,67,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,8,1,water,,1,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_water_45a08ce57e6e_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_water_45a08ce57e6e_attempt01_large_ligand_fast.mol2,OK,2.6503,1.8758,O60:2.357;O52:2.392;O114:2.438;N54:2.527;N57:2.538;O117:2.552;O111:2.586;O120:2.650,True,tetra_planar_bent
14,a76a8b802706,La,57,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,9,1,water,,1,data/processed/geometries_family_regenerated/template_large_rigid/accepted/La/La_Z57_ox3_CN9_nlig1_water_a76a8b802706_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/La/La_Z57_ox3_CN9_nlig1_water_a76a8b802706_attempt01_large_ligand_fast.mol2,OK,2.842,1.7195,O60:2.441;N57:2.473;N54:2.481;O52:2.499;O111:2.510;O120:2.604;O114:2.662;O117:2.690;O123:2.842,True,tetra_planar_bent
15,08140b63d6f3,Lu,71,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Lu/Lu_Z71_ox3_CN8_nlig1_nitrate_08140b63d6f3_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Lu/Lu_Z71_ox3_CN8_nlig1_nitrate_08140b63d6f3_attempt01_large_ligand_fast.mol2,OK,2.3847,0.2045,O113:2.029;O117:2.031;O118:2.031;O114:2.135;N115:2.357;O60:2.367;O52:2.375;N111:2.385,True,tetra_planar_bent
16,727bfd0c6ac8,Lu,71,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,8,1,water,,1,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Lu/Lu_Z71_ox3_CN8_nlig1_water_727bfd0c6ac8_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Lu/Lu_Z71_ox3_CN8_nlig1_water_727bfd0c6ac8_attempt01_large_ligand_fast.mol2,OK,2.59,1.8904,O120:2.339;O60:2.347;O52:2.375;N54:2.395;N57:2.407;O117:2.442;O114:2.528;O111:2.590,True,tetra_planar_bent
18,c08199fcc06a,Nd,60,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,9,1,water,,1,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Nd/Nd_Z60_ox3_CN9_nlig1_water_c08199fcc06a_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Nd/Nd_Z60_ox3_CN9_nlig1_water_c08199fcc06a_attempt01_large_ligand_fast.mol2,OK,2.7525,1.7539,O60:2.366;O52:2.425;O111:2.443;N57:2.449;N54:2.483;O117:2.560;O123:2.685;O114:2.741;O120:2.752,True,tetra_planar_bent
19,880bcc070ebf,Nd,60,3,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,"[26, 28, 31, 34]",4,9,1,water,,1,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Nd/Nd_Z60_ox3_CN9_nlig1_water_880bcc070ebf_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Nd/Nd_Z60_ox3_CN9_nlig1_water_880bcc070ebf_attempt01_large_ligand_fast.mol2,OK,2.6914,1.6774,O27:2.238;O35:2.428;O181:2.428;O175:2.496;O169:2.561;O172:2.574;O29:2.647;O32:2.672;O178:2.691,True,tetra_planar_bent
21,9edd30d43217,Pr,59,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,9,1,water,,1,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Pr/Pr_Z59_ox3_CN9_nlig1_water_9edd30d43217_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Pr/Pr_Z59_ox3_CN9_nlig1_water_9edd30d43217_attempt01_large_ligand_fast.mol2,OK,2.7152,1.8121,O52:2.381;O60:2.428;O111:2.475;O120:2.503;N57:2.514;N54:2.516;O117:2.635;O114:2.704;O123:2.715,True,tetra_planar_bent
23,cd4e4f1ad90f,Sm,62,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,9,1,water,,1,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Sm/Sm_Z62_ox3_CN9_nlig1_water_cd4e4f1ad90f_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Sm/Sm_Z62_ox3_CN9_nlig1_water_cd4e4f1ad90f_attempt01_large_ligand_fast.mol2,OK,2.7429,1.7442,O60:2.370;O52:2.404;N57:2.427;O111:2.439;N54:2.440;O117:2.529;O120:2.605;O123:2.742;O114:2.743,True,tetra_planar_bent
24,720248d0b7c3,Tb,65,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Tb/Tb_Z65_ox3_CN8_nlig1_nitrate_720248d0b7c3_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Tb/Tb_Z65_ox3_CN8_nlig1_nitrate_720248d0b7c3_attempt01_large_ligand_fast.mol2,OK,2.4966,0.1474,O118:2.071;O117:2.101;O114:2.107;O113:2.158;O60:2.363;O52:2.387;N115:2.433;N111:2.497,True,tetra_planar_bent
