queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
1,efb3bcbad38f,Ce,58,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_23bc11341179.xyz,1,large_ligand_fast,1034757039,40,5,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_efb3bcbad38f_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_efb3bcbad38f_attempt01_large_ligand_fast.mol2,-5368.419596897907,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O113:2.134;O114:2.138;O117:2.149;O118:2.225;N115:2.333;O52:2.377;N111:2.486;O60:2.488;N54:2.584,2.5838,2.6763,0.0925,O113:2.134;O114:2.138;O117:2.149;O118:2.225;N115:2.333;O52:2.377;N111:2.486;O60:2.488;N54:2.584;N57:2.676;O119:2.965;O116:3.303;O112:3.668;N44:4.514;N7:4.670
1,efb3bcbad38f,Ce,58,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_23bc11341179.xyz,2,large_ligand_deep,1034764958,50,6,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_efb3bcbad38f_attempt02_large_ligand_deep.xyz,data/processed/geometries_family_regenerated/template_large_rigid/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_efb3bcbad38f_attempt02_large_ligand_deep.mol2,-5367.933133546529,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O117:2.112;O118:2.147;O114:2.163;O113:2.181;O60:2.327;N115:2.484;N111:2.536;N57:2.556;O52:2.577,2.5767,2.5903,0.0136,O117:2.112;O118:2.147;O114:2.163;O113:2.181;O60:2.327;N115:2.484;N111:2.536;N57:2.556;O52:2.577;O119:2.590;N54:2.669;O116:3.676;O112:3.730;N7:4.433;N44:4.732
2,767120592b2e,Ce,58,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,9,1,water,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_water_1e103e29e69e.xyz,1,large_ligand_fast,749893012,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Ce/Ce_Z58_ox3_CN9_nlig1_water_767120592b2e_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Ce/Ce_Z58_ox3_CN9_nlig1_water_767120592b2e_attempt01_large_ligand_fast.mol2,-5075.290328250595,,OK,nearest_coreCN_qc_ok,O52:2.393;O111:2.404;O60:2.445;N54:2.465;N57:2.474;O117:2.641;O120:2.666;O123:2.717;O114:2.761,2.7607,4.5277,1.767,O52:2.393;O111:2.404;O60:2.445;N54:2.465;N57:2.474;O117:2.641;O120:2.666;O123:2.717;O114:2.761;N44:4.528;N7:4.573
3,2a517d56ff41,Dy,66,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,8,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_af2a56f162b8.xyz,1,large_ligand_fast,1717657320,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_2a517d56ff41_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_2a517d56ff41_attempt01_large_ligand_fast.mol2,-5227.682458193476,,OK,nearest_coreCN_qc_ok,O118:2.057;O117:2.071;O114:2.086;O113:2.114;N115:2.375;N111:2.375;O60:2.420;O52:2.461,2.4613,2.595,0.1337,O118:2.057;O117:2.071;O114:2.086;O113:2.114;N115:2.375;N111:2.375;O60:2.420;O52:2.461;N54:2.595;N57:2.626;O112:3.477;O116:3.512;N44:4.586;N7:4.597
4,ae268fc436f5,Dy,66,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,8,1,water,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig1_water_a61bb065986b.xyz,1,large_ligand_fast,1936035472,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_water_ae268fc436f5_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_water_ae268fc436f5_attempt01_large_ligand_fast.mol2,-4934.671291251289,,OK,nearest_coreCN_qc_ok,O52:2.350;O60:2.408;O120:2.442;N57:2.444;N54:2.447;O117:2.527;O114:2.546;O111:2.614,2.6135,4.4884,1.8749,O52:2.350;O60:2.408;O120:2.442;N57:2.444;N54:2.447;O117:2.527;O114:2.546;O111:2.614;N44:4.488;N7:4.546
5,07e48b9adbd1,Er,68,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,8,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Er/Er_Z68_ox3_CN8_nlig1_nitrate_e95e58f27630.xyz,1,large_ligand_fast,100564210,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Er/Er_Z68_ox3_CN8_nlig1_nitrate_07e48b9adbd1_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Er/Er_Z68_ox3_CN8_nlig1_nitrate_07e48b9adbd1_attempt01_large_ligand_fast.mol2,-5227.097487849595,,OK,nearest_coreCN_qc_ok,O118:2.063;O113:2.078;O117:2.096;O114:2.147;O60:2.355;O52:2.392;N115:2.440;N111:2.442,2.4421,2.5993,0.1573,O118:2.063;O113:2.078;O117:2.096;O114:2.147;O60:2.355;O52:2.392;N115:2.440;N111:2.442;N57:2.599;N54:2.611;O112:3.599;O116:3.626;N7:4.524;N44:4.548
6,99b569fa6f64,Er,68,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,8,1,water,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Er/Er_Z68_ox3_CN8_nlig1_water_7672a8a7b733.xyz,1,large_ligand_fast,1695556665,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Er/Er_Z68_ox3_CN8_nlig1_water_99b569fa6f64_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Er/Er_Z68_ox3_CN8_nlig1_water_99b569fa6f64_attempt01_large_ligand_fast.mol2,-4934.398743011601,,OK,nearest_coreCN_qc_ok,O52:2.378;O60:2.408;O120:2.419;N54:2.447;N57:2.461;O117:2.536;O114:2.571;O111:2.598,2.5978,4.5122,1.9143,O52:2.378;O60:2.408;O120:2.419;N54:2.447;N57:2.461;O117:2.536;O114:2.571;O111:2.598;N44:4.512;N7:4.569
7,e5b3e79347b5,Eu,63,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_2a477ef1f0f3.xyz,1,large_ligand_fast,1959135468,40,5,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_e5b3e79347b5_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_e5b3e79347b5_attempt01_large_ligand_fast.mol2,-5367.171628290875,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O118:2.072;O117:2.101;O114:2.157;O113:2.184;O60:2.296;N115:2.408;O119:2.521;N111:2.524;N57:2.563,2.5632,2.5794,0.0162,O118:2.072;O117:2.101;O114:2.157;O113:2.184;O60:2.296;N115:2.408;O119:2.521;N111:2.524;N57:2.563;O52:2.579;N54:2.620;O116:3.574;O112:3.718;N7:4.389;N44:4.668
7,e5b3e79347b5,Eu,63,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_2a477ef1f0f3.xyz,2,large_ligand_deep,1959143387,50,6,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_e5b3e79347b5_attempt02_large_ligand_deep.xyz,data/processed/geometries_family_regenerated/template_large_rigid/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_e5b3e79347b5_attempt02_large_ligand_deep.mol2,-5367.208916742491,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O114:2.090;O117:2.127;O113:2.144;O118:2.188;O52:2.430;N111:2.443;N115:2.525;O119:2.538;O60:2.540,2.5396,2.559,0.0193,O114:2.090;O117:2.127;O113:2.144;O118:2.188;O52:2.430;N111:2.443;N115:2.525;O119:2.538;O60:2.540;N54:2.559;N57:2.636;O112:3.604;O116:3.713;N44:4.507;N7:4.630
8,5355a09ac181,Eu,63,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,9,1,water,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_water_fbeb4feade31.xyz,1,large_ligand_fast,1404531323,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_water_5355a09ac181_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_water_5355a09ac181_attempt01_large_ligand_fast.mol2,-5074.429580315335,,OK,nearest_coreCN_qc_ok,O52:2.326;O60:2.390;N57:2.490;N54:2.502;O111:2.504;O114:2.575;O117:2.589;O120:2.667;O123:2.859,2.8594,4.4692,1.6098,O52:2.326;O60:2.390;N57:2.490;N54:2.502;O111:2.504;O114:2.575;O117:2.589;O120:2.667;O123:2.859;N44:4.469;N7:4.524
