queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
1,1e38ddd02002,Eu,63,3,CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1,"[12, 22, 23, 30]",4,9,2,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_3893f73b679f.xyz,1,standard,763069332,40,5,250,8,build_failed,False,tetra_planar_bent,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
1,1e38ddd02002,Eu,63,3,CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1,"[12, 22, 23, 30]",4,9,2,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_3893f73b679f.xyz,2,large_ligand_fast,763077251,50,6,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_other/rejected/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_1e38ddd02002_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_other/rejected/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_1e38ddd02002_attempt02_large_ligand_fast.mol2,-5264.679214197894,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N24:2.469;O143:2.610;N102:2.683;O84:2.835;N31:2.923;N23:2.943;N95:2.960;O13:3.190;N97:3.284,3.284,3.4389,0.1549,N24:2.469;O143:2.610;N102:2.683;O84:2.835;N31:2.923;N23:2.943;N95:2.960;O13:3.190;N97:3.284;N94:3.439;N26:3.460;N18:3.465;N89:3.990
2,810d12deae71,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,"[18, 30, 48, 51]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_501e57106fbd.xyz,1,standard,181366711,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/template_other/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_810d12deae71_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_other/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_810d12deae71_attempt01_standard.mol2,-5188.246208446016,,OK,nearest_coreCN_qc_ok,O129:2.058;O130:2.112;O134:2.113;O133:2.118;N127:2.432;N131:2.473;O135:2.558;N49:2.616;N52:2.647,2.6475,2.8776,0.2302,O129:2.058;O130:2.112;O134:2.113;O133:2.118;N127:2.432;N131:2.473;O135:2.558;N49:2.616;N52:2.647;S19:2.878;S31:3.037;O128:3.610;O132:3.665;N32:4.623;N9:4.972
3,bfb8463109f9,Eu,63,3,CCOP(=O)(OCC)c1ccc2ccc3ccc(P(=O)(OCC)OCC)nc3c2n1,"[4, 19, 26, 29]",4,9,2,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_7cee7f336f10.xyz,1,standard,881576299,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/template_other/accepted/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_bfb8463109f9_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_other/accepted/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_bfb8463109f9_attempt01_standard.mol2,-5128.595050368602,,OK,nearest_coreCN_qc_ok,O76:2.252;O61:2.285;O20:2.349;N83:2.389;O5:2.411;N30:2.418;N86:2.466;N27:2.491;O113:2.658,2.6576,3.2573,0.5997,O76:2.252;O61:2.285;O20:2.349;N83:2.389;O5:2.411;N30:2.418;N86:2.466;N27:2.491;O113:2.658;P75:3.257;P60:3.372;P4:3.373;P19:3.399;O3:4.269;O77:4.297;O59:4.324;O80:4.432;O24:4.439;O21:4.562;O62:4.621;O6:4.692
4,82898fce9546,Eu,63,3,Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,"[8, 12, 18, 19]",4,9,2,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_b327caa3b7fb.xyz,1,standard,232337596,40,5,250,8,build_failed,False,tetra_planar_bent,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
4,82898fce9546,Eu,63,3,Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,"[8, 12, 18, 19]",4,9,2,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_b327caa3b7fb.xyz,2,large_ligand_fast,232345515,50,6,250,8,build_failed,False,tetra_planar_bent,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
5,edbaf992f7bf,Eu,63,3,Cc1ccn(-c2cncc(-n3ccc(C)n3)n2)n1,"[7, 15, 16, 17]",4,9,2,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_cb9b04403ae5.xyz,1,standard,24375911,40,5,250,8,build_failed,False,tetra_planar_bent,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
5,edbaf992f7bf,Eu,63,3,Cc1ccn(-c2cncc(-n3ccc(C)n3)n2)n1,"[7, 15, 16, 17]",4,9,2,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_cb9b04403ae5.xyz,2,large_ligand_fast,24383830,50,6,250,8,build_failed,False,tetra_planar_bent,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
6,d183c84956a2,Eu,63,3,CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,"[6, 9]",2,9,4,water,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_water_382cd9e53432.xyz,1,standard,185046488,40,5,250,0,rejected_by_nearest_coreCN_qc,False,bi_cis_chelating,data/processed/geometries_family_regenerated/template_other/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_water_d183c84956a2_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_other/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_water_d183c84956a2_attempt01_standard.mol2,-9260.59289317765,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O253:2.550;S70:2.865;S73:2.909;S196:2.943;S7:2.990;S10:3.022;S133:3.087;S136:3.150;S199:3.255,3.2554,4.2463,0.9908,O253:2.550;S70:2.865;S73:2.909;S196:2.943;S7:2.990;S10:3.022;S133:3.087;S136:3.150;S199:3.255;P69:4.246;P72:4.293;P6:4.392;P195:4.404;P9:4.472;P132:4.548;P198:4.646;P135:4.668;O74:5.127;O84:5.176;O210:5.206;O21:5.274;O147:5.354;O68:5.356;O11:5.421;O79:5.507;O200:5.554;O5:5.582;O194:5.637;O137:5.654;O16:5.664;O142:5.744;O131:5.791;O205:5.885
6,d183c84956a2,Eu,63,3,CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,"[6, 9]",2,9,4,water,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_water_382cd9e53432.xyz,2,large_ligand_fast,185054407,50,6,250,0,rejected_by_nearest_coreCN_qc,False,bi_cis_chelating,data/processed/geometries_family_regenerated/template_other/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_water_d183c84956a2_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_other/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_water_d183c84956a2_attempt02_large_ligand_fast.mol2,-9260.27497484058,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O253:2.582;S133:2.902;S73:2.907;S136:2.918;S10:3.000;S70:3.032;S7:3.091;S196:3.116;S199:3.177,3.1772,3.845,0.6678,O253:2.582;S133:2.902;S73:2.907;S136:2.918;S10:3.000;S70:3.032;S7:3.091;S196:3.116;S199:3.177;O74:3.845;P72:3.963;P198:4.191;P195:4.234;P9:4.242;P132:4.299;P135:4.304;P69:4.312;P6:4.353;O11:4.365;O200:4.439;O84:4.729;O21:4.757;O147:4.786;O137:4.900;O210:4.946;O79:5.380;O142:5.563;O194:5.575;O16:5.637;O131:5.653;O205:5.707;O68:5.718;O5:5.769
