queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,accepted_attempt,accepted_xyz_path,accepted_mol2_path,qc_class,coreCN_max_dist,gap_after_coreCN,nearest_coreCN_sig,accepted_for_clean_3d_features,ligtype_override
4,db492aca339e,Ce,58,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[5, 13, 24]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Ce/Ce_Z58_ox3_CN9_nlig3_nitrate_db492aca339e_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Ce/Ce_Z58_ox3_CN9_nlig3_nitrate_db492aca339e_attempt01_standard.mol2,OK,2.5845,0.7044,N67:2.474;N128:2.492;N75:2.492;N14:2.501;N6:2.507;N136:2.528;N86:2.564;N25:2.574;N147:2.584,True,tri_mer_bent
5,39706cc981cc,Dy,66,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_39706cc981cc_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_39706cc981cc_attempt01_standard.mol2,OK,2.5167,0.1059,O82:2.109;O86:2.135;O85:2.144;O81:2.157;N38:2.457;N23:2.461;N79:2.492;N83:2.517,True,tetra_planar_bent
6,e60cac798f29,Dy,66,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[7, 15, 28]",3,9,3,nitrate,,2,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN9_nlig3_nitrate_e60cac798f29_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN9_nlig3_nitrate_e60cac798f29_attempt02_large_ligand_fast.mol2,OK,2.7041,0.1942,N73:2.364;N81:2.368;N146:2.407;N138:2.415;N16:2.465;N8:2.471;N159:2.629;N29:2.673;N94:2.704,True,tri_mer_bent
7,4cf99f0458dc,Dy,66,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_4cf99f0458dc_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_4cf99f0458dc_attempt01_standard.mol2,OK,2.474,0.1208,O101:2.082;O97:2.095;O102:2.117;O98:2.169;N8:2.402;N99:2.466;N95:2.468;N21:2.474,True,tetra_planar_bent
8,a8cebae3a691,Dy,66,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[5, 13, 24]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN9_nlig3_nitrate_a8cebae3a691_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN9_nlig3_nitrate_a8cebae3a691_attempt01_standard.mol2,OK,2.5091,0.6752,N136:2.380;N75:2.408;N6:2.419;N128:2.439;N67:2.440;N14:2.455;N86:2.496;N25:2.499;N147:2.509,True,tri_mer_bent
9,6fdbdd68aedf,Er,68,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[7, 15, 28]",3,9,3,nitrate,,2,data/processed/geometries_family_regenerated/template_pincer/accepted/Er/Er_Z68_ox3_CN9_nlig3_nitrate_6fdbdd68aedf_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Er/Er_Z68_ox3_CN9_nlig3_nitrate_6fdbdd68aedf_attempt02_large_ligand_fast.mol2,OK,2.688,0.4469,N81:2.431;N16:2.451;N138:2.465;N8:2.499;N73:2.517;N146:2.586;N29:2.616;N159:2.672;N94:2.688,True,tri_mer_bent
11,e12fcd7548a4,Er,68,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Er/Er_Z68_ox3_CN8_nlig1_nitrate_e12fcd7548a4_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Er/Er_Z68_ox3_CN8_nlig1_nitrate_e12fcd7548a4_attempt01_standard.mol2,OK,2.4836,0.1505,O98:2.075;O101:2.113;O102:2.114;O97:2.123;N8:2.343;N21:2.401;N95:2.448;N99:2.484,True,tetra_planar_bent
12,3055a9eb1f23,Er,68,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[5, 13, 24]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Er/Er_Z68_ox3_CN9_nlig3_nitrate_3055a9eb1f23_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Er/Er_Z68_ox3_CN9_nlig3_nitrate_3055a9eb1f23_attempt01_standard.mol2,OK,2.4179,0.7557,N6:2.346;N67:2.368;N75:2.397;N128:2.401;N86:2.402;N136:2.404;N14:2.406;N147:2.416;N25:2.418,True,tri_mer_bent
18,aa3c3491a89d,Eu,63,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[5, 13, 24]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_aa3c3491a89d_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_aa3c3491a89d_attempt01_standard.mol2,OK,2.4861,0.7951,N25:2.418;N86:2.420;N67:2.431;N75:2.436;N6:2.443;N147:2.450;N128:2.474;N136:2.479;N14:2.486,True,tri_mer_bent
27,e56f5098c185,Eu,63,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,9,1,water,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_water_e56f5098c185_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_water_e56f5098c185_attempt01_standard.mol2,OK,2.7313,0.3875,N8:2.345;N21:2.404;O107:2.422;N37:2.508;N36:2.523;O95:2.524;O98:2.606;O101:2.716;O104:2.731,True,tetra_planar_bent
28,d69bcbed26a0,Eu,63,3,CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,"[21, 33, 34, 35]",4,9,1,water,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_water_d69bcbed26a0_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_water_d69bcbed26a0_attempt01_standard.mol2,OK,2.7992,0.3187,N22:2.330;N36:2.350;O69:2.445;N35:2.489;N34:2.506;O72:2.627;O75:2.635;O81:2.702;O78:2.799,True,tetra_planar_bent
29,85f24a4c19c9,Eu,63,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,"[26, 27, 28, 29]",4,9,1,water,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_water_85f24a4c19c9_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_water_85f24a4c19c9_attempt01_standard.mol2,OK,2.8342,0.5414,N29:2.446;N30:2.462;O59:2.463;N27:2.489;N28:2.490;O68:2.623;O62:2.692;O65:2.700;O71:2.834,True,tetra_planar_bent
30,ddcd093eef63,Gd,64,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[7, 15, 28]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_ddcd093eef63_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_ddcd093eef63_attempt01_standard.mol2,OK,2.6143,0.5155,N16:2.386;N138:2.404;N81:2.409;N29:2.513;N73:2.515;N94:2.521;N8:2.543;N159:2.567;N146:2.614,True,tri_mer_bent
33,21e525fbd19c,Ho,67,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_21e525fbd19c_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_21e525fbd19c_attempt01_standard.mol2,OK,2.5151,0.1345,O97:2.095;O98:2.135;O102:2.136;O101:2.152;N8:2.386;N21:2.456;N95:2.466;N99:2.515,True,tetra_planar_bent
34,b0f948efeb96,Ho,67,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[7, 15, 28]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Ho/Ho_Z67_ox3_CN9_nlig3_nitrate_b0f948efeb96_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Ho/Ho_Z67_ox3_CN9_nlig3_nitrate_b0f948efeb96_attempt01_standard.mol2,OK,2.6425,0.4035,N81:2.411;N138:2.422;N73:2.437;N146:2.487;N16:2.491;N94:2.565;N159:2.579;N29:2.615;N8:2.642,True,tri_mer_bent
35,171464402dab,Ho,67,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_171464402dab_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_171464402dab_attempt01_standard.mol2,OK,2.5009,0.1095,O82:2.078;O85:2.123;O81:2.132;O86:2.159;N23:2.386;N38:2.394;N79:2.442;N83:2.501,True,tetra_planar_bent
