queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
2,d440dfd680b4,Ce,58,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_4de900a55128.xyz,1,standard,1350649042,40,5,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_pincer/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_d440dfd680b4_attempt01_standard_dup2.xyz,data/processed/geometries_family_regenerated/template_pincer/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_d440dfd680b4_attempt01_standard_dup2.mol2,-4014.771085699583,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O85:2.090;O86:2.112;O81:2.179;O82:2.231;N38:2.424;N83:2.433;N23:2.501;N79:2.562;N37:2.600,2.6005,2.6443,0.0438,O85:2.090;O86:2.112;O81:2.179;O82:2.231;N38:2.424;N83:2.433;N23:2.501;N79:2.562;N37:2.600;O87:2.644;N36:2.645;N39:3.155;N24:3.240;O84:3.629;O80:3.742;N10:4.585;N27:4.726
2,d440dfd680b4,Ce,58,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_4de900a55128.xyz,2,large_ligand_fast,1350656961,50,6,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_pincer/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_d440dfd680b4_attempt02_large_ligand_fast_dup2.xyz,data/processed/geometries_family_regenerated/template_pincer/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_d440dfd680b4_attempt02_large_ligand_fast_dup2.mol2,-4014.764220285183,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O85:2.091;O86:2.105;O81:2.178;O82:2.202;N83:2.427;N38:2.448;N79:2.543;N23:2.549;N37:2.575,2.5748,2.5973,0.0225,O85:2.091;O86:2.105;O81:2.178;O82:2.202;N83:2.427;N38:2.448;N79:2.543;N23:2.549;N37:2.575;O87:2.597;N36:2.614;N39:3.189;N24:3.299;O84:3.623;O80:3.720;N10:4.577;N27:4.735
3,225861c739fc,Ce,58,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_70e091c4e6a2.xyz,1,standard,1833478630,40,5,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_pincer/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_225861c739fc_attempt01_standard_dup2.xyz,data/processed/geometries_family_regenerated/template_pincer/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_225861c739fc_attempt01_standard_dup2.mol2,-4413.544813290513,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O101:2.169;O97:2.169;O102:2.182;O98:2.188;N8:2.431;N21:2.447;N95:2.519;N99:2.530;N37:2.751,2.7508,2.7626,0.0118,O101:2.169;O97:2.169;O102:2.182;O98:2.188;N8:2.431;N21:2.447;N95:2.519;N99:2.530;N37:2.751;N36:2.763;O103:2.803;N22:3.059;N7:3.114;O96:3.697;O100:3.727;N35:4.608;N38:4.655
3,225861c739fc,Ce,58,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_70e091c4e6a2.xyz,2,large_ligand_fast,1833486549,50,6,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_pincer/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_225861c739fc_attempt02_large_ligand_fast_dup2.xyz,data/processed/geometries_family_regenerated/template_pincer/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_225861c739fc_attempt02_large_ligand_fast_dup2.mol2,-4413.3446526392445,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O102:2.099;O101:2.118;O97:2.143;O98:2.182;N99:2.445;N21:2.451;N95:2.482;N8:2.518;N37:2.659,2.6587,2.6596,0.0008,O102:2.099;O101:2.118;O97:2.143;O98:2.182;N99:2.445;N21:2.451;N95:2.482;N8:2.518;N37:2.659;O103:2.660;N36:2.675;N22:3.093;N7:3.262;O100:3.641;O96:3.645;N35:4.588;N38:4.696
4,db492aca339e,Ce,58,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[5, 13, 24]",3,9,3,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_9fa96db16fe2.xyz,1,standard,1453439131,40,5,250,0,accepted,True,tri_mer_bent,data/processed/geometries_family_regenerated/template_pincer/accepted/Ce/Ce_Z58_ox3_CN9_nlig3_nitrate_db492aca339e_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Ce/Ce_Z58_ox3_CN9_nlig3_nitrate_db492aca339e_attempt01_standard.mol2,-6986.273111097389,,OK,nearest_coreCN_qc_ok,N67:2.474;N128:2.492;N75:2.492;N14:2.501;N6:2.507;N136:2.528;N86:2.564;N25:2.574;N147:2.584,2.5845,3.2889,0.7044,N67:2.474;N128:2.492;N75:2.492;N14:2.501;N6:2.507;N136:2.528;N86:2.564;N25:2.574;N147:2.584;N66:3.289;N127:3.293;N15:3.306;N76:3.327;N137:3.335;N5:3.345;N87:4.665;N24:4.675;N26:4.680;N148:4.680;N85:4.681;N146:4.705
5,39706cc981cc,Dy,66,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,8,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_7fca7db38c62.xyz,1,standard,887395636,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_39706cc981cc_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_39706cc981cc_attempt01_standard.mol2,-3873.8306104130615,,OK,nearest_coreCN_qc_ok,O82:2.109;O86:2.135;O85:2.144;O81:2.157;N38:2.457;N23:2.461;N79:2.492;N83:2.517,2.5167,2.6226,0.1059,O82:2.109;O86:2.135;O85:2.144;O81:2.157;N38:2.457;N23:2.461;N79:2.492;N83:2.517;N37:2.623;N36:2.632;N39:3.199;N24:3.250;O80:3.666;O84:3.702;N10:4.629;N27:4.639
6,e60cac798f29,Dy,66,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[7, 15, 28]",3,9,3,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_c155a4660cba.xyz,1,standard,1125067630,40,5,250,0,rejected_by_nearest_coreCN_qc,False,tri_mer_bent,data/processed/geometries_family_regenerated/template_pincer/rejected/Dy/Dy_Z66_ox3_CN9_nlig3_nitrate_e60cac798f29_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/rejected/Dy/Dy_Z66_ox3_CN9_nlig3_nitrate_e60cac798f29_attempt01_standard.mol2,-7686.482382918316,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,N73:2.340;N8:2.381;N146:2.422;N16:2.500;N138:2.525;N94:2.580;N29:2.585;N81:2.625;N159:2.802,2.8017,2.8685,0.0668,N73:2.340;N8:2.381;N146:2.422;N16:2.500;N138:2.525;N94:2.580;N29:2.585;N81:2.625;N159:2.802;N147:2.869;N72:3.058;N7:3.105;N137:3.179;N17:3.202;N82:3.454;N95:4.562;N30:4.616;N150:4.660;N20:4.705;N160:4.768;N85:4.821
6,e60cac798f29,Dy,66,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[7, 15, 28]",3,9,3,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_c155a4660cba.xyz,2,large_ligand_fast,1125075549,50,6,250,0,accepted,True,tri_mer_bent,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN9_nlig3_nitrate_e60cac798f29_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN9_nlig3_nitrate_e60cac798f29_attempt02_large_ligand_fast.mol2,-7686.5781911538015,,OK,nearest_coreCN_qc_ok,N73:2.364;N81:2.368;N146:2.407;N138:2.415;N16:2.465;N8:2.471;N159:2.629;N29:2.673;N94:2.704,2.7041,2.8983,0.1942,N73:2.364;N81:2.368;N146:2.407;N138:2.415;N16:2.465;N8:2.471;N159:2.629;N29:2.673;N94:2.704;N82:2.898;N72:2.919;N147:3.083;N137:3.117;N7:3.136;N17:3.247;N150:4.581;N85:4.593;N95:4.621;N160:4.695;N20:4.705;N30:4.717
7,4cf99f0458dc,Dy,66,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,8,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_ebb31779ee01.xyz,1,standard,571798722,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_4cf99f0458dc_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_4cf99f0458dc_attempt01_standard.mol2,-4272.43786391715,,OK,nearest_coreCN_qc_ok,O101:2.082;O97:2.095;O102:2.117;O98:2.169;N8:2.402;N99:2.466;N95:2.468;N21:2.474,2.474,2.5948,0.1208,O101:2.082;O97:2.095;O102:2.117;O98:2.169;N8:2.402;N99:2.466;N95:2.468;N21:2.474;N36:2.595;N37:2.604;N7:3.178;N22:3.273;O96:3.629;O100:3.653;N38:4.620;N35:4.651
8,a8cebae3a691,Dy,66,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[5, 13, 24]",3,9,3,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_fefdc4e8deb0.xyz,1,standard,1924202277,40,5,250,0,accepted,True,tri_mer_bent,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN9_nlig3_nitrate_a8cebae3a691_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN9_nlig3_nitrate_a8cebae3a691_attempt01_standard.mol2,-6983.956204517225,,OK,nearest_coreCN_qc_ok,N136:2.380;N75:2.408;N6:2.419;N128:2.439;N67:2.440;N14:2.455;N86:2.496;N25:2.499;N147:2.509,2.5091,3.1842,0.6752,N136:2.380;N75:2.408;N6:2.419;N128:2.439;N67:2.440;N14:2.455;N86:2.496;N25:2.499;N147:2.509;N137:3.184;N127:3.222;N76:3.234;N5:3.258;N66:3.267;N15:3.293;N148:4.574;N85:4.583;N146:4.585;N26:4.594;N87:4.599;N24:4.626
