queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,attempts_run,best_qc_class,best_coreCN_max_dist,best_gap_after_coreCN,best_xyz_path,best_failed_xyz_path,failure_note,accepted_for_clean_3d_features,ligtype_override
2,d440dfd680b4,Ce,58,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.5748,0.0225,data/processed/geometries_family_regenerated/template_pincer/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_d440dfd680b4_attempt02_large_ligand_fast_dup2.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_d440dfd680b4_attempt02_large_ligand_fast_dup2.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
3,225861c739fc,Ce,58,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.6587,0.0008,data/processed/geometries_family_regenerated/template_pincer/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_225861c739fc_attempt02_large_ligand_fast_dup2.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_225861c739fc_attempt02_large_ligand_fast_dup2.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
10,3613f9313097,Er,68,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,8,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.4974,0.0708,data/processed/geometries_family_regenerated/template_pincer/rejected/Er/Er_Z68_ox3_CN8_nlig1_nitrate_3613f9313097_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Er/Er_Z68_ox3_CN8_nlig1_nitrate_3613f9313097_attempt02_large_ligand_fast.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
13,cf17beddcb28,Eu,63,3,CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,"[21, 33, 34, 35]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.6153,0.004,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_cf17beddcb28_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_cf17beddcb28_attempt02_large_ligand_fast.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
14,75a002a31497,Eu,63,3,Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,"[11, 24, 25, 28]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.5606,0.0648,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_75a002a31497_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_75a002a31497_attempt01_standard.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
15,59647d1e3834,Eu,63,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.5714,0.0165,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_59647d1e3834_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_59647d1e3834_attempt01_standard.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
16,066e131bab03,Eu,63,3,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,"[17, 30, 31, 34]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.5593,0.0699,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_066e131bab03_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_066e131bab03_attempt02_large_ligand_fast.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
17,35e0c00b8a88,Eu,63,3,CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,"[22, 35, 38, 39]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.5796,0.0128,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_35e0c00b8a88_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_35e0c00b8a88_attempt01_standard.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
19,c471d9bdf233,Eu,63,3,CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,"[7, 20, 33, 34]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.6109,0.0615,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_c471d9bdf233_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_c471d9bdf233_attempt02_large_ligand_fast.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
20,99c2c5354425,Eu,63,3,CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,"[21, 33, 34, 35]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.5919,0.0272,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_99c2c5354425_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_99c2c5354425_attempt02_large_ligand_fast.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
