build_id,reference,Atomic Number_metal,metal_symbol,metal_ox,SMILES_FOR_ARCHITECTOR,COORDLIST,DONOR_TYPES,DENTATE,coreCN,n_ligs,inner_sphere_anion,fill_ligand,n_fill,xyz_path,mol2_path,sdf_path,energy_eV,status,note,qc_status,smiles_for_architector_original,smiles_for_architector_used,simplified_ligand,ligtype_override,xyz_exists,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
aa83667df077,,58,Ce,3,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,"[4, 7, 10, 17, 20, 23]","[""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_aa83667df077.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_aa83667df077.mol2,,,existing_ok,recovered_from_disk,accepted,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,False,,True,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O66:2.093;O65:2.176;O21:2.459;O5:2.481;O8:2.494;O11:2.499;N63:2.506;O24:2.513;O67:2.647,2.6469,2.6573,0.0103,O66:2.093;O65:2.176;O21:2.459;O5:2.481;O8:2.494;O11:2.499;N63:2.506;O24:2.513;O67:2.647;O18:2.657;O64:3.690
571ba3077142,,58,Ce,3,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,"[1, 7, 10, 12, 15, 19, 23]","[""O(ether)"", ""O(ether)"", ""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)"", ""O(ether)"", ""O(ether)""]",7,9,1,water,water,2,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_water_571ba3077142.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_water_571ba3077142.mol2,,,existing_ok,recovered_from_disk,accepted,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,False,,True,BORDERLINE_LONGISH,coreCN_max_dist>2.95,O11:2.317;O16:2.369;O58:2.481;O13:2.563;O8:2.567;O24:2.579;O61:2.807;O20:2.846;O2:3.033,3.0332,3.5568,0.5236,O11:2.317;O16:2.369;O58:2.481;O13:2.563;O8:2.567;O24:2.579;O61:2.807;O20:2.846;O2:3.033;N5:3.557;N17:3.590
20fef2b9bc6a,,58,Ce,3,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,"[15, 19, 24, 39]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)"", ""O(ether)""]",4,9,2,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_20fef2b9bc6a.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_20fef2b9bc6a.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,False,,True,BORDERLINE_LONGISH,coreCN_max_dist>2.95,O16:2.338;O122:2.362;O213:2.590;O126:2.805;O20:2.864;O40:2.865;O131:2.914;O25:2.945;O146:2.987,2.9873,4.5690,1.5818,O16:2.338;O122:2.362;O213:2.590;O126:2.805;O20:2.864;O40:2.865;O131:2.914;O25:2.945;O146:2.987;N13:4.569;N119:4.591;N132:4.963;N26:4.966
823ce0596fcf,,58,Ce,3,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],"[9, 26, 44]","[""O(ether)"", ""O(ether)"", ""O(ether)""]",3,9,3,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig3_nitrate_823ce0596fcf.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig3_nitrate_823ce0596fcf.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],False,,True,BORDERLINE_LONGISH,coreCN_max_dist>2.95,O165:2.159;O45:2.197;O27:2.404;O147:2.529;O130:2.550;O267:2.564;O285:2.566;O250:2.627;O10:3.094,3.0943,3.2412,0.1469,O165:2.159;O45:2.197;O27:2.404;O147:2.529;O130:2.550;O267:2.564;O285:2.566;O250:2.627;O10:3.094;N164:3.241;N44:3.309;P26:3.471;P146:3.663;N284:3.670;P266:3.789;P129:3.826;P249:3.841;P9:4.294
453fd2c396d7,,58,Ce,3,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,"[18, 20, 23]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,9,3,water,water,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig3_water_453fd2c396d7.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig3_water_453fd2c396d7.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,False,,True,BORDERLINE_LONGISH,coreCN_max_dist>2.95,O19:2.317;O245:2.319;O250:2.461;O137:2.560;O24:2.589;O134:2.713;O132:2.851;O21:2.862;O247:2.961,2.9608,4.4985,1.5377,O19:2.317;O245:2.319;O250:2.461;O137:2.560;O24:2.589;O134:2.713;O132:2.851;O21:2.862;O247:2.961;N235:4.498;N9:4.538;N251:4.686;N25:4.698;N138:4.747;N122:5.006
816fdab6b6d4,,58,Ce,3,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,"[17, 19, 22]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,9,3,water,water,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig3_water_816fdab6b6d4.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig3_water_816fdab6b6d4.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,False,,True,BORDERLINE_LONGISH,coreCN_max_dist>2.95,O125:2.262;O18:2.264;O232:2.321;O237:2.432;O23:2.517;O130:2.563;O127:2.646;O20:3.029;O234:3.080,3.0799,4.2665,1.1866,O125:2.262;O18:2.264;O232:2.321;O237:2.432;O23:2.517;O130:2.563;O127:2.646;O20:3.029;O234:3.080;N229:4.267;N122:4.349;N15:4.479;N238:4.607;N131:4.646;N24:4.758
00afa7add2b7,,66,Dy,3,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,"[10, 12, 15]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,8,2,nitrate,nitrate,2,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig2_nitrate_00afa7add2b7.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig2_nitrate_00afa7add2b7.mol2,,,existing_ok,recovered_from_disk,accepted,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,False,,True,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O133:2.079;O134:2.086;O11:2.171;O76:2.221;O16:2.321;O81:2.336;N131:2.406;O13:2.682,2.6816,2.7103,0.0288,O133:2.079;O134:2.086;O11:2.171;O76:2.221;O16:2.321;O81:2.336;N131:2.406;O13:2.682;O78:2.710;O132:3.578;N17:4.280;N5:4.360;N70:4.444;N82:4.452
0316ab580175,,66,Dy,3,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],"[9, 26, 44]","[""O(ether)"", ""O(ether)"", ""O(ether)""]",3,8,2,nitrate,nitrate,2,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig2_nitrate_0316ab580175.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig2_nitrate_0316ab580175.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],False,,True,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O165:2.030;O243:2.148;O27:2.149;O147:2.152;O244:2.173;O130:2.371;N241:2.404;O45:2.780,2.7797,2.8340,0.0543,O165:2.030;O243:2.148;O27:2.149;O147:2.152;O244:2.173;O130:2.371;N241:2.404;O45:2.780;N164:2.834;P146:2.992;O10:3.197;P26:3.218;O242:3.480;P129:3.680;N44:3.756;P9:4.495
0aa6481162e6,,66,Dy,3,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,"[11, 13, 16]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,8,2,nitrate,nitrate,2,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig2_nitrate_0aa6481162e6.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig2_nitrate_0aa6481162e6.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,False,,True,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O145:2.054;O146:2.063;O12:2.117;O83:2.342;O17:2.357;N143:2.411;O88:2.444;O85:2.590,2.5900,2.6419,0.0519,O145:2.054;O146:2.063;O12:2.117;O83:2.342;O17:2.357;N143:2.411;O88:2.444;O85:2.590;O14:2.642;O144:3.594;N9:4.235;N80:4.348;N18:4.415;N89:4.533
19e40aa7a143,,66,Dy,3,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,"[3, 10, 19]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)"", ""N(aromatic)""]",3,8,2,nitrate,nitrate,2,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig2_nitrate_19e40aa7a143.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig2_nitrate_19e40aa7a143.mol2,,,existing_ok,recovered_from_disk,accepted,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,False,,True,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O93:2.109;O94:2.166;O56:2.188;O11:2.206;O49:2.267;N65:2.311;O4:2.481;N91:2.512,2.5120,2.5166,0.0046,O93:2.109;O94:2.166;O56:2.188;O11:2.206;O49:2.267;N65:2.311;O4:2.481;N91:2.512;N20:2.517;O92:3.697;N47:4.253;N12:4.273;N57:4.299;N2:4.632
