build_id,reference,Atomic Number_metal,metal_symbol,metal_ox,SMILES_FOR_ARCHITECTOR,COORDLIST,DONOR_TYPES,DENTATE,coreCN,n_ligs,inner_sphere_anion,fill_ligand,n_fill,xyz_path,mol2_path,sdf_path,energy_eV,status,note,qc_status,smiles_for_architector_original,smiles_for_architector_used,simplified_ligand,ligtype_override,xyz_exists,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
0453c5e4f135,,58,Ce,3,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,"[6, 9, 12, 19, 22, 25]","[""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_0453c5e4f135.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_0453c5e4f135.mol2,,,existing_ok,recovered_from_disk,accepted,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,False,,True,OK,nearest_coreCN_qc_ok,O53:2.150;O54:2.185;O23:2.374;O13:2.375;O20:2.425;O10:2.547;O55:2.552;N51:2.562;O26:2.576,2.5762,2.6957,0.1195,O53:2.150;O54:2.185;O23:2.374;O13:2.375;O20:2.425;O10:2.547;O55:2.552;N51:2.562;O26:2.576;O7:2.696;O52:3.742
1c8d038cf561,,58,Ce,3,c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,"[3, 7, 14, 17, 20, 27]","[""N(aromatic)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_1c8d038cf561.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_1c8d038cf561.mol2,,,existing_ok,recovered_from_disk,accepted,c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,False,,True,OK,nearest_coreCN_qc_ok,O55:2.076;O56:2.101;N4:2.433;N53:2.449;O28:2.455;O21:2.461;O18:2.496;O8:2.506;O15:2.592,2.5917,2.9007,0.3091,O55:2.076;O56:2.101;N4:2.433;N53:2.449;O28:2.455;O21:2.461;O18:2.496;O8:2.506;O15:2.592;O57:2.901;O54:3.631
e8a79da64745,,58,Ce,3,C1COCCOCCOCCOCCOCCO1,"[2, 5, 8, 11, 14, 17]","[""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_e8a79da64745.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_e8a79da64745.mol2,,,existing_ok,recovered_from_disk,accepted,C1COCCOCCOCCOCCOCCO1,C1COCCOCCOCCOCCOCCO1,False,,True,OK,nearest_coreCN_qc_ok,O46:2.080;O45:2.092;O6:2.383;O15:2.389;O9:2.393;O3:2.409;O12:2.430;N43:2.447;O18:2.495,2.4945,2.7747,0.2802,O46:2.080;O45:2.092;O6:2.383;O15:2.389;O9:2.393;O3:2.409;O12:2.430;N43:2.447;O18:2.495;O47:2.775;O44:3.629
0d6f25660483,,58,Ce,3,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,"[4, 16, 28, 29]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)""]",4,9,2,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_0d6f25660483.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_0d6f25660483.mol2,,,existing_ok,recovered_from_disk,accepted,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,False,,True,OK,nearest_coreCN_qc_ok,O5:2.317;O89:2.378;O77:2.430;O17:2.544;O145:2.576;N30:2.595;N101:2.605;N102:2.622;N29:2.633,2.6333,4.4925,1.8593,O5:2.317;O89:2.378;O77:2.430;O17:2.544;O145:2.576;N30:2.595;N101:2.605;N102:2.622;N29:2.633;N3:4.493;N90:4.519;N75:4.596;N18:4.610
12c512965f48,,58,Ce,3,CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 26]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(ether)"", ""O(amide_carbonyl)""]",4,9,2,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_12c512965f48.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_12c512965f48.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,False,,True,OK,nearest_coreCN_qc_ok,O27:2.257;O19:2.337;O139:2.390;O147:2.483;O141:2.576;O24:2.584;O144:2.613;O241:2.693;O21:2.694,2.6941,4.4174,1.7233,O27:2.257;O19:2.337;O139:2.390;O147:2.483;O141:2.576;O24:2.584;O144:2.613;O241:2.693;O21:2.694;N28:4.417;N129:4.533;N9:4.557;N148:4.610
4c832a9d11b3,,58,Ce,3,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,"[26, 28, 31, 34]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(ether)"", ""O(amide_carbonyl)""]",4,9,2,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_4c832a9d11b3.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_4c832a9d11b3.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,False,,True,OK,nearest_coreCN_qc_ok,O195:2.360;O27:2.378;O29:2.398;O197:2.400;O203:2.449;O35:2.482;O200:2.527;O32:2.573;O337:2.617,2.6166,4.4885,1.8720,O195:2.360;O27:2.378;O29:2.398;O197:2.400;O203:2.449;O35:2.482;O200:2.527;O32:2.573;O337:2.617;N181:4.489;N13:4.508;N204:4.573;N36:4.614
8f30fbba865f,,58,Ce,3,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,"[10, 22, 32, 35]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)""]",4,9,2,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_8f30fbba865f.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_8f30fbba865f.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,False,,True,OK,nearest_coreCN_qc_ok,O23:2.279;O101:2.404;O11:2.439;N33:2.454;O89:2.459;N111:2.461;N36:2.507;N114:2.602;O157:2.657,2.6566,4.3961,1.7395,O23:2.279;O101:2.404;O11:2.439;N33:2.454;O89:2.459;N111:2.461;N36:2.507;N114:2.602;O157:2.657;N102:4.396;N24:4.432;N5:4.578;N83:4.635
9ce3bd94dcd5,,58,Ce,3,O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,"[0, 15, 21, 24]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)""]",4,9,2,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_9ce3bd94dcd5.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_9ce3bd94dcd5.mol2,,,existing_ok,recovered_from_disk,accepted,O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,False,,True,OK,nearest_coreCN_qc_ok,O16:2.241;O51:2.346;O1:2.427;N22:2.444;N75:2.484;O66:2.493;N25:2.510;N72:2.625;O101:2.691,2.6913,4.3517,1.6603,O16:2.241;O51:2.346;O1:2.427;N22:2.444;N75:2.484;O66:2.493;N25:2.510;N72:2.625;O101:2.691;N76:4.352;N17:4.369;N26:4.532;N67:4.645;Cl12:6.905;Cl56:6.940;Cl6:6.981;Cl62:7.072
a8c13c432ddc,,58,Ce,3,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,"[4, 16, 26, 27]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)""]",4,9,2,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_a8c13c432ddc.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_a8c13c432ddc.mol2,,,existing_ok,recovered_from_disk,accepted,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,False,,True,OK,nearest_coreCN_qc_ok,O5:2.336;N28:2.338;N87:2.346;O17:2.356;O65:2.366;N88:2.374;N27:2.378;O77:2.393;O121:2.898,2.8980,4.3253,1.4274,O5:2.336;N28:2.338;N87:2.346;O17:2.356;O65:2.366;N88:2.374;N27:2.378;O77:2.393;O121:2.898;N78:4.325;N3:4.366;N18:4.431;N63:4.468
aac6ecb6c550,,58,Ce,3,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,"[4, 16, 28, 29]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)""]",4,9,2,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_aac6ecb6c550.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_aac6ecb6c550.mol2,,,existing_ok,recovered_from_disk,accepted,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,False,,True,OK,nearest_coreCN_qc_ok,O77:2.273;N102:2.371;O17:2.373;O89:2.383;N29:2.396;O5:2.399;N30:2.411;N101:2.421;O145:2.803,2.8030,4.3894,1.5864,O77:2.273;N102:2.371;O17:2.373;O89:2.383;N29:2.396;O5:2.399;N30:2.411;N101:2.421;O145:2.803;N75:4.389;N3:4.433;N18:4.481;N90:4.506
