build_id,reference,Atomic Number_metal,metal_symbol,metal_ox,SMILES_FOR_ARCHITECTOR,COORDLIST,DONOR_TYPES,DENTATE,coreCN,n_ligs,inner_sphere_anion,fill_ligand,n_fill,xyz_path,mol2_path,sdf_path,energy_eV,status,note,qc_status,smiles_for_architector_original,smiles_for_architector_used,simplified_ligand,ligtype_override,xyz_exists,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest,rescue_previous_failure,rescue_reason
8891c25d4c67,,58,Ce,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[""O(amide_carbonyl)"", ""N(amine)"", ""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",4,9,2,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_8891c25d4c67.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_8891c25d4c67.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O48:2.213;O5:2.214;O53:2.279;O10:2.289;O16:2.371;O59:2.503;O87:2.763;N45:3.415;N2:3.437,3.4375,3.6248,0.1874,O48:2.213;O5:2.214;O53:2.279;O10:2.289;O16:2.371;O59:2.503;O87:2.763;N45:3.415;N2:3.437;N7:3.625;N50:3.842;N54:4.517;N11:4.521;N17:4.605;N60:4.645,no_structures_returned,regeneration_produced_no_xyz
4ca0b6f30178,,66,Dy,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[""O(amide_carbonyl)"", ""N(amine)"", ""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",4,8,2,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig2_nitrate_4ca0b6f30178.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig2_nitrate_4ca0b6f30178.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O48:2.128;O5:2.145;O16:2.217;O53:2.234;O59:2.296;O10:2.328;N7:3.274;N45:3.528,3.528,3.5496,0.0215,O48:2.128;O5:2.145;O16:2.217;O53:2.234;O59:2.296;O10:2.328;N7:3.274;N45:3.528;N2:3.550;N50:3.863;N60:4.302;N17:4.424;N54:4.436;N11:4.554,no_structures_returned,regeneration_produced_no_xyz
1f1106359435,,63,Eu,3,CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,"[10, 14, 18, 30]","[""O(amide_carbonyl)"", ""O(carbonyl)"", ""O(amide_carbonyl)"", ""O(ether)""]",4,9,2,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_1f1106359435.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_1f1106359435.mol2,,,existing_ok,recovered_from_disk,accepted,CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O11:2.400;O74:2.422;O78:2.440;O127:2.449;O19:2.587;O82:2.593;O15:2.791;O31:3.211;O94:3.729,3.7286,4.2972,0.5686,O11:2.400;O74:2.422;O78:2.440;O127:2.449;O19:2.587;O82:2.593;O15:2.791;O31:3.211;O94:3.729;N9:4.297;N72:4.678;N20:4.807;N83:4.829,no_structures_returned,regeneration_produced_no_xyz
1a2c675a4d6b,,63,Eu,3,CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,"[8, 11, 31]","[""N(amine)"", ""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",3,9,3,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_1a2c675a4d6b.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_1a2c675a4d6b.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O150:2.367;O170:2.437;O12:2.438;O288:2.635;O32:2.692;O308:2.733;N9:2.929;N147:2.950;N285:3.428,3.4278,4.5913,1.1635,O150:2.367;O170:2.437;O12:2.438;O288:2.635;O32:2.692;O308:2.733;N9:2.929;N147:2.950;N285:3.428;N151:4.591;N13:4.618;N171:4.673;N33:4.863;N289:4.890;N309:4.997,free(): invalid size,regeneration_produced_no_xyz
cafe7bff72b2,,63,Eu,3,CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,"[10, 13, 16]","[""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)""]",3,9,3,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_cafe7bff72b2.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_cafe7bff72b2.mol2,,,existing_ok,recovered_from_disk,accepted,CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O11:2.119;O83:2.127;O47:2.155;N53:2.451;N17:2.483;N89:2.513;N86:3.330;N9:3.933;N81:4.081,4.0811,4.2206,0.1394,O11:2.119;O83:2.127;O47:2.155;N53:2.451;N17:2.483;N89:2.513;N86:3.330;N9:3.933;N81:4.081;N45:4.221;N50:4.742;N14:4.813,no_structures_returned,regeneration_produced_no_xyz
ec68ed441941,,63,Eu,3,CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1,"[14, 18, 22]","[""O(amide_carbonyl)"", ""O(ether)"", ""N(aromatic)""]",3,9,3,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_ec68ed441941.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_ec68ed441941.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1,CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O15:2.226;O70:2.230;O125:2.242;N78:2.968;N23:3.146;O129:3.547;N68:4.077;O19:4.159;N13:4.210,4.2096,4.2607,0.0511,O15:2.226;O70:2.230;O125:2.242;N78:2.968;N23:3.146;O129:3.547;N68:4.077;O19:4.159;N13:4.210;O74:4.261;N133:4.337;N123:4.373,no_structures_returned,regeneration_produced_no_xyz
1c021f009609,,63,Eu,3,CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[8, 11, 31]","[""N(amine)"", ""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",3,9,3,water,water,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_water_1c021f009609.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_water_1c021f009609.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O308:2.239;O12:2.309;O150:2.398;O288:2.522;O32:2.553;O170:2.578;N285:2.952;N9:3.193;N147:3.257,3.2566,4.203,0.9464,O308:2.239;O12:2.309;O150:2.398;O288:2.522;O32:2.553;O170:2.578;N285:2.952;N9:3.193;N147:3.257;N309:4.203;N13:4.528;N151:4.611;N289:4.725;N33:4.747;N171:4.780,Cannot assign lig CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC to any ligType!,regeneration_produced_no_xyz
05a03a08886e,,64,Gd,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]","[""N(aromatic)"", ""N(aromatic)"", ""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)"", ""O(amide_carbonyl)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_05a03a08886e.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_05a03a08886e.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O60:2.120;O52:2.167;O114:2.181;O113:2.249;N111:2.583;N54:2.611;N57:2.674;O115:2.729;N7:3.610,3.6103,3.6815,0.0712,O60:2.120;O52:2.167;O114:2.181;O113:2.249;N111:2.583;N54:2.611;N57:2.674;O115:2.729;N7:3.610;N44:3.682;O112:3.746,no_structures_returned,regeneration_produced_no_xyz
59fa2fc349b4,,67,Ho,3,CCCCCCOP(=O)(O)OCCCCCC,"[6, 8, 9, 10]","[""O(ether)"", ""O(ether)"", ""O(hydroxyl)"", ""O(ether)""]",4,8,2,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig2_nitrate_59fa2fc349b4.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig2_nitrate_59fa2fc349b4.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCOP(=O)(O)OCCCCCC,CCCCCCOP(=O)(O)OCCCCCC,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O9:2.046;O53:2.113;O11:2.199;O51:2.365;P52:2.672;P8:2.744;O55:2.921;O7:3.847,3.8466,3.8723,0.0258,O9:2.046;O53:2.113;O11:2.199;O51:2.365;P52:2.672;P8:2.744;O55:2.921;O7:3.847;O10:3.872;O54:4.139,timeout,regeneration_produced_no_xyz
dffea6f8c61d,,59,Pr,3,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,"[26, 28, 41]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,9,3,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_dffea6f8c61d.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_dffea6f8c61d.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O255:2.242;O156:2.243;O27:2.258;O270:2.292;O42:2.340;O141:2.517;O143:2.608;O29:2.816;O257:3.215,3.2148,4.3446,1.1298,O255:2.242;O156:2.243;O27:2.258;O270:2.292;O42:2.340;O141:2.517;O143:2.608;O29:2.816;O257:3.215;N148:4.345;N13:4.441;N241:4.467;N34:4.515;N262:4.532;N127:4.682,munmap_chunk(): invalid pointer,regeneration_produced_no_xyz
