source_build_id,proposed_build_id,geometry_key,metal_symbol,inner_sphere_anion,SMILES_FOR_ARCHITECTOR,original_COORDLIST,proposed_COORDLIST,original_DENTATE,proposed_DENTATE,original_coreCN,proposed_coreCN,original_n_ligs,proposed_n_ligs,original_n_fill,proposed_n_fill,donor_strategy,ligand_family,run_group,suggested_ligType,migration_scope,current_rescue_route,manual_review_required
8891c25d4c67,3b2820db6fc4,58|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,Ce,nitrate,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[18, 20, 23, 43]",4,4,9,9,2,1,1,5,compact_amide_core,compact_amide_core_4dent,template_amide_core,tetra_trigonal_pyramidal,current_still_failed,template_replan,False
4ca0b6f30178,60e55854a033,66|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,Dy,nitrate,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[18, 20, 23, 43]",4,4,8,8,2,1,0,4,compact_amide_core,compact_amide_core_4dent,template_amide_core,tetra_trigonal_pyramidal,current_still_failed,template_replan,False
32c5ca2ccd68,7b5f3280fd78,68|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,Er,nitrate,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[18, 20, 23, 43]",4,4,8,8,2,1,0,4,compact_amide_core,compact_amide_core_4dent,template_amide_core,tetra_trigonal_pyramidal,deferred_nonfailed_audit,,False
f3f070427c1f,655f731d48c2,63|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,Eu,nitrate,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[18, 20, 23, 43]",4,4,9,9,2,1,1,5,compact_amide_core,compact_amide_core_4dent,template_amide_core,tetra_trigonal_pyramidal,deferred_nonfailed_audit,,False
bd11f8c14383,bdf1b6fb0ab0,64|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,Gd,nitrate,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[18, 20, 23, 43]",4,4,9,9,2,1,1,5,compact_amide_core,compact_amide_core_4dent,template_amide_core,tetra_trigonal_pyramidal,deferred_nonfailed_audit,,False
b72884625baf,e82ded10c1af,67|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,Ho,nitrate,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[18, 20, 23, 43]",4,4,8,8,2,1,0,4,compact_amide_core,compact_amide_core_4dent,template_amide_core,tetra_trigonal_pyramidal,deferred_nonfailed_audit,,False
033b4c93146d,816d86767bf5,57|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,La,nitrate,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[18, 20, 23, 43]",4,4,9,9,2,1,1,5,compact_amide_core,compact_amide_core_4dent,template_amide_core,tetra_trigonal_pyramidal,deferred_nonfailed_audit,,False
a5b6774306ad,e0263b696299,71|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,Lu,nitrate,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[18, 20, 23, 43]",4,4,8,8,2,1,0,4,compact_amide_core,compact_amide_core_4dent,template_amide_core,tetra_trigonal_pyramidal,deferred_nonfailed_audit,,False
e0bff762c05d,2539b8504012,60|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,Nd,nitrate,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[18, 20, 23, 43]",4,4,9,9,2,1,1,5,compact_amide_core,compact_amide_core_4dent,template_amide_core,tetra_trigonal_pyramidal,deferred_nonfailed_audit,,False
0a5ee26d567d,f375a9b36bc7,59|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,Pr,nitrate,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[18, 20, 23, 43]",4,4,9,9,2,1,1,5,compact_amide_core,compact_amide_core_4dent,template_amide_core,tetra_trigonal_pyramidal,deferred_nonfailed_audit,,False
bef90f96562a,939e0e047928,62|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,Sm,nitrate,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[18, 20, 23, 43]",4,4,9,9,2,1,1,5,compact_amide_core,compact_amide_core_4dent,template_amide_core,tetra_trigonal_pyramidal,deferred_nonfailed_audit,,False
