enabled,build_id,geometry_key,ligType,DENTATE,COORDLIST,DONOR_TYPES,SMILES_FOR_ARCHITECTOR,metal_symbol,coreCN,n_ligs,inner_sphere_anion,note
1,7f67dd10b8c9,,hexa_octahedral,6,"[0, 4, 7, 10, 13, 17]","[""O(ester_carbonyl)"", ""N(amine)"", ""O(hydroxyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(ester_carbonyl)""]",O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,Ce,9,1,nitrate,family template replan: aminopolycarboxylate_6dent
1,efb3bcbad38f,,tetra_planar_bent,4,"[51, 53, 56, 59]","[""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)"", ""O(amide_carbonyl)""]",CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,Ce,9,1,nitrate,family template replan: large_rigid_filtered_4dent
1,a81c6e51917a,,tri_mer_bent,3,"[7, 15, 28]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,Ce,9,3,nitrate,family template replan: BTP_like_N3
1,d440dfd680b4,,tetra_planar_bent,4,"[22, 35, 36, 37]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,Ce,9,1,nitrate,family template replan: BTBP_BTPhen_like_N4
1,1dffbb101d5b,,hexa_octahedral,6,"[0, 4, 7, 15, 18, 22]","[""O(ester_carbonyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(ester_carbonyl)""]",O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,Ce,9,1,nitrate,family template replan: aminopolycarboxylate_6dent
1,225861c739fc,,tetra_planar_bent,4,"[7, 20, 35, 36]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,Ce,9,1,nitrate,family template replan: BTBP_BTPhen_like_N4
1,db492aca339e,,tri_mer_bent,3,"[5, 13, 24]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,Ce,9,3,nitrate,family template replan: BTP_like_N3
1,767120592b2e,,tetra_planar_bent,4,"[51, 53, 56, 59]","[""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)"", ""O(amide_carbonyl)""]",CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,Ce,9,1,water,family template replan: large_rigid_filtered_4dent
1,3b2820db6fc4,,tetra_trigonal_pyramidal,4,"[18, 20, 23, 43]","[""O(amide_carbonyl)"", ""N(amine)"", ""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,Ce,9,1,nitrate,family template replan: compact_amide_core_4dent
1,39706cc981cc,,tetra_planar_bent,4,"[22, 35, 36, 37]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,Dy,8,1,nitrate,family template replan: BTBP_BTPhen_like_N4
