build_id,reference,Atomic Number_metal,metal_symbol,metal_ox,SMILES_FOR_ARCHITECTOR,COORDLIST,DONOR_TYPES,DENTATE,coreCN,n_ligs,inner_sphere_anion,fill_ligand,n_fill,xyz_path,mol2_path,sdf_path,energy_eV,status,note,qc_status,smiles_for_architector_original,smiles_for_architector_used,simplified_ligand,ligtype_override,xyz_exists,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest,best_qc_class,best_coreCN_max_dist,best_gap_after_coreCN,best_xyz_path,best_failed_xyz_path,failure_note,source_build_id,rescue_route,run_group,ligand_family,donor_strategy,original_COORDLIST,original_DENTATE,original_coreCN,original_n_ligs,original_n_fill,proposed_COORDLIST,proposed_DENTATE,proposed_coreCN,proposed_n_ligs,proposed_n_fill,template_change_note
1e38ddd02002,,63,Eu,3,CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1,"[12, 22, 23, 30]","[""O(ether)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",4,9,2,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_3893f73b679f.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_3893f73b679f.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1,CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O74:2.079;O75:2.094;N31:2.307;N23:2.335;N24:2.464;N72:2.476;O76:2.675;N26:3.110;N18:3.152,3.1519,3.4227,0.2708,O74:2.079;O75:2.094;N31:2.307;N23:2.335;N24:2.464;N72:2.476;O76:2.675;N26:3.110;N18:3.152;O13:3.423;O73:3.648,FAIL_LONG_BOND,3.1124,0.226,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_3893f73b679f_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_3893f73b679f_attempt01_standard_dup2.xyz,no_structures_returned,3893f73b679f,template_replan,template_other,filtered_donor_pocket_4dent,graph_pocket,"[12, 17, 22, 23, 25, 30]",6,9,1,3,"[12, 22, 23, 30]",4,9,2,1,donors 6->4; coreCN 9->9; n_ligs 1->2; n_fill 3->1; new build_id preserves original geometry
810d12deae71,,63,Eu,3,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,"[18, 30, 48, 51]","[""S(donor)"", ""S(donor)"", ""N(aromatic)"", ""N(aromatic)""]",4,9,1,nitrate,nitrate,5,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_501e57106fbd.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_501e57106fbd.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O130:2.058;O129:2.112;N49:2.415;N127:2.472;O131:2.487;N52:2.512;N32:3.058;O128:3.646;N9:3.759,3.7593,3.8588,0.0995,O130:2.058;O129:2.112;N49:2.415;N127:2.472;O131:2.487;N52:2.512;N32:3.058;O128:3.646;N9:3.759;S19:3.859;S31:3.927,FAIL_LONG_BOND,3.4098,0.1895,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_501e57106fbd_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_501e57106fbd_attempt01_standard_dup2.xyz,coreCN_max_dist>3.10,501e57106fbd,template_replan,template_other,filtered_donor_pocket_4dent,graph_pocket,"[8, 18, 30, 31, 48, 51]",6,9,1,3,"[18, 30, 48, 51]",4,9,1,5,donors 6->4; coreCN 9->9; n_ligs 1->1; n_fill 3->5; new build_id preserves original geometry
bfb8463109f9,,63,Eu,3,CCOP(=O)(OCC)c1ccc2ccc3ccc(P(=O)(OCC)OCC)nc3c2n1,"[4, 19, 26, 29]","[""O(ether)"", ""O(ether)"", ""N(aromatic)"", ""N(aromatic)""]",4,9,2,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_7cee7f336f10.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_7cee7f336f10.mol2,,,existing_ok,recovered_from_disk,accepted,CCOP(=O)(OCC)c1ccc2ccc3ccc(P(=O)(OCC)OCC)nc3c2n1,CCOP(=O)(OCC)c1ccc2ccc3ccc(P(=O)(OCC)OCC)nc3c2n1,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O24:2.361;O3:2.383;N30:2.403;N27:2.443;O21:2.574;O57:2.587;O6:2.603;P4:3.201;P19:3.203,3.2025,3.2733,0.0708,O24:2.361;O3:2.383;N30:2.403;N27:2.443;O21:2.574;O57:2.587;O6:2.603;P4:3.201;P19:3.203;O5:3.273;O20:3.411,FAIL_LONG_BOND,3.1516,0.0544,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_7cee7f336f10_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_7cee7f336f10_attempt01_standard_dup2.xyz,coreCN_max_dist>3.10,7cee7f336f10,template_replan,template_other,phosphoryl_thiophosphoryl_4dent,graph_pocket,"[2, 4, 5, 19, 20, 23, 26, 29]",8,9,1,1,"[4, 19, 26, 29]",4,9,2,1,donors 8->4; coreCN 9->9; n_ligs 1->2; n_fill 1->1; new build_id preserves original geometry
82898fce9546,,63,Eu,3,Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,"[8, 12, 18, 19]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",4,9,2,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_b327caa3b7fb.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_b327caa3b7fb.mol2,,,existing_ok,recovered_from_disk,accepted,Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O39:2.052;O40:2.085;N19:2.391;N13:2.435;N37:2.447;O41:2.575;N6:2.949;N12:3.244;N20:3.554,3.5543,3.6096,0.0553,O39:2.052;O40:2.085;N19:2.391;N13:2.435;N37:2.447;O41:2.575;N6:2.949;N12:3.244;N20:3.554;O38:3.610;N9:4.709,FAIL_LONG_BOND,3.301,0.1971,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_b327caa3b7fb_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_b327caa3b7fb_attempt01_standard_dup2.xyz,no_structures_returned,b327caa3b7fb,template_replan,template_other,filtered_donor_pocket_4dent,graph_pocket,"[5, 8, 11, 12, 18, 19]",6,9,1,3,"[8, 12, 18, 19]",4,9,2,1,donors 6->4; coreCN 9->9; n_ligs 1->2; n_fill 3->1; new build_id preserves original geometry
edbaf992f7bf,,63,Eu,3,Cc1ccn(-c2cncc(-n3ccc(C)n3)n2)n1,"[7, 15, 16, 17]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",4,9,2,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_cb9b04403ae5.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_cb9b04403ae5.mol2,,,existing_ok,recovered_from_disk,accepted,Cc1ccn(-c2cncc(-n3ccc(C)n3)n2)n1,Cc1ccn(-c2cncc(-n3ccc(C)n3)n2)n1,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O34:2.055;O33:2.097;N17:2.348;N16:2.402;N31:2.462;O35:2.539;N18:2.618;N11:3.282;N5:3.450,3.4498,3.6305,0.1807,O34:2.055;O33:2.097;N17:2.348;N16:2.402;N31:2.462;O35:2.539;N18:2.618;N11:3.282;N5:3.450;O32:3.630;N8:4.494,FAIL_LONG_BOND,3.3935,0.009,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_cb9b04403ae5_attempt01_standard.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_cb9b04403ae5_attempt01_standard.xyz,coreCN_max_dist>3.10,cb9b04403ae5,template_replan,template_other,filtered_donor_pocket_4dent,graph_pocket,"[4, 7, 10, 15, 16, 17]",6,9,1,3,"[7, 15, 16, 17]",4,9,2,1,donors 6->4; coreCN 9->9; n_ligs 1->2; n_fill 3->1; new build_id preserves original geometry
d183c84956a2,,63,Eu,3,CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,"[6, 9]","[""S(donor)"", ""S(donor)""]",2,9,4,water,water,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_water_382cd9e53432.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_water_382cd9e53432.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O70:2.548;O21:2.614;O67:2.654;O64:2.657;O5:2.694;S10:2.753;O16:2.845;S7:2.868;O11:3.111,3.1114,3.2357,0.1244,O70:2.548;O21:2.614;O67:2.654;O64:2.657;O5:2.694;S10:2.753;O16:2.845;S7:2.868;O11:3.111;P6:3.236;P9:3.769,FAIL_LONG_BOND,3.1036,0.1102,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_water_382cd9e53432_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_water_382cd9e53432_attempt01_standard_dup2.xyz,timeout,382cd9e53432,template_replan,template_other,phosphoryl_thiophosphoryl_2dent,graph_pocket,"[4, 6, 9, 10, 15, 20]",6,9,1,3,"[6, 9]",2,9,4,1,donors 6->2; coreCN 9->9; n_ligs 1->4; n_fill 3->1; new build_id preserves original geometry
3ead850b1035,,63,Eu,3,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,"[18, 30, 48, 51]","[""S(donor)"", ""S(donor)"", ""N(aromatic)"", ""N(aromatic)""]",4,9,1,water,water,5,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_water_68c904700053.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_water_68c904700053.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,N52:2.500;O133:2.502;O130:2.521;N49:2.535;O127:2.584;S31:2.834;S19:2.885;N9:3.400;N32:3.983,3.9829,inf,inf,N52:2.500;O133:2.502;O130:2.521;N49:2.535;O127:2.584;S31:2.834;S19:2.885;N9:3.400;N32:3.983,FAIL_LONG_BOND,3.8847,inf,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_water_68c904700053_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_water_68c904700053_attempt01_standard_dup2.xyz,coreCN_max_dist>3.10,68c904700053,template_replan,template_other,filtered_donor_pocket_4dent,graph_pocket,"[8, 18, 30, 31, 48, 51]",6,9,1,3,"[18, 30, 48, 51]",4,9,1,5,donors 6->4; coreCN 9->9; n_ligs 1->1; n_fill 3->5; new build_id preserves original geometry
505d828558f4,,67,Ho,3,CCCCCCOP(=O)(O)OCCCCCC,"[8, 9]","[""O(ether)"", ""O(hydroxyl)""]",2,8,4,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig2_nitrate_59fa2fc349b4.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig2_nitrate_59fa2fc349b4.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCOP(=O)(O)OCCCCCC,CCCCCCOP(=O)(O)OCCCCCC,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O9:2.046;O53:2.113;O11:2.199;O51:2.365;P52:2.672;P8:2.744;O55:2.921;O7:3.847,3.8466,3.8723,0.0258,O9:2.046;O53:2.113;O11:2.199;O51:2.365;P52:2.672;P8:2.744;O55:2.921;O7:3.847;O10:3.872;O54:4.139,,,,,,timeout,59fa2fc349b4,template_replan,template_other,phosphoryl_thiophosphoryl_2dent,graph_pocket,"[6, 8, 9, 10]",4,8,2,0,"[8, 9]",2,8,4,0,donors 4->2; coreCN 8->8; n_ligs 2->4; n_fill 0->0; new build_id preserves original geometry
824d835c63ca,,59,Pr,3,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,"[18, 30, 48, 51]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)""]",4,9,1,water,water,5,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig2_water_c30d549b27cf.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig2_water_c30d549b27cf.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O145:2.227;O157:2.244;O31:2.296;O19:2.405;N52:2.423;N178:2.453;N49:2.459;N175:2.462;O253:3.431,3.4306,4.1936,0.763,O145:2.227;O157:2.244;O31:2.296;O19:2.405;N52:2.423;N178:2.453;N49:2.459;N175:2.462;O253:3.431;N158:4.194;N135:4.210;N32:4.375;N9:4.459,BORDERLINE_LONGISH,3.0151,1.3219,data/processed/geometries_regenerated_fail_long_bond/rejected/Pr/Pr_Z59_ox3_CN9_nlig2_water_c30d549b27cf_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Pr/Pr_Z59_ox3_CN9_nlig2_water_c30d549b27cf_attempt01_standard_dup2.xyz,coreCN_max_dist>2.95,c30d549b27cf,template_replan,template_other,filtered_donor_pocket_4dent,graph_pocket,"[18, 30, 48, 51]",4,9,2,1,"[18, 30, 48, 51]",4,9,1,5,donors 4->4; coreCN 9->9; n_ligs 2->1; n_fill 1->5; new build_id preserves original geometry
a477b66d3580,,65,Tb,3,CCCCCCOP(=O)(O)OCCCCCC,"[8, 9]","[""O(ether)"", ""O(hydroxyl)""]",2,8,4,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tb/Tb_Z65_ox3_CN8_nlig2_nitrate_5cfc95c5b8bd.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tb/Tb_Z65_ox3_CN8_nlig2_nitrate_5cfc95c5b8bd.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCOP(=O)(O)OCCCCCC,CCCCCCOP(=O)(O)OCCCCCC,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O53:2.071;O55:2.087;O51:2.148;O9:2.197;O7:2.297;P52:2.667;P8:2.810;O11:3.715,3.7149,3.8454,0.1305,O53:2.071;O55:2.087;O51:2.148;O9:2.197;O7:2.297;P52:2.667;P8:2.810;O11:3.715;O54:3.845;O10:4.106,,,,,,timeout,5cfc95c5b8bd,template_replan,template_other,phosphoryl_thiophosphoryl_2dent,graph_pocket,"[6, 8, 9, 10]",4,8,2,0,"[8, 9]",2,8,4,0,donors 4->2; coreCN 8->8; n_ligs 2->4; n_fill 0->0; new build_id preserves original geometry
