build_id,reference,Atomic Number_metal,metal_symbol,metal_ox,canonical_smiles,SMILES_FOR_ARCHITECTOR,COORDLIST,DONOR_TYPES,DENTATE,coreCN,n_ligs,inner_sphere_anion,fill_ligand,n_fill,geometry_key,rows_covered,condition_variant_count,condition_environment_examples,acid_concentration_M_min,acid_concentration_M_max,temperature_C_min,temperature_C_max,geometry_status,geometry_note,xyz_path,mol2_path,sdf_path
f3f070427c1f,,63,Eu,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[""O(amide_carbonyl)"", ""N(amine)"", ""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",4,9,2,nitrate,nitrate,1,63|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,11,7,acid_class=nitrate|acid_strength_bin=high|nitrate_activity=high|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=short|shaking_time_bin=missing|phase_ratio_bin=missing;acid_class=nitrate|acid_strength_bin=high|nitrate_activity=high|pH_bin=missing|diluent_family=other|modifier_class=none|temperature_bin=ambient|contact_time_bin=short|shaking_time_bin=missing|phase_ratio_bin=missing;acid_class=nitrate|acid_strength_bin=low|nitrate_activity=low|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=short|shaking_time_bin=missing|phase_ratio_bin=missing;acid_class=nitrate|acid_strength_bin=low|nitrate_activity=low|pH_bin=missing|diluent_family=other|modifier_class=none|temperature_bin=ambient|contact_time_bin=short|shaking_time_bin=missing|phase_ratio_bin=missing;acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,0.10017,4.139,22.0,25.0,planned,fill_1x_nitrate,,,
bd11f8c14383,,64,Gd,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[""O(amide_carbonyl)"", ""N(amine)"", ""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",4,9,2,nitrate,nitrate,1,64|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,1,1,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,1.0,1.0,25.0,25.0,planned,fill_1x_nitrate,,,
033b4c93146d,,57,La,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[""O(amide_carbonyl)"", ""N(amine)"", ""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",4,9,2,nitrate,nitrate,1,57|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,1,1,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,1.0,1.0,25.0,25.0,planned,fill_1x_nitrate,,,
3927fc1f583b,,70,Yb,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[""O(amide_carbonyl)"", ""N(amine)"", ""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",4,8,2,nitrate,nitrate,0,70|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,1,1,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,1.0,1.0,25.0,25.0,planned,ok,,,
3dd657f759a8,,57,La,3,CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,"[10, 44]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",2,9,4,nitrate,nitrate,1,57|CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC|nitrate,1,1,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aromatic|modifier_class=none|temperature_bin=ambient|contact_time_bin=missing|shaking_time_bin=missing|phase_ratio_bin=missing,1.0,1.0,25.0,25.0,planned,fill_1x_nitrate,,,
c25a798202a1,,60,Nd,3,CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,"[10, 44]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",2,9,4,nitrate,nitrate,1,60|CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC|nitrate,1,1,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aromatic|modifier_class=none|temperature_bin=ambient|contact_time_bin=missing|shaking_time_bin=missing|phase_ratio_bin=missing,1.0,1.0,25.0,25.0,planned,fill_1x_nitrate,,,
c6b5c3f7cc44,,63,Eu,3,CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,"[10, 44]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",2,9,4,nitrate,nitrate,1,63|CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC|nitrate,1,1,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aromatic|modifier_class=none|temperature_bin=ambient|contact_time_bin=missing|shaking_time_bin=missing|phase_ratio_bin=missing,1.0,1.0,25.0,25.0,planned,fill_1x_nitrate,,,
74b654cc8157,,66,Dy,3,CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,"[10, 44]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",2,8,4,nitrate,nitrate,0,66|CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC|nitrate,1,1,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aromatic|modifier_class=none|temperature_bin=ambient|contact_time_bin=missing|shaking_time_bin=missing|phase_ratio_bin=missing,1.0,1.0,25.0,25.0,planned,ok,,,
b63ff46d0633,,59,Pr,3,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,"[26, 28, 31]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,9,3,nitrate,nitrate,0,59|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC|nitrate,12,2,acid_class=nitrate|acid_strength_bin=high|nitrate_activity=high|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=short|shaking_time_bin=missing|phase_ratio_bin=missing;acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=short|shaking_time_bin=missing|phase_ratio_bin=missing,0.5,4.0,25.0,25.0,planned,ok,,,
b7e4a26801b1,,63,Eu,3,CCN(CC)C(=O)COc1c2cc(OC)cc1Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)C2,CCN(CC)C(=O)COc1c2cc(OC)cc1Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)C2,"[6, 8, 13]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(ether)""]",3,9,3,nitrate,nitrate,0,63|CCN(CC)C(=O)COc1c2cc(OC)cc1Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)C2|nitrate,1,1,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=nitroaromatic|modifier_class=none|temperature_bin=ambient|contact_time_bin=missing|shaking_time_bin=missing|phase_ratio_bin=missing,1.0,1.0,25.0,25.0,planned,ok,,,
