build_id,reference,Atomic Number_metal,metal_symbol,metal_ox,SMILES_FOR_ARCHITECTOR,COORDLIST,DONOR_TYPES,DENTATE,coreCN,n_ligs,inner_sphere_anion,fill_ligand,n_fill,xyz_path,mol2_path,sdf_path,energy_eV,status,note,qc_status,smiles_for_architector_original,smiles_for_architector_used,simplified_ligand,ligtype_override,xyz_exists,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest,best_qc_class,best_coreCN_max_dist,best_gap_after_coreCN,best_xyz_path,best_failed_xyz_path,failure_note,source_build_id,rescue_route,run_group,ligand_family,donor_strategy,original_COORDLIST,original_DENTATE,original_coreCN,original_n_ligs,original_n_fill,proposed_COORDLIST,proposed_DENTATE,proposed_coreCN,proposed_n_ligs,proposed_n_fill,template_change_note
7f67dd10b8c9,,58,Ce,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 4, 7, 10, 13, 17]","[""O(ester_carbonyl)"", ""N(amine)"", ""O(hydroxyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(ester_carbonyl)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_1deb3f946bab.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_1deb3f946bab.mol2,,,existing_ok,recovered_from_disk,accepted,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O14:2.137;O1:2.140;O18:2.206;O8:2.361;O38:2.433;N5:2.678;N11:3.041;O15:3.176;O3:3.252,3.2522,4.3641,1.1119,O14:2.137;O1:2.140;O18:2.206;O8:2.361;O38:2.433;N5:2.678;N11:3.041;O15:3.176;O3:3.252;O19:4.364,FAIL_LONG_BOND,3.407,1.0036,data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_1deb3f946bab_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_1deb3f946bab_attempt02_standard_dup2.xyz,coreCN_max_dist>3.10,1deb3f946bab,template_replan,template_aminopolycarboxylate,aminopolycarboxylate_6dent,graph_pocket,"[0, 2, 4, 7, 10, 13, 14, 17]",8,9,1,1,"[0, 4, 7, 10, 13, 17]",6,9,1,3,donors 8->6; coreCN 9->9; n_ligs 1->1; n_fill 1->3; new build_id preserves original geometry
1dffbb101d5b,,58,Ce,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 4, 7, 15, 18, 22]","[""O(ester_carbonyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(ester_carbonyl)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_6774552a35e9.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_6774552a35e9.mol2,,,existing_ok,recovered_from_disk,accepted,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O8:2.192;O23:2.256;O19:2.257;O1:2.316;O47:2.350;N5:2.716;N16:2.725;O20:4.243;O9:4.311,4.3106,4.3788,0.0681,O8:2.192;O23:2.256;O19:2.257;O1:2.316;O47:2.350;N5:2.716;N16:2.725;O20:4.243;O9:4.311;O24:4.379;O3:4.416,FAIL_LONG_BOND,3.8333,1.3385,data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_6774552a35e9_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_6774552a35e9_attempt01_standard_dup2.xyz,coreCN_max_dist>3.10,6774552a35e9,template_replan,template_aminopolycarboxylate,aminopolycarboxylate_6dent,graph_pocket,"[0, 2, 4, 7, 8, 15, 18, 19]",8,9,1,1,"[0, 4, 7, 15, 18, 22]",6,9,1,3,donors 8->6; coreCN 9->9; n_ligs 1->1; n_fill 1->3; new build_id preserves original geometry
2b190032c56e,,66,Dy,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 4, 7, 10, 13, 17]","[""O(ester_carbonyl)"", ""N(amine)"", ""O(hydroxyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(ester_carbonyl)""]",6,8,1,nitrate,nitrate,2,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_932ef4e2c665.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_932ef4e2c665.mol2,,,existing_ok,recovered_from_disk,accepted,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O1:2.124;O18:2.124;O14:2.154;O8:2.362;N5:2.415;N11:2.623;O3:4.036;O19:4.237,4.2368,4.2397,0.0029,O1:2.124;O18:2.124;O14:2.154;O8:2.362;N5:2.415;N11:2.623;O3:4.036;O19:4.237;O15:4.240,FAIL_LONG_BOND,3.893,0.3691,data/processed/geometries_regenerated_fail_long_bond/rejected/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_932ef4e2c665_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_932ef4e2c665_attempt02_standard_dup2.xyz,coreCN_max_dist>3.10,932ef4e2c665,template_replan,template_aminopolycarboxylate,aminopolycarboxylate_6dent,graph_pocket,"[0, 2, 4, 7, 10, 13, 14, 17]",8,8,1,0,"[0, 4, 7, 10, 13, 17]",6,8,1,2,donors 8->6; coreCN 8->8; n_ligs 1->1; n_fill 0->2; new build_id preserves original geometry
c83f2b866c76,,63,Eu,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 4, 7, 10, 13, 17]","[""O(ester_carbonyl)"", ""N(amine)"", ""O(hydroxyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(ester_carbonyl)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_28e521f57d3b.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_28e521f57d3b.mol2,,,existing_ok,recovered_from_disk,accepted,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O14:2.123;O1:2.264;O18:2.313;O8:2.407;O38:2.407;N5:2.510;N11:2.872;O15:3.322;O3:4.348,4.3477,4.4904,0.1427,O14:2.123;O1:2.264;O18:2.313;O8:2.407;O38:2.407;N5:2.510;N11:2.872;O15:3.322;O3:4.348;O19:4.490,FAIL_LONG_BOND,4.2119,0.0061,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_28e521f57d3b_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_28e521f57d3b_attempt02_standard_dup2.xyz,coreCN_max_dist>3.10,28e521f57d3b,template_replan,template_aminopolycarboxylate,aminopolycarboxylate_6dent,graph_pocket,"[0, 2, 4, 7, 10, 13, 14, 17]",8,9,1,1,"[0, 4, 7, 10, 13, 17]",6,9,1,3,donors 8->6; coreCN 9->9; n_ligs 1->1; n_fill 1->3; new build_id preserves original geometry
644790613fc3,,63,Eu,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 4, 7, 15, 18, 22]","[""O(ester_carbonyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(ester_carbonyl)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_95358dc8e1c2.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_95358dc8e1c2.mol2,,,existing_ok,recovered_from_disk,accepted,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O19:2.220;O23:2.221;O8:2.224;O1:2.273;O47:2.345;N16:2.642;N5:2.646;O20:4.071;O24:4.331,4.3308,4.3388,0.008,O19:2.220;O23:2.221;O8:2.224;O1:2.273;O47:2.345;N16:2.642;N5:2.646;O20:4.071;O24:4.331;O9:4.339;O3:4.380,FAIL_LONG_BOND,3.9572,1.2464,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_95358dc8e1c2_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_95358dc8e1c2_attempt01_standard_dup2.xyz,coreCN_max_dist>3.10,95358dc8e1c2,template_replan,template_aminopolycarboxylate,aminopolycarboxylate_6dent,graph_pocket,"[0, 2, 4, 7, 8, 15, 18, 19]",8,9,1,1,"[0, 4, 7, 15, 18, 22]",6,9,1,3,donors 8->6; coreCN 9->9; n_ligs 1->1; n_fill 1->3; new build_id preserves original geometry
16266565b918,,64,Gd,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 4, 7, 10, 13, 17]","[""O(ester_carbonyl)"", ""N(amine)"", ""O(hydroxyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(ester_carbonyl)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_797b56c554e7.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_797b56c554e7.mol2,,,existing_ok,recovered_from_disk,accepted,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O18:2.195;O14:2.210;O1:2.235;O8:2.327;O38:2.368;N5:2.525;N11:2.745;O3:4.254;O19:4.345,4.3446,4.3627,0.0181,O18:2.195;O14:2.210;O1:2.235;O8:2.327;O38:2.368;N5:2.525;N11:2.745;O3:4.254;O19:4.345;O15:4.363,FAIL_LONG_BOND,3.7636,0.5285,data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_797b56c554e7_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_797b56c554e7_attempt01_standard_dup2.xyz,coreCN_max_dist>3.10,797b56c554e7,template_replan,template_aminopolycarboxylate,aminopolycarboxylate_6dent,graph_pocket,"[0, 2, 4, 7, 10, 13, 14, 17]",8,9,1,1,"[0, 4, 7, 10, 13, 17]",6,9,1,3,donors 8->6; coreCN 9->9; n_ligs 1->1; n_fill 1->3; new build_id preserves original geometry
a393be50ce40,,64,Gd,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 4, 7, 15, 18, 22]","[""O(ester_carbonyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(ester_carbonyl)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_98f86a1f1a95.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_98f86a1f1a95.mol2,,,existing_ok,recovered_from_disk,accepted,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O8:2.152;O19:2.176;O1:2.226;O24:2.322;N16:2.372;N5:2.522;O47:2.724;O23:4.020;O20:4.185,4.1853,4.2042,0.0189,O8:2.152;O19:2.176;O1:2.226;O24:2.322;N16:2.372;N5:2.522;O47:2.724;O23:4.020;O20:4.185;O9:4.204;O3:4.326,FAIL_LONG_BOND,3.4311,0.7315,data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_98f86a1f1a95_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_98f86a1f1a95_attempt02_standard_dup2.xyz,coreCN_max_dist>3.10,98f86a1f1a95,template_replan,template_aminopolycarboxylate,aminopolycarboxylate_6dent,graph_pocket,"[0, 2, 4, 7, 8, 15, 18, 19]",8,9,1,1,"[0, 4, 7, 15, 18, 22]",6,9,1,3,donors 8->6; coreCN 9->9; n_ligs 1->1; n_fill 1->3; new build_id preserves original geometry
7a5f301c3304,,57,La,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 4, 7, 15, 18, 22]","[""O(ester_carbonyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(ester_carbonyl)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_nitrate_448f0760f6e6.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_nitrate_448f0760f6e6.mol2,,,existing_ok,recovered_from_disk,accepted,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O8:2.203;O1:2.216;O23:2.233;O19:2.279;O47:2.393;N16:2.577;N5:2.659;O9:3.981;O3:4.263,4.2634,4.3251,0.0617,O8:2.203;O1:2.216;O23:2.233;O19:2.279;O47:2.393;N16:2.577;N5:2.659;O9:3.981;O3:4.263;O24:4.325;O20:4.341,FAIL_LONG_BOND,4.1911,1.1168,data/processed/geometries_regenerated_fail_long_bond/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_448f0760f6e6_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/La/La_Z57_ox3_CN9_nlig1_nitrate_448f0760f6e6_attempt01_standard_dup2.xyz,coreCN_max_dist>3.10,448f0760f6e6,template_replan,template_aminopolycarboxylate,aminopolycarboxylate_6dent,graph_pocket,"[0, 2, 4, 7, 8, 15, 18, 19]",8,9,1,1,"[0, 4, 7, 15, 18, 22]",6,9,1,3,donors 8->6; coreCN 9->9; n_ligs 1->1; n_fill 1->3; new build_id preserves original geometry
6a3dfa68892d,,57,La,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 4, 7, 10, 13, 17]","[""O(ester_carbonyl)"", ""N(amine)"", ""O(hydroxyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(ester_carbonyl)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_nitrate_d4d6b8c18118.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_nitrate_d4d6b8c18118.mol2,,,existing_ok,recovered_from_disk,accepted,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O1:2.244;O18:2.315;O8:2.394;N11:2.517;N5:2.518;O15:2.571;O38:2.572;O14:4.186;O3:4.282,4.2818,4.4356,0.1538,O1:2.244;O18:2.315;O8:2.394;N11:2.517;N5:2.518;O15:2.571;O38:2.572;O14:4.186;O3:4.282;O19:4.436,FAIL_LONG_BOND,4.0872,0.2973,data/processed/geometries_regenerated_fail_long_bond/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_d4d6b8c18118_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/La/La_Z57_ox3_CN9_nlig1_nitrate_d4d6b8c18118_attempt02_standard_dup2.xyz,coreCN_max_dist>3.10,d4d6b8c18118,template_replan,template_aminopolycarboxylate,aminopolycarboxylate_6dent,graph_pocket,"[0, 2, 4, 7, 10, 13, 14, 17]",8,9,1,1,"[0, 4, 7, 10, 13, 17]",6,9,1,3,donors 8->6; coreCN 9->9; n_ligs 1->1; n_fill 1->3; new build_id preserves original geometry
f89953d575cc,,60,Nd,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 4, 7, 10, 13, 17]","[""O(ester_carbonyl)"", ""N(amine)"", ""O(hydroxyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(ester_carbonyl)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_08ad5b34d70c.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_08ad5b34d70c.mol2,,,existing_ok,recovered_from_disk,accepted,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O14:2.179;O1:2.223;O18:2.228;O38:2.326;O8:2.422;N5:2.561;N11:2.780;O15:4.020;O3:4.329,4.3291,4.357,0.028,O14:2.179;O1:2.223;O18:2.228;O38:2.326;O8:2.422;N5:2.561;N11:2.780;O15:4.020;O3:4.329;O19:4.357,BORDERLINE_LONGISH,3.0311,1.4064,data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_08ad5b34d70c_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_08ad5b34d70c_attempt02_standard_dup2.xyz,coreCN_max_dist>2.95,08ad5b34d70c,template_replan,template_aminopolycarboxylate,aminopolycarboxylate_6dent,graph_pocket,"[0, 2, 4, 7, 10, 13, 14, 17]",8,9,1,1,"[0, 4, 7, 10, 13, 17]",6,9,1,3,donors 8->6; coreCN 9->9; n_ligs 1->1; n_fill 1->3; new build_id preserves original geometry
