queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
1,af7d4ce816f6,Eu,63,3,CCCCCCCCNC(=O)c1cnccn1,"[10, 13, 16]",3,9,3,nitrate,63|CCCCCCCCNC(=O)c1cnccn1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_af7d4ce816f6.xyz,1,large_ligand_fast,954053840,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_af7d4ce816f6_attempt01_large_ligand_fast.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_af7d4ce816f6_attempt01_large_ligand_fast.mol2,-4190.042901666718,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O49:2.073;O11:2.126;O87:2.281;N55:2.322;N90:2.699;N17:3.157;N14:3.203;N93:3.560;N47:4.097,4.0968,4.1428,0.046,O49:2.073;O11:2.126;O87:2.281;N55:2.322;N90:2.699;N17:3.157;N14:3.203;N93:3.560;N47:4.097;N9:4.143;N85:4.321;N52:4.354
1,af7d4ce816f6,Eu,63,3,CCCCCCCCNC(=O)c1cnccn1,"[10, 13, 16]",3,9,3,nitrate,63|CCCCCCCCNC(=O)c1cnccn1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_af7d4ce816f6.xyz,2,standard,969539703,50,6,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
1,af7d4ce816f6,Eu,63,3,CCCCCCCCNC(=O)c1cnccn1,"[10, 13, 16]",3,9,3,nitrate,63|CCCCCCCCNC(=O)c1cnccn1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_af7d4ce816f6.xyz,3,large_ligand_deep,985025566,60,7,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
2,5cfc95c5b8bd,Tb,65,3,CCCCCCOP(=O)(O)OCCCCCC,"[6, 8, 9, 10]",4,8,2,nitrate,65|CCCCCCOP(=O)(O)OCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tb/Tb_Z65_ox3_CN8_nlig2_nitrate_5cfc95c5b8bd.xyz,1,large_ligand_fast,1086109062,40,5,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
2,5cfc95c5b8bd,Tb,65,3,CCCCCCOP(=O)(O)OCCCCCC,"[6, 8, 9, 10]",4,8,2,nitrate,65|CCCCCCOP(=O)(O)OCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tb/Tb_Z65_ox3_CN8_nlig2_nitrate_5cfc95c5b8bd.xyz,2,standard,1101594925,50,6,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
2,5cfc95c5b8bd,Tb,65,3,CCCCCCOP(=O)(O)OCCCCCC,"[6, 8, 9, 10]",4,8,2,nitrate,65|CCCCCCOP(=O)(O)OCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tb/Tb_Z65_ox3_CN8_nlig2_nitrate_5cfc95c5b8bd.xyz,3,large_ligand_deep,1117080788,60,7,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
3,ec68ed441941,Eu,63,3,CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1,"[14, 18, 22]",3,9,3,nitrate,63|CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_ec68ed441941.xyz,1,large_ligand_fast,212523007,40,5,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
3,ec68ed441941,Eu,63,3,CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1,"[14, 18, 22]",3,9,3,nitrate,63|CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_ec68ed441941.xyz,2,standard,228008870,50,6,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
3,ec68ed441941,Eu,63,3,CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1,"[14, 18, 22]",3,9,3,nitrate,63|CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_ec68ed441941.xyz,3,large_ligand_deep,243494733,60,7,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
4,59fa2fc349b4,Ho,67,3,CCCCCCOP(=O)(O)OCCCCCC,"[6, 8, 9, 10]",4,8,2,nitrate,67|CCCCCCOP(=O)(O)OCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig2_nitrate_59fa2fc349b4.xyz,1,large_ligand_fast,574836323,40,5,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
4,59fa2fc349b4,Ho,67,3,CCCCCCOP(=O)(O)OCCCCCC,"[6, 8, 9, 10]",4,8,2,nitrate,67|CCCCCCOP(=O)(O)OCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig2_nitrate_59fa2fc349b4.xyz,2,standard,590322186,50,6,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
4,59fa2fc349b4,Ho,67,3,CCCCCCOP(=O)(O)OCCCCCC,"[6, 8, 9, 10]",4,8,2,nitrate,67|CCCCCCOP(=O)(O)OCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig2_nitrate_59fa2fc349b4.xyz,3,large_ligand_deep,605808049,60,7,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
5,8d3294e0ac8d,Eu,63,3,CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,"[3, 8, 21, 22, 25, 29, 33, 34]",8,9,1,nitrate,63|CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_8d3294e0ac8d.xyz,1,large_ligand_fast,1495142084,40,5,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
5,8d3294e0ac8d,Eu,63,3,CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,"[3, 8, 21, 22, 25, 29, 33, 34]",8,9,1,nitrate,63|CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_8d3294e0ac8d.xyz,2,standard,1510627947,50,6,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
5,8d3294e0ac8d,Eu,63,3,CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,"[3, 8, 21, 22, 25, 29, 33, 34]",8,9,1,nitrate,63|CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_8d3294e0ac8d.xyz,3,large_ligand_deep,1526113810,60,7,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_8d3294e0ac8d_attempt03_large_ligand_deep.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_8d3294e0ac8d_attempt03_large_ligand_deep.mol2,-3036.2164137993004,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N34:2.390;O4:2.528;O69:2.545;N35:2.722;N26:2.772;N22:2.915;N9:2.956;N23:3.302;N37:3.709,3.7088,3.833,0.1241,N34:2.390;O4:2.528;O69:2.545;N35:2.722;N26:2.772;N22:2.915;N9:2.956;N23:3.302;N37:3.709;N36:3.833;O30:4.599
6,9ce4f4d1c0d5,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23]",3,9,3,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_9ce4f4d1c0d5.xyz,1,large_ligand_fast,900848718,40,5,250,-11,build_failed,False,,,,,,BUILD_FAILED,exit-11,,,,,
6,9ce4f4d1c0d5,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23]",3,9,3,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_9ce4f4d1c0d5.xyz,2,standard,916334581,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_9ce4f4d1c0d5_attempt02_standard.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_9ce4f4d1c0d5_attempt02_standard.mol2,-14486.629271874035,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O19:2.231;O310:2.326;O162:2.330;O305:2.418;O164:2.548;O21:2.562;O307:2.580;O167:3.146;O24:3.686,3.6864,4.333,0.6466,O19:2.231;O310:2.326;O162:2.330;O305:2.418;O164:2.548;O21:2.562;O307:2.580;O167:3.146;O24:3.686;N9:4.333;N311:4.435;N152:4.512;N295:4.583;N25:4.875;N168:5.112;O33:5.847;N31:7.436;O35:8.191;N174:8.399;O178:8.952;O181:9.060;N182:9.320;O38:9.610;N317:9.891;O176:10.512;O319:10.844;O321:10.980;N39:10.989;N325:13.041;O324:13.486
6,9ce4f4d1c0d5,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23]",3,9,3,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_9ce4f4d1c0d5.xyz,3,large_ligand_deep,931820444,60,7,250,-6,build_failed,False,,,,,corrupted size vs. prev_size,BUILD_FAILED,corrupted size vs. prev_size,,,,,
7,8cbfdc7e4dd4,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23]",3,9,3,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_8cbfdc7e4dd4.xyz,1,large_ligand_fast,1556899036,40,5,250,0,accepted,True,,data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_8cbfdc7e4dd4_attempt01_large_ligand_fast.xyz,data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_8cbfdc7e4dd4_attempt01_large_ligand_fast.mol2,-14748.684483937985,,OK,nearest_coreCN_qc_ok,O165:2.385;O24:2.426;O170:2.428;O313:2.559;O316:2.566;O21:2.707;O19:2.769;O311:2.791;O167:2.862,2.8623,4.4715,1.6092,O165:2.385;O24:2.426;O170:2.428;O313:2.559;O316:2.566;O21:2.707;O19:2.769;O311:2.791;O167:2.862;N155:4.472;N25:4.515;N171:4.615;N317:4.669;N301:4.851;N9:4.882;O39:6.378;O34:6.465;O185:6.693;N332:6.751;N186:6.975;O36:7.164;O182:7.353;O180:7.398;N40:7.429;O331:7.977;N178:8.347;N32:8.657;N324:8.957;O326:9.132;O328:9.373
8,64eab4384a5e,Nd,60,3,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,"[26, 28, 31, 34]",4,9,2,water,60|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig2_water_64eab4384a5e.xyz,1,large_ligand_fast,572694997,40,5,250,7,build_failed,False,,,,,Cannot assign lig CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC to any ligType!,BUILD_FAILED,Cannot assign lig CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC to any ligType!,,,,,
8,64eab4384a5e,Nd,60,3,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,"[26, 28, 31, 34]",4,9,2,water,60|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig2_water_64eab4384a5e.xyz,2,standard,588180860,50,6,250,7,build_failed,False,,,,,Cannot assign lig CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC to any ligType!,BUILD_FAILED,Cannot assign lig CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC to any ligType!,,,,,
8,64eab4384a5e,Nd,60,3,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,"[26, 28, 31, 34]",4,9,2,water,60|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig2_water_64eab4384a5e.xyz,3,large_ligand_deep,603666723,60,7,250,7,build_failed,False,,,,,Cannot assign lig CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC to any ligType!,BUILD_FAILED,Cannot assign lig CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC to any ligType!,,,,,
9,45970656f998,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1,"[8, 18, 24, 25, 42]",5,9,1,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_45970656f998.xyz,1,large_ligand_fast,732142857,40,5,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
9,45970656f998,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1,"[8, 18, 24, 25, 42]",5,9,1,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_45970656f998.xyz,2,standard,747628720,50,6,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
9,45970656f998,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1,"[8, 18, 24, 25, 42]",5,9,1,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_45970656f998.xyz,3,large_ligand_deep,763114583,60,7,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
