smiles_for_architector_used,n_metals,n_rows,n_core_sigs,qc_bad,qc_borderline,qc_ok,max_core_dist,min_gap,metals,core_sigs
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,13,23,4,23,0,0,4.538059275833266,0.0270445610638141,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Yb,"N3,O5;N3,O6;N4,O4;N4,O5"
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,14,14,2,14,0,0,4.489908038395702,,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,"N8;N8,O1"
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,13,14,2,14,0,0,4.793414345762994,,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Yb,"N8;N8,O1"
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,14,14,3,14,0,0,4.45901878267341,0.0417413402980413,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,"N6,O3;N7,O1;N7,O2"
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,14,14,3,13,1,0,4.611130499267814,0.0547022333889795,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,"N6,O3;N7,O1;N7,O2"
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,8,8,2,8,0,0,4.347709288089692,0.0028564541242479,Ce;Dy;Eu;Gd;La;Nd;Pr;Sm,"N2,O6;N2,O7"
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],14,28,4,7,7,14,3.608734886114577,0.0136105044227434,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,"N1,O7;N1,O8;O8;O9"
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,9,9,2,7,1,1,3.891736499653865,0.5152984160085108,Dy;Er;Eu;Gd;La;Nd;Pr;Sm;Tb,O8;O9
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,8,8,2,7,0,1,4.3701653385314945,0.0079786047511571,Ce;Dy;Eu;Gd;La;Nd;Pr;Sm,"N2,O6;N2,O7"
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,14,14,2,6,0,8,3.486848495724397,0.0435070522806628,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,O8;O9
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,14,14,2,5,0,9,3.460604748805124,0.1969828408899085,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,O8;O9
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,5,5,2,5,0,0,3.658286837429831,0.3231911219919516,Dy;Eu;Gd;Nd;Sm,O8;O9
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,14,15,2,4,7,4,3.746305732465291,0.0077266238891757,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,"N1,O7;O9"
