smiles_for_architector_used,n_metals,n_rows,n_shell_modes,cn_min,cn_max,max_dist,metals,shell_modes
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,4,4,2,9,10,2.847007422384522,"Ce,Er,Eu,La","N1,O8 || N1,O9"
C1COCCOCCOCCOCCOCCO1,5,5,2,9,10,2.879395496724943,"Ce,Er,Eu,La,Pr","N1,O8 || N1,O9"
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,14,14,3,7,9,3.1567024743794816,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",O7 || O8 || O9
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,6,6,1,9,9,3.0087919618509678,"Ce,Eu,La,Nd,Pr,Sm",O9
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,8,8,2,9,9,2.8188855056771347,"Dy,Er,Eu,Gd,La,Lu,Nd,Sm","N1,O8 || O9"
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,14,14,5,5,8,3.1289832976014926,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N5 || N5,O1 || N6,O1 || N7 || N7,O1"
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,14,14,7,4,9,3.196712100852,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N3,O1 || N5,O1 || N5,O2 || N6,O1 || N6,O2 || N6,O3 || N7,O2"
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,13,13,2,8,9,3.0357130309324676,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Sm,Tb,Tm,Yb",O8 || O9
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,2,2,2,7,8,2.9498805736941405,"Eu,Nd","N2,O5 || N2,O6"
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,13,21,3,8,9,3.1414974656925096,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Sm,Tb,Tm,Yb","N1,O8 || O8 || O9"
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,6,6,1,9,9,2.934976995541271,"Ce,Eu,La,Nd,Pr,Sm",O9
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,6,6,2,8,9,2.891048430124321,"Dy,Er,Gd,Nd,Sm,Yb",O8 || O9
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,11,11,3,7,9,3.0806257885365995,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Tb,Yb",O7 || O8 || O9
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,13,13,2,8,9,3.1790852012090935,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Tb,Tm,Yb",O8 || O9
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,7,7,1,9,9,3.102790005571864,"Ce,Eu,Gd,La,Nd,Pr,Sm",O9
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,10,10,2,8,9,3.074752271883028,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Sm,Yb",O8 || O9
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,14,14,3,8,9,3.1225561090456186,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N1,O8 || O8 || O9"
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,6,6,3,8,9,3.0471168038013134,"Dy,Eu,Gd,Nd,Sm,Tb","N1,O8 || O8 || O9"
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,14,20,3,8,9,3.032804129247321,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N1,O8 || O8 || O9"
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,5,5,3,7,9,3.02050577902578,"Dy,Er,Eu,Lu,Nd","N1,O8 || O7 || O9"
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,10,10,3,8,9,3.018749587281902,"Dy,Er,Eu,Gd,Ho,Lu,Sm,Tb,Tm,Yb","N1,O8 || O8 || O9"
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,6,6,3,8,9,3.1870787670819514,"Ce,Eu,La,Nd,Tm,Yb","N1,O8 || O8 || O9"
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,14,14,3,9,10,3.1462404395234156,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N5,O4 || N5,O5 || N6,O3"
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,9,9,3,7,9,3.140207413383541,"Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Tb",O7 || O8 || O9
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,14,14,4,8,9,3.1602339902883823,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N1,O7 || N1,O8 || O8 || O9"
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,9,9,2,8,9,2.9725039264079403,"Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Tb",O8 || O9
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,14,26,3,8,9,3.115930221606893,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N1,O8 || O8 || O9"
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,11,11,2,8,9,3.1817866838389333,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Sm,Yb",O8 || O9
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,7,7,3,8,9,2.842892702104807,"Dy,Er,Eu,Gd,La,Lu,Nd","N1,O8 || O8 || O9"
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,8,8,2,9,9,3.1119660075299356,"Dy,Er,Eu,Gd,La,Lu,Nd,Sm","N1,O8 || O9"
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,12,12,2,8,9,2.930649509405545,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Pr,Tb,Tm,Yb",O8 || O9
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,12,12,2,8,9,3.1887945248867684,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Pr,Tb,Tm,Yb",O8 || O9
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,13,13,2,8,9,3.0821680914270355,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Tb,Tm,Yb",O8 || O9
