build_id,reference,Atomic Number_metal,metal_symbol,metal_ox,SMILES_FOR_ARCHITECTOR,COORDLIST,DONOR_TYPES,DENTATE,coreCN,n_ligs,inner_sphere_anion,fill_ligand,n_fill,xyz_path,mol2_path,sdf_path,energy_eV,status,note,qc_status,smiles_for_architector_original,smiles_for_architector_used,simplified_ligand,xyz_exists,qc_class,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
d35fe5d1f27d,,65,Tb,3,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,"[3, 10, 19]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)"", ""N(aromatic)""]",3,8,2,nitrate,nitrate,2,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tb/Tb_Z65_ox3_CN8_nlig2_nitrate_d35fe5d1f27d.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tb/Tb_Z65_ox3_CN8_nlig2_nitrate_d35fe5d1f27d.mol2,,-4318.323557034102,ok,built (standard attempt 1),accepted,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,False,True,BORDERLINE_AMBIGUOUS_SHELL,"N2,O6",2.5174665710778457,2.612426540451481,0.09495996937363538,"94:O:2.09,93:O:2.12,49:O:2.17,4:O:2.22,56:O:2.25,11:O:2.46,91:N:2.47,65:N:2.52,20:N:2.61,92:O:3.65,47:N:4.34,2:N:4.41,57:N:4.42,12:N:4.56"
4cbc57f69c3c,,63,Eu,3,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,"[4, 16, 28, 29]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)""]",4,9,2,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_4cbc57f69c3c.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_4cbc57f69c3c.mol2,,-5895.397194245243,ok,built (standard attempt 1),accepted,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,False,True,BORDERLINE_LONGISH,"N4,O5",3.03503752466023,4.24874950324643,1.2137119785862005,"5:O:2.14,77:O:2.21,17:O:2.22,89:O:2.25,30:N:2.43,102:N:2.45,101:N:2.46,29:N:2.50,145:O:3.04,3:N:4.25,75:N:4.35,90:N:4.37,18:N:4.41"
ee16c94c1ba9,,59,Pr,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 10, 13, 14, 17]","[""O(ester_carbonyl)"", ""O(hydroxyl)"", ""N(amine)"", ""O(hydroxyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(hydroxyl)"", ""O(ester_carbonyl)""]",8,9,1,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_ee16c94c1ba9.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_ee16c94c1ba9.mol2,,-1899.635245713774,ok,built (standard attempt 1),accepted,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,False,True,FAIL_LONG_BOND,"N2,O7",4.268851544325679,4.321081680431019,0.05223013610533922,"1:O:2.21,14:O:2.22,18:O:2.24,5:N:2.49,8:O:2.49,11:N:2.56,38:O:2.77,3:O:4.19,15:O:4.27,19:O:4.32"
7810eaa2122a,,71,Lu,3,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,"[4, 11, 22]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)"", ""N(aromatic)""]",3,8,2,nitrate,nitrate,2,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Lu/Lu_Z71_ox3_CN8_nlig2_nitrate_7810eaa2122a.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Lu/Lu_Z71_ox3_CN8_nlig2_nitrate_7810eaa2122a.mol2,,-5006.175201602094,ok,built (standard attempt 1),accepted,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,False,True,BORDERLINE_AMBIGUOUS_SHELL,"N2,O6",2.478944070875023,2.5391214380631117,0.06017736718808875,"5:O:2.01,69:O:2.07,62:O:2.10,118:O:2.14,80:N:2.20,117:O:2.21,12:O:2.40,23:N:2.48,115:N:2.54,116:O:3.72,70:N:4.10,60:N:4.14,3:N:4.14,13:N:4.55"
b4b96a003a01,,65,Tb,3,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,"[11, 20]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",2,8,4,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tb/Tb_Z65_ox3_CN8_nlig4_nitrate_b4b96a003a01.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tb/Tb_Z65_ox3_CN8_nlig4_nitrate_b4b96a003a01.mol2,,-10823.48868807022,ok,built (standard attempt 1),accepted,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,False,True,FAIL_LONG_BOND,O8,3.313538273240403,4.562328360782367,1.2487900875419635,"106:O:2.38,12:O:2.38,276:O:2.58,191:O:2.72,267:O:2.74,182:O:3.00,97:O:3.02,21:O:3.31,9:N:4.56,107:N:4.56,277:N:4.79,192:N:4.86,264:N:4.98,179:N:5.24,94:N:5.24,22:N:5.34"
95a1bbb26c49,,64,Gd,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[9, 22, 23, 26, 35, 36, 37, 38]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",8,9,1,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_95a1bbb26c49.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_95a1bbb26c49.mol2,,-3160.6554449037576,ok,built (standard attempt 1),accepted,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,False,True,FAIL_LONG_BOND,"N8,O1",4.433439914480352,,,"23:N:2.18,38:N:2.26,24:N:2.44,79:O:2.59,36:N:2.59,37:N:2.59,39:N:3.09,27:N:3.80,10:N:4.43"
b27655c8eeb9,,60,Nd,3,CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,"[18, 20, 23]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,9,3,water,water,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig3_water_b27655c8eeb9.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig3_water_b27655c8eeb9.mol2,,-10602.530263887556,ok,built (standard attempt 2),accepted,CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,False,True,BORDERLINE_LONGISH,O9,3.0000713285187635,4.133149859388572,1.1330785308698088,"19:O:2.28,237:O:2.32,128:O:2.35,133:O:2.53,242:O:2.59,239:O:2.68,21:O:2.69,24:O:2.71,130:O:3.00,225:N:4.13,116:N:4.46,7:N:4.50,243:N:4.68,134:N:4.72,25:N:4.73"
5bb30e928269,,69,Tm,3,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,"[26, 28, 41]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,8,2,nitrate,nitrate,2,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tm/Tm_Z69_ox3_CN8_nlig2_nitrate_5bb30e928269.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tm/Tm_Z69_ox3_CN8_nlig2_nitrate_5bb30e928269.mol2,,-7721.222515653614,ok,built (standard attempt 1),accepted,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,False,True,BORDERLINE_AMBIGUOUS_SHELL,"N1,O7",2.760852208377692,2.7935505780172893,0.03269836963959749,"231:O:2.11,232:O:2.12,27:O:2.16,156:O:2.20,42:O:2.42,229:N:2.48,141:O:2.72,143:O:2.76,29:O:2.79,230:O:3.66,13:N:4.32,148:N:4.37,34:N:4.46,127:N:4.94"
8ec3e5cffd20,,60,Nd,3,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],"[9, 26, 44]","[""O(ether)"", ""O(ether)"", ""O(ether)""]",3,9,3,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_8ec3e5cffd20.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_8ec3e5cffd20.mol2,,-11602.320888333928,ok,built (standard attempt 2),accepted,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],False,True,FAIL_LONG_BOND,O9,3.238212348253753,3.296273698267992,0.05806135001423929,"165:O:2.26,267:O:2.27,130:O:2.39,285:O:2.42,10:O:2.43,27:O:2.45,45:O:2.57,250:O:2.58,147:O:3.24,284:N:3.30,164:N:3.42,266:P:3.42,129:P:3.56,249:P:3.72,9:P:3.75,26:P:3.83"
f0c8355b615c,,70,Yb,3,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],"[9, 26, 44]","[""O(ether)"", ""O(ether)"", ""O(ether)""]",3,8,2,nitrate,nitrate,2,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Yb/Yb_Z70_ox3_CN8_nlig2_nitrate_f0c8355b615c.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Yb/Yb_Z70_ox3_CN8_nlig2_nitrate_f0c8355b615c.mol2,,-8155.870131459875,ok,built (standard attempt 1),accepted,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],False,True,BORDERLINE_AMBIGUOUS_SHELL,"N1,O7",2.523308667514821,2.5556250377095266,0.03231637019470579,"243:O:2.09,147:O:2.20,130:O:2.22,244:O:2.24,165:O:2.28,45:O:2.28,10:O:2.30,241:N:2.52,27:O:2.56,44:N:3.36,164:N:3.39,129:P:3.47,9:P:3.53,146:P:3.57,242:O:3.71,26:P:3.92"
