queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,accepted_attempt,accepted_xyz_path,accepted_mol2_path,qc_class,coreCN_max_dist,gap_after_coreCN,nearest_coreCN_sig,accepted_for_clean_3d_features,ligtype_override
245,b4b96a003a01,Tb,65,3,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,"[11, 20]",2,8,4,nitrate,65|CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC|nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Tb/Tb_Z65_ox3_CN8_nlig4_nitrate_b4b96a003a01_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Tb/Tb_Z65_ox3_CN8_nlig4_nitrate_b4b96a003a01_attempt01_standard.mol2,OK,2.8701,1.5948,O12:2.269;O97:2.480;O106:2.523;O267:2.592;O276:2.662;O21:2.672;O191:2.783;O182:2.870,True,
186,8ec3e5cffd20,Nd,60,3,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],"[9, 26, 44]",3,9,3,nitrate,60|CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-]|nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_8ec3e5cffd20_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_8ec3e5cffd20_attempt01_standard.mol2,OK,2.5691,1.1082,O27:2.289;O147:2.395;O10:2.408;O165:2.410;O267:2.411;O285:2.456;O250:2.491;O130:2.501;O45:2.569,True,
190,f08b024abf27,Nd,60,3,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,"[22, 25, 29]",3,9,3,nitrate,60|CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC|nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_f08b024abf27_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_f08b024abf27_attempt01_standard.mol2,OK,2.7298,1.4473,O173:2.196;O166:2.323;O23:2.337;O312:2.347;O30:2.352;O169:2.483;O316:2.511;O26:2.702;O309:2.730,True,tri_mer_bent
94,dc1c8a4299f0,Eu,63,3,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,"[14, 16, 19]",3,9,3,nitrate,63|CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C|nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_dc1c8a4299f0_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_dc1c8a4299f0_attempt01_standard.mol2,OK,2.7271,1.6155,O20:2.280;O193:2.309;O104:2.341;O15:2.386;O198:2.488;O109:2.517;O195:2.638;O17:2.663;O106:2.727,True,
208,854acace1b9b,Pr,59,3,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,"[26, 28, 31, 34]",4,9,2,water,59|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC|water,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Pr/Pr_Z59_ox3_CN9_nlig2_water_854acace1b9b_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Pr/Pr_Z59_ox3_CN9_nlig2_water_854acace1b9b_attempt01_standard.mol2,OK,2.7569,0.924,O27:2.255;O203:2.386;O337:2.473;O197:2.576;O29:2.641;O35:2.681;O200:2.690;O32:2.742;O195:2.757,True,tetra_planar_bent
212,67b06e1b77e3,Pr,59,3,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,"[18, 21, 26]",3,9,3,nitrate,59|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_67b06e1b77e3_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_67b06e1b77e3_attempt01_standard.mol2,OK,2.6258,1.7641,O19:2.290;O149:2.333;O141:2.337;O27:2.344;O271:2.356;O263:2.376;O144:2.594;O266:2.604;O22:2.626,True,
85,6be1220425fa,Eu,63,3,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,"[22, 24, 27]",3,9,3,nitrate,63|CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC|nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_6be1220425fa_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_6be1220425fa_attempt01_standard.mol2,OK,2.815,1.6713,O165:2.258;O302:2.328;O23:2.400;O28:2.441;O297:2.518;O160:2.603;O299:2.691;O162:2.696;O25:2.815,True,tri_mer_bent
159,8dec8fe1a8d7,La,57,3,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,"[18, 21, 25]",3,9,3,nitrate,57|CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/La/La_Z57_ox3_CN9_nlig3_nitrate_8dec8fe1a8d7_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/La/La_Z57_ox3_CN9_nlig3_nitrate_8dec8fe1a8d7_attempt01_standard.mol2,OK,2.8229,1.6293,O138:2.344;O264:2.399;O19:2.450;O257:2.496;O260:2.501;O145:2.509;O26:2.513;O141:2.514;O22:2.823,True,
137,5f7899a8a6a7,Gd,64,3,CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,"[9, 12]",2,9,4,nitrate,64|CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1|nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Gd/Gd_Z64_ox3_CN9_nlig4_nitrate_5f7899a8a6a7_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Gd/Gd_Z64_ox3_CN9_nlig4_nitrate_5f7899a8a6a7_attempt01_standard.mol2,OK,2.8404,0.806,O150:2.373;O220:2.432;O10:2.461;O80:2.471;O281:2.522;O223:2.537;O83:2.607;O153:2.727;O13:2.840,True,
100,2ba2430d45f9,Eu,63,3,CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,"[18, 20, 23]",3,9,3,water,63|CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C|water,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_water_2ba2430d45f9_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_water_2ba2430d45f9_attempt01_standard.mol2,OK,2.7642,1.4991,O250:2.217;O19:2.302;O245:2.405;O21:2.422;O24:2.449;O132:2.519;O247:2.604;O137:2.731;O134:2.764,True,
12,71027d67add4,Ce,58,3,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,"[18, 23, 29]",3,9,3,nitrate,58|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,2,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Ce/Ce_Z58_ox3_CN9_nlig3_nitrate_71027d67add4_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Ce/Ce_Z58_ox3_CN9_nlig3_nitrate_71027d67add4_attempt02_standard.mol2,OK,2.8715,1.5945,O19:2.268;O150:2.389;O281:2.411;O161:2.426;O292:2.608;O155:2.639;O30:2.808;O24:2.840;O286:2.872,True,
