queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
245,b4b96a003a01,Tb,65,3,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,"[11, 20]",2,8,4,nitrate,65|CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tb/Tb_Z65_ox3_CN8_nlig4_nitrate_b4b96a003a01.xyz,1,standard,994074236,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Tb/Tb_Z65_ox3_CN8_nlig4_nitrate_b4b96a003a01_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Tb/Tb_Z65_ox3_CN8_nlig4_nitrate_b4b96a003a01_attempt01_standard.mol2,-10824.221041738332,,OK,nearest_coreCN_qc_ok,O12:2.269;O97:2.480;O106:2.523;O267:2.592;O276:2.662;O21:2.672;O191:2.783;O182:2.870,2.8701,4.4649,1.5948,O12:2.269;O97:2.480;O106:2.523;O267:2.592;O276:2.662;O21:2.672;O191:2.783;O182:2.870;N9:4.465;N94:4.619;N107:4.705;N264:4.835;N22:4.891;N277:4.908;N192:5.044;N179:5.096
186,8ec3e5cffd20,Nd,60,3,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],"[9, 26, 44]",3,9,3,nitrate,60|CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-]|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_8ec3e5cffd20.xyz,1,standard,1697555183,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_8ec3e5cffd20_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_8ec3e5cffd20_attempt01_standard.mol2,-11602.17394403272,,OK,nearest_coreCN_qc_ok,O27:2.289;O147:2.395;O10:2.408;O165:2.410;O267:2.411;O285:2.456;O250:2.491;O130:2.501;O45:2.569,2.5691,3.6773,1.1082,O27:2.289;O147:2.395;O10:2.408;O165:2.410;O267:2.411;O285:2.456;O250:2.491;O130:2.501;O45:2.569;P26:3.677;N164:3.687;P146:3.725;N284:3.729;P266:3.731;P9:3.737;N44:3.796;P249:3.827;P129:3.839
190,f08b024abf27,Nd,60,3,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,"[22, 25, 29]",3,9,3,nitrate,60|CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_f08b024abf27.xyz,1,standard,755613743,40,5,250,0,accepted,True,tri_mer_bent,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_f08b024abf27_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_f08b024abf27_attempt01_standard.mol2,-13358.96329303373,,OK,nearest_coreCN_qc_ok,O173:2.196;O166:2.323;O23:2.337;O312:2.347;O30:2.352;O169:2.483;O316:2.511;O26:2.702;O309:2.730,2.7298,4.1771,1.4473,O173:2.196;O166:2.323;O23:2.337;O312:2.347;O30:2.352;O169:2.483;O316:2.511;O26:2.702;O309:2.730;N154:4.177;N174:4.283;N31:4.545;N11:4.553;N317:4.621;N297:4.736
94,dc1c8a4299f0,Eu,63,3,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,"[14, 16, 19]",3,9,3,nitrate,63|CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_dc1c8a4299f0.xyz,1,standard,997650161,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_dc1c8a4299f0_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_dc1c8a4299f0_attempt01_standard.mol2,-8708.841049596489,,OK,nearest_coreCN_qc_ok,O20:2.280;O193:2.309;O104:2.341;O15:2.386;O198:2.488;O109:2.517;O195:2.638;O17:2.663;O106:2.727,2.7271,4.3426,1.6155,O20:2.280;O193:2.309;O104:2.341;O15:2.386;O198:2.488;O109:2.517;O195:2.638;O17:2.663;O106:2.727;N21:4.343;N98:4.512;N187:4.524;N9:4.559;N110:4.599;N199:4.679
79,32f3a20cc804,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,"[18, 20, 23]",3,9,3,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_32f3a20cc804.xyz,2,standard,136751454,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_32f3a20cc804_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_32f3a20cc804_attempt02_standard.mol2,-11939.591452983645,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O272:2.215;O148:2.261;O143:2.271;O267:2.323;O19:2.416;O24:2.482;N269:2.912;N145:3.077;N21:3.139,3.1394,4.4216,1.2823,O272:2.215;O148:2.261;O143:2.271;O267:2.323;O19:2.416;O24:2.482;N269:2.912;N145:3.077;N21:3.139;N273:4.422;N149:4.465;N133:4.488;N257:4.525;N9:4.633;N25:4.690
208,854acace1b9b,Pr,59,3,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,"[26, 28, 31, 34]",4,9,2,water,59|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig2_water_854acace1b9b.xyz,1,standard,1834708276,40,5,250,0,accepted,True,tetra_planar_bent,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Pr/Pr_Z59_ox3_CN9_nlig2_water_854acace1b9b_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Pr/Pr_Z59_ox3_CN9_nlig2_water_854acace1b9b_attempt01_standard.mol2,-10640.36170662782,,OK,nearest_coreCN_qc_ok,O27:2.255;O203:2.386;O337:2.473;O197:2.576;O29:2.641;O35:2.681;O200:2.690;O32:2.742;O195:2.757,2.7569,3.6808,0.924,O27:2.255;O203:2.386;O337:2.473;O197:2.576;O29:2.641;O35:2.681;O200:2.690;O32:2.742;O195:2.757;N181:3.681;N13:4.431;N204:4.533;N36:4.766
212,67b06e1b77e3,Pr,59,3,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,"[18, 21, 26]",3,9,3,nitrate,59|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_67b06e1b77e3.xyz,1,standard,862752449,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_67b06e1b77e3_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_67b06e1b77e3_attempt01_standard.mol2,-11550.138787867752,,OK,nearest_coreCN_qc_ok,O19:2.290;O149:2.333;O141:2.337;O27:2.344;O271:2.356;O263:2.376;O144:2.594;O266:2.604;O22:2.626,2.6258,4.3899,1.7641,O19:2.290;O149:2.333;O141:2.337;O27:2.344;O271:2.356;O263:2.376;O144:2.594;O266:2.604;O22:2.626;N9:4.390;N131:4.467;N150:4.504;N28:4.510;N272:4.528;N253:4.555
86,6d919d6af533,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)CNCC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23]",3,9,3,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)CNCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_6d919d6af533.xyz,2,standard,395125076,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_6d919d6af533_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_6d919d6af533_attempt02_standard.mol2,-10721.894054004204,,BORDERLINE_LONGISH,coreCN_max_dist>2.95,O24:2.212;O138:2.258;O133:2.296;O252:2.393;N249:2.453;O19:2.694;N21:2.909;O247:2.913;N135:3.040,3.0396,3.9311,0.8914,O24:2.212;O138:2.258;O133:2.296;O252:2.393;N249:2.453;O19:2.694;N21:2.909;O247:2.913;N135:3.040;N253:3.931;N139:3.980;N25:4.176;N123:4.331;N9:4.922;N237:5.002
85,6be1220425fa,Eu,63,3,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,"[22, 24, 27]",3,9,3,nitrate,63|CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_6be1220425fa.xyz,1,standard,1604637305,40,5,250,0,accepted,True,tri_mer_bent,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_6be1220425fa_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_6be1220425fa_attempt01_standard.mol2,-12839.40493744108,,OK,nearest_coreCN_qc_ok,O165:2.258;O302:2.328;O23:2.400;O28:2.441;O297:2.518;O160:2.603;O299:2.691;O162:2.696;O25:2.815,2.815,4.4863,1.6713,O165:2.258;O302:2.328;O23:2.400;O28:2.441;O297:2.518;O160:2.603;O299:2.691;O162:2.696;O25:2.815;N166:4.486;N303:4.512;N11:4.557;N29:4.611;N285:4.683;N148:4.791
159,8dec8fe1a8d7,La,57,3,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,"[18, 21, 25]",3,9,3,nitrate,57|CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_8dec8fe1a8d7.xyz,1,standard,1989721948,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/La/La_Z57_ox3_CN9_nlig3_nitrate_8dec8fe1a8d7_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/La/La_Z57_ox3_CN9_nlig3_nitrate_8dec8fe1a8d7_attempt01_standard.mol2,-11294.747930036572,,OK,nearest_coreCN_qc_ok,O138:2.344;O264:2.399;O19:2.450;O257:2.496;O260:2.501;O145:2.509;O26:2.513;O141:2.514;O22:2.823,2.8229,4.4522,1.6293,O138:2.344;O264:2.399;O19:2.450;O257:2.496;O260:2.501;O145:2.509;O26:2.513;O141:2.514;O22:2.823;N128:4.452;N265:4.519;N247:4.568;N9:4.610;N146:4.666;N27:4.722
