queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
2,b4b96a003a01,Tb,65,3,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,"[11, 20]",2,8,4,nitrate,65|CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tb/Tb_Z65_ox3_CN8_nlig4_nitrate_b4b96a003a01.xyz,1,standard,994074236,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Tb/Tb_Z65_ox3_CN8_nlig4_nitrate_b4b96a003a01_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Tb/Tb_Z65_ox3_CN8_nlig4_nitrate_b4b96a003a01_attempt01_standard.mol2,-10824.221041738332,,OK,nearest_coreCN_qc_ok,O12:2.269;O97:2.480;O106:2.523;O267:2.592;O276:2.662;O21:2.672;O191:2.783;O182:2.870,2.8701,4.4649,1.5948,O12:2.269;O97:2.480;O106:2.523;O267:2.592;O276:2.662;O21:2.672;O191:2.783;O182:2.870;N9:4.465;N94:4.619;N107:4.705;N264:4.835;N22:4.891;N277:4.908;N192:5.044;N179:5.096
38,250e4cef94d2,Ho,67,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[6, 7, 20, 21, 34, 35, 36, 37]",8,8,1,nitrate,67|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_250e4cef94d2.xyz,1,standard,785949605,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_250e4cef94d2_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_250e4cef94d2_attempt01_standard.mol2,-3418.0037661179495,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N21:2.120;N8:2.189;N7:2.293;N37:2.356;N22:2.475;N36:2.570;N38:2.795;N35:3.800,3.7998,inf,inf,N21:2.120;N8:2.189;N7:2.293;N37:2.356;N22:2.475;N36:2.570;N38:2.795;N35:3.800
38,250e4cef94d2,Ho,67,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[6, 7, 20, 21, 34, 35, 36, 37]",8,8,1,nitrate,67|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_250e4cef94d2.xyz,2,standard,785957524,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_250e4cef94d2_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_250e4cef94d2_attempt02_standard.mol2,-3419.5513155560216,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N21:2.189;N8:2.247;N7:2.467;N37:2.555;N36:2.571;N22:2.758;N38:3.130;N35:3.995,3.9952,inf,inf,N21:2.189;N8:2.247;N7:2.467;N37:2.555;N36:2.571;N22:2.758;N38:3.130;N35:3.995
74,fb0185b0aa14,Nd,60,3,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,"[4, 16, 28, 29]",4,9,2,nitrate,60|CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig2_nitrate_fb0185b0aa14.xyz,1,standard,985005106,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig2_nitrate_fb0185b0aa14_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig2_nitrate_fb0185b0aa14_attempt01_standard.mol2,-5895.057843549811,,OK,nearest_coreCN_qc_ok,O5:2.255;O89:2.337;N30:2.356;N101:2.391;N29:2.509;N102:2.580;O17:2.630;O77:2.691;O145:2.853,2.8529,4.1039,1.2510,O5:2.255;O89:2.337;N30:2.356;N101:2.391;N29:2.509;N102:2.580;O17:2.630;O77:2.691;O145:2.853;N90:4.104;N3:4.415;N18:4.650;N75:4.778
110,86e8f93956e0,La,57,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[6, 7, 15, 16, 19, 28, 29]",7,9,1,nitrate,57|CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_nitrate_86e8f93956e0.xyz,1,standard,1330823816,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_86e8f93956e0_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_86e8f93956e0_attempt01_standard.mol2,-2981.6817675305833,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O69:2.104;O68:2.116;N8:2.281;N16:2.349;N66:2.453;N29:2.528;N17:2.564;N7:2.621;N20:3.547,3.5469,3.5659,0.0190,O69:2.104;O68:2.116;N8:2.281;N16:2.349;N66:2.453;N29:2.528;N17:2.564;N7:2.621;N20:3.547;O67:3.566;N30:3.927
110,86e8f93956e0,La,57,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[6, 7, 15, 16, 19, 28, 29]",7,9,1,nitrate,57|CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_nitrate_86e8f93956e0.xyz,2,standard,1330831735,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_86e8f93956e0_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_86e8f93956e0_attempt02_standard.mol2,-2981.867122749013,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O68:2.109;O69:2.161;N16:2.243;N8:2.309;N29:2.474;N66:2.515;N7:2.573;N17:2.646;O67:3.662,3.6616,3.8271,0.1655,O68:2.109;O69:2.161;N16:2.243;N8:2.309;N29:2.474;N66:2.515;N7:2.573;N17:2.646;O67:3.662;N30:3.827;N20:4.110
146,b5d2516206e6,Gd,64,3,CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,"[18, 20, 23]",3,9,3,nitrate,64|CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_b5d2516206e6.xyz,1,standard,737451916,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_b5d2516206e6_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_b5d2516206e6_attempt01_standard.mol2,-10771.903774622713,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O245:2.064;O132:2.167;O250:2.203;O247:2.357;O24:2.488;O21:2.505;O19:2.581;O134:3.168;O137:3.275,3.2754,4.2262,0.9509,O245:2.064;O132:2.167;O250:2.203;O247:2.357;O24:2.488;O21:2.505;O19:2.581;O134:3.168;O137:3.275;N235:4.226;N251:4.292;N122:4.347;N9:4.397;N25:4.662;N138:5.321
146,b5d2516206e6,Gd,64,3,CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,"[18, 20, 23]",3,9,3,nitrate,64|CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_b5d2516206e6.xyz,2,standard,737459835,50,6,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_b5d2516206e6_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_b5d2516206e6_attempt02_standard.mol2,-10775.285957988703,,OK,nearest_coreCN_qc_ok,O250:2.250;O137:2.385;O132:2.391;O24:2.403;O245:2.518;O247:2.622;O21:2.723;O19:2.737;O134:2.872,2.8718,4.4555,1.5836,O250:2.250;O137:2.385;O132:2.391;O24:2.403;O245:2.518;O247:2.622;O21:2.723;O19:2.737;O134:2.872;N251:4.455;N122:4.580;N25:4.609;N138:4.617;N235:4.651;N9:4.874
182,fbeb4feade31,Eu,63,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,9,1,water,63|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_water_fbeb4feade31.xyz,1,standard,1608785219,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_water_fbeb4feade31_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_water_fbeb4feade31_attempt01_standard.mol2,-4793.8215375423415,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O52:2.205;O60:2.260;O114:2.347;N57:2.467;N54:2.488;O111:2.580;O117:2.720;N44:4.181;N7:4.281,4.2808,inf,inf,O52:2.205;O60:2.260;O114:2.347;N57:2.467;N54:2.488;O111:2.580;O117:2.720;N44:4.181;N7:4.281
182,fbeb4feade31,Eu,63,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,9,1,water,63|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_water_fbeb4feade31.xyz,2,standard,1608793138,50,6,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
218,dffea6f8c61d,Pr,59,3,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,"[26, 28, 41]",3,9,3,nitrate,59|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_dffea6f8c61d.xyz,1,standard,1679290574,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_dffea6f8c61d_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_dffea6f8c61d_attempt01_standard.mol2,-10949.855167976473,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O270:2.141;O255:2.208;O141:2.413;O27:2.423;O42:2.619;O156:2.816;O29:2.894;O257:3.285;O143:3.446,3.4462,3.9596,0.5133,O270:2.141;O255:2.208;O141:2.413;O27:2.423;O42:2.619;O156:2.816;O29:2.894;O257:3.285;O143:3.446;N241:3.960;N262:4.366;N127:4.590;N13:4.603;N34:4.771;N148:5.048
