queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
26,6be1220425fa,Eu,63,3,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,"[22, 24, 27]",3,9,3,nitrate,63|CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_6be1220425fa.xyz,1,standard,1604637305,40,5,250,0,accepted,True,tri_mer_bent,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_6be1220425fa_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_6be1220425fa_attempt01_standard.mol2,-12839.404937441079,,OK,nearest_coreCN_qc_ok,O165:2.258;O302:2.328;O23:2.400;O28:2.441;O297:2.518;O160:2.603;O299:2.691;O162:2.696;O25:2.815,2.8150,4.4863,1.6713,O165:2.258;O302:2.328;O23:2.400;O28:2.441;O297:2.518;O160:2.603;O299:2.691;O162:2.696;O25:2.815;N166:4.486;N303:4.512;N11:4.557;N29:4.611;N285:4.683;N148:4.791
62,1bd312352a39,Pr,59,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 8, 15, 18, 19]",8,9,1,nitrate,59|O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_1bd312352a39.xyz,1,standard,189192447,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_1bd312352a39_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_1bd312352a39_attempt01_standard.mol2,-2297.6264297612242,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O19:2.100;O1:2.109;O8:2.157;O47:2.334;N16:2.505;N5:2.703;O20:3.239;O3:3.515;O9:4.259,4.2590,5.2674,1.0084,O19:2.100;O1:2.109;O8:2.157;O47:2.334;N16:2.505;N5:2.703;O20:3.239;O3:3.515;O9:4.259;O23:5.267;O24:5.801
62,1bd312352a39,Pr,59,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 8, 15, 18, 19]",8,9,1,nitrate,59|O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_1bd312352a39.xyz,2,standard,189200366,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_1bd312352a39_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_1bd312352a39_attempt02_standard.mol2,-2299.882273650207,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O8:2.144;O23:2.164;O19:2.211;O1:2.279;O47:2.370;N16:2.533;N5:2.583;O9:3.776;O24:3.989,3.9886,4.0529,0.0644,O8:2.144;O23:2.164;O19:2.211;O1:2.279;O47:2.370;N16:2.533;N5:2.583;O9:3.776;O24:3.989;O20:4.053;O3:4.351
98,ebb31779ee01,Dy,66,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[6, 7, 20, 21, 34, 35, 36, 37]",8,8,1,nitrate,66|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_ebb31779ee01.xyz,1,standard,1825712153,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_ebb31779ee01_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_ebb31779ee01_attempt01_standard.mol2,-3419.9327225266,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N7:2.250;N8:2.357;N36:2.414;N21:2.417;N37:2.501;N22:3.380;N38:3.795;N35:4.524,4.5238,inf,inf,N7:2.250;N8:2.357;N36:2.414;N21:2.417;N37:2.501;N22:3.380;N38:3.795;N35:4.524
98,ebb31779ee01,Dy,66,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[6, 7, 20, 21, 34, 35, 36, 37]",8,8,1,nitrate,66|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_ebb31779ee01.xyz,2,standard,1825720072,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_ebb31779ee01_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_ebb31779ee01_attempt02_standard.mol2,-3417.996482767674,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N21:2.182;N38:2.330;N37:2.414;N22:2.496;N36:2.545;N35:3.175;N8:3.195;N7:3.291,3.2912,inf,inf,N21:2.182;N38:2.330;N37:2.414;N22:2.496;N36:2.545;N35:3.175;N8:3.195;N7:3.291
134,05a03a08886e,Gd,64,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,9,1,nitrate,64|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_05a03a08886e.xyz,1,standard,244835738,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_05a03a08886e_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_05a03a08886e_attempt01_standard.mol2,-4941.452544202243,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O113:2.064;O114:2.129;O52:2.253;O60:2.278;N111:2.334;N54:2.487;O115:2.537;N57:2.567;O112:3.394,3.3945,4.3682,0.9737,O113:2.064;O114:2.129;O52:2.253;O60:2.278;N111:2.334;N54:2.487;O115:2.537;N57:2.567;O112:3.394;N7:4.368;N44:4.385
134,05a03a08886e,Gd,64,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,9,1,nitrate,64|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_05a03a08886e.xyz,2,standard,244843657,50,6,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
170,08ad5b34d70c,Nd,60,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 10, 13, 14, 17]",8,9,1,nitrate,60|O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_08ad5b34d70c.xyz,1,standard,2099591720,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_08ad5b34d70c_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_08ad5b34d70c_attempt01_standard.mol2,-1898.9032745796953,,BORDERLINE_LONGISH,coreCN_max_dist>2.95,O1:2.108;O14:2.118;O18:2.326;O38:2.415;O8:2.451;N5:2.636;N11:2.918;O15:2.942;O3:3.011,3.0108,4.4482,1.4375,O1:2.108;O14:2.118;O18:2.326;O38:2.415;O8:2.451;N5:2.636;N11:2.918;O15:2.942;O3:3.011;O19:4.448
170,08ad5b34d70c,Nd,60,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 10, 13, 14, 17]",8,9,1,nitrate,60|O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_08ad5b34d70c.xyz,2,standard,2099599639,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_08ad5b34d70c_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_08ad5b34d70c_attempt02_standard.mol2,-1899.8802522992498,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O1:2.185;O18:2.248;O14:2.270;O38:2.354;O8:2.372;N5:2.629;N11:2.738;O3:4.145;O15:4.389,4.3885,4.4077,0.0192,O1:2.185;O18:2.248;O14:2.270;O38:2.354;O8:2.372;N5:2.629;N11:2.738;O3:4.145;O15:4.389;O19:4.408
206,152a7e128511,Yb,70,3,CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,"[9, 12]",2,8,4,nitrate,70|CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Yb/Yb_Z70_ox3_CN8_nlig4_nitrate_152a7e128511.xyz,1,standard,1600421236,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Yb/Yb_Z70_ox3_CN8_nlig4_nitrate_152a7e128511_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Yb/Yb_Z70_ox3_CN8_nlig4_nitrate_152a7e128511_attempt01_standard.mol2,-9415.798838297016,,OK,nearest_coreCN_qc_ok,O220:2.298;O150:2.321;O80:2.351;O13:2.405;O83:2.465;O10:2.523;O223:2.612;O153:2.664,2.6643,3.5349,0.8706,O220:2.298;O150:2.321;O80:2.351;O13:2.405;O83:2.465;O10:2.523;O223:2.612;O153:2.664;P9:3.535;P149:3.555;P79:3.633;P219:3.658;N14:4.642;N84:4.703;N224:4.859;N154:4.927
242,8f2b8f746d4d,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC,"[18, 20, 23]",3,9,3,water,63|CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_water_8f2b8f746d4d.xyz,1,standard,1530968420,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_water_8f2b8f746d4d_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_water_8f2b8f746d4d_attempt01_standard.mol2,-8450.647129535571,,BORDERLINE_LONGISH,coreCN_max_dist>2.95,O113:2.246;O24:2.272;O202:2.292;O197:2.428;O19:2.516;O108:2.560;N21:2.629;N110:2.736;N199:3.027,3.0271,3.3608,0.3337,O113:2.246;O24:2.272;O202:2.292;O197:2.428;O19:2.516;O108:2.560;N21:2.629;N110:2.736;N199:3.027;P112:3.361;P23:3.395;P201:3.471;N187:4.637;N9:4.678;N98:4.741
