queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
27,8dec8fe1a8d7,La,57,3,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,"[18, 21, 25]",3,9,3,nitrate,57|CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_8dec8fe1a8d7.xyz,1,standard,1989721948,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/La/La_Z57_ox3_CN9_nlig3_nitrate_8dec8fe1a8d7_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/La/La_Z57_ox3_CN9_nlig3_nitrate_8dec8fe1a8d7_attempt01_standard.mol2,-11294.747930036572,,OK,nearest_coreCN_qc_ok,O138:2.344;O264:2.399;O19:2.450;O257:2.496;O260:2.501;O145:2.509;O26:2.513;O141:2.514;O22:2.823,2.8229,4.4522,1.6293,O138:2.344;O264:2.399;O19:2.450;O257:2.496;O260:2.501;O145:2.509;O26:2.513;O141:2.514;O22:2.823;N128:4.452;N265:4.519;N247:4.568;N9:4.610;N146:4.666;N27:4.722
63,4a8982e90a94,La,57,3,CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 21]",2,9,4,nitrate,57|CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig4_nitrate_4a8982e90a94.xyz,1,standard,1143143269,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/La/La_Z57_ox3_CN9_nlig4_nitrate_4a8982e90a94_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/La/La_Z57_ox3_CN9_nlig4_nitrate_4a8982e90a94_attempt01_standard.mol2,-13722.422809419566,,OK,nearest_coreCN_qc_ok,O128:2.415;O237:2.447;O22:2.458;O346:2.509;O240:2.525;O349:2.525;O131:2.717;O19:2.721;O437:2.780,2.7799,4.5710,1.7911,O128:2.415;O237:2.447;O22:2.458;O346:2.509;O240:2.525;O349:2.525;O131:2.717;O19:2.721;O437:2.780;N118:4.571;N23:4.634;N227:4.682;N336:4.737;N350:4.751;N241:4.758;N132:4.915;N9:4.964
99,7672a8a7b733,Er,68,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,8,1,water,68|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Er/Er_Z68_ox3_CN8_nlig1_water_7672a8a7b733.xyz,1,standard,1806843878,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Er/Er_Z68_ox3_CN8_nlig1_water_7672a8a7b733_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Er/Er_Z68_ox3_CN8_nlig1_water_7672a8a7b733_attempt01_standard.mol2,-4650.358757360173,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O52:2.167;O60:2.188;O111:2.416;N57:2.452;O114:2.508;N54:2.585;N7:3.634;N44:3.997,3.9972,inf,inf,O52:2.167;O60:2.188;O111:2.416;N57:2.452;O114:2.508;N54:2.585;N7:3.634;N44:3.997
99,7672a8a7b733,Er,68,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,8,1,water,68|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Er/Er_Z68_ox3_CN8_nlig1_water_7672a8a7b733.xyz,2,standard,1806851797,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Er/Er_Z68_ox3_CN8_nlig1_water_7672a8a7b733_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Er/Er_Z68_ox3_CN8_nlig1_water_7672a8a7b733_attempt02_standard.mol2,-4654.59678634495,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O60:2.182;O52:2.320;O111:2.393;N54:2.423;O114:2.450;N57:2.486;N7:4.281;N44:4.448,4.4479,inf,inf,O60:2.182;O52:2.320;O111:2.393;N54:2.423;O114:2.450;N57:2.486;N7:4.281;N44:4.448
135,e716ee59bc93,Pr,59,3,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,"[18, 21, 25]",3,9,3,nitrate,59|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_e716ee59bc93.xyz,1,standard,1542998335,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_e716ee59bc93_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_e716ee59bc93_attempt01_standard.mol2,-11292.406473365078,,OK,nearest_coreCN_qc_ok,O26:2.270;O145:2.301;O257:2.452;O22:2.467;O19:2.556;O264:2.556;O141:2.630;O138:2.631;O260:2.923,2.9234,4.3258,1.4024,O26:2.270;O145:2.301;O257:2.452;O22:2.467;O19:2.556;O264:2.556;O141:2.630;O138:2.631;O260:2.923;N27:4.326;N146:4.503;N247:4.685;N9:4.688;N128:4.769;N265:4.802
171,d5355fd47e33,Tb,65,3,CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,"[14, 17]",2,8,4,nitrate,65|CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tb/Tb_Z65_ox3_CN8_nlig4_nitrate_d5355fd47e33.xyz,1,standard,1246591802,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Tb/Tb_Z65_ox3_CN8_nlig4_nitrate_d5355fd47e33_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Tb/Tb_Z65_ox3_CN8_nlig4_nitrate_d5355fd47e33_attempt01_standard.mol2,-10824.248782658358,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O100:2.179;O188:2.407;O273:2.422;O15:2.427;O18:2.486;O185:2.494;O270:2.933;O103:3.120,3.1197,4.3549,1.2352,O100:2.179;O188:2.407;O273:2.422;O15:2.427;O18:2.486;O185:2.494;O270:2.933;O103:3.120;N92:4.355;N189:4.649;N7:4.665;N19:4.674;N177:4.679;N274:4.690;N104:5.165;N262:5.170
171,d5355fd47e33,Tb,65,3,CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,"[14, 17]",2,8,4,nitrate,65|CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tb/Tb_Z65_ox3_CN8_nlig4_nitrate_d5355fd47e33.xyz,2,standard,1246599721,50,6,250,-6,build_failed,False,,,,,free(): corrupted unsorted chunks,BUILD_FAILED,free(): corrupted unsorted chunks,,,,,
207,3df1d7358828,Gd,64,3,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],"[9, 26, 44]",3,9,3,nitrate,64|CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-]|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_3df1d7358828.xyz,1,standard,859397137,40,5,250,124,failed_timeout,False,,,,,exceeded 2400s,BUILD_FAILED,timeout,,,,,
207,3df1d7358828,Gd,64,3,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],"[9, 26, 44]",3,9,3,nitrate,64|CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-]|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_3df1d7358828.xyz,2,standard,859405056,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_3df1d7358828_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_3df1d7358828_attempt02_standard.mol2,-11601.272240363985,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O285:2.341;O27:2.348;O45:2.356;O165:2.486;O147:2.531;O267:2.563;O250:2.585;O130:2.755;O10:3.286,3.2865,3.4384,0.1520,O285:2.341;O27:2.348;O45:2.356;O165:2.486;O147:2.531;O267:2.563;O250:2.585;O130:2.755;O10:3.286;N284:3.438;N44:3.559;P26:3.596;N164:3.639;P146:3.729;P266:3.794;P249:3.962;P129:4.073;P9:4.401
243,1a2c675a4d6b,Eu,63,3,CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,"[8, 11, 31]",3,9,3,nitrate,63|CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_1a2c675a4d6b.xyz,1,standard,1979782758,40,5,250,-11,build_failed,False,,,,,,BUILD_FAILED,exit-11,,,,,
243,1a2c675a4d6b,Eu,63,3,CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,"[8, 11, 31]",3,9,3,nitrate,63|CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_1a2c675a4d6b.xyz,2,standard,1979790677,50,6,250,124,failed_timeout,False,,,,,exceeded 2400s,BUILD_FAILED,timeout,,,,,
