queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
30,0d10d9826758,Eu,63,3,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,"[11, 20]",2,9,4,nitrate,63|CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_0d10d9826758.xyz,1,standard,1903224080,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_0d10d9826758_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_0d10d9826758_attempt01_standard.mol2,-10960.771716125586,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O182:2.247;O21:2.282;O191:2.288;O106:2.300;O341:2.653;O267:2.714;O12:3.105;O276:3.199;O97:3.267,3.2674,4.0725,0.8051,O182:2.247;O21:2.282;O191:2.288;O106:2.300;O341:2.653;O267:2.714;O12:3.105;O276:3.199;O97:3.267;N107:4.072;N179:4.408;N192:4.421;N22:4.461;N264:4.914;N9:5.223;N94:5.318;N277:5.371
30,0d10d9826758,Eu,63,3,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,"[11, 20]",2,9,4,nitrate,63|CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_0d10d9826758.xyz,2,standard,1903231999,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_0d10d9826758_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_0d10d9826758_attempt02_standard.mol2,-10962.917233485525,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O276:2.171;O182:2.351;O12:2.396;O21:2.441;O341:2.490;O191:2.596;O267:2.619;O106:3.242;O97:3.249,3.2486,4.3975,1.1489,O276:2.171;O182:2.351;O12:2.396;O21:2.441;O341:2.490;O191:2.596;O267:2.619;O106:3.242;O97:3.249;N277:4.397;N179:4.482;N9:4.627;N22:4.652;N192:4.798;N264:4.816;N94:5.453;N107:5.470
66,88362553f959,Ce,58,3,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],"[9, 26, 44]",3,9,3,water,58|CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-]|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig3_water_88362553f959.xyz,1,standard,1632641675,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig3_water_88362553f959_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig3_water_88362553f959_attempt01_standard.mol2,-11603.425594865397,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O250:2.279;O285:2.328;O165:2.447;O45:2.478;O27:2.497;O130:2.555;O10:2.706;O267:2.845;O147:3.107,3.1073,3.4159,0.3086,O250:2.279;O285:2.328;O165:2.447;O45:2.478;O27:2.497;O130:2.555;O10:2.706;O267:2.845;O147:3.107;N284:3.416;P249:3.499;N44:3.610;P26:3.630;N164:3.677;P266:3.721;P129:3.820;P9:4.080;P146:4.285
66,88362553f959,Ce,58,3,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],"[9, 26, 44]",3,9,3,water,58|CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-]|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig3_water_88362553f959.xyz,2,standard,1632649594,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig3_water_88362553f959_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig3_water_88362553f959_attempt02_standard.mol2,-11600.23726345679,,BORDERLINE_LONGISH,coreCN_max_dist>2.95,O165:2.233;O45:2.334;O285:2.340;O250:2.429;O147:2.510;O10:2.558;O130:2.572;O267:2.648;O27:3.081,3.0807,3.4322,0.3516,O165:2.233;O45:2.334;O285:2.340;O250:2.429;O147:2.510;O10:2.558;O130:2.572;O267:2.648;O27:3.081;N284:3.432;N44:3.481;N164:3.492;P249:3.679;P9:3.746;P129:3.796;P266:3.800;P146:3.813;P26:4.360
102,192ab9676a31,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,"[18, 23, 29]",3,9,3,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_192ab9676a31.xyz,1,standard,811334883,40,5,250,124,failed_timeout,False,,,,,exceeded 2400s,BUILD_FAILED,timeout,,,,,
102,192ab9676a31,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,"[18, 23, 29]",3,9,3,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_192ab9676a31.xyz,2,standard,811342802,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_192ab9676a31_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_192ab9676a31_attempt02_standard.mol2,-12323.858792019042,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O292:2.272;O30:2.323;O161:2.393;O150:2.553;O281:2.636;O19:2.644;O24:2.878;O155:2.895;O286:3.104,3.1044,4.4790,1.3746,O292:2.272;O30:2.323;O161:2.393;O150:2.553;O281:2.636;O19:2.644;O24:2.878;O155:2.895;O286:3.104;N293:4.479;N31:4.554;N162:4.585;N140:4.786;N9:4.852;N271:4.885
138,90ecb106b04d,Nd,60,3,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,"[18, 21, 25]",3,9,3,nitrate,60|CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_90ecb106b04d.xyz,1,standard,2144004824,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_90ecb106b04d_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_90ecb106b04d_attempt01_standard.mol2,-11291.690397664688,,OK,nearest_coreCN_qc_ok,O145:2.113;O264:2.258;O257:2.466;O19:2.562;O260:2.598;O141:2.616;O138:2.782;O26:2.860;O22:2.896,2.8960,4.1052,1.2092,O145:2.113;O264:2.258;O257:2.466;O19:2.562;O260:2.598;O141:2.616;O138:2.782;O26:2.860;O22:2.896;N146:4.105;N265:4.396;N247:4.681;N9:4.732;N128:4.910;N27:5.022
174,c155a4660cba,Dy,66,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[6, 7, 15, 16, 19, 28, 29]",7,8,1,nitrate,66|CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_c155a4660cba.xyz,1,standard,78286801,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_c155a4660cba_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_c155a4660cba_attempt01_standard.mol2,-2688.216429116247,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N8:2.293;N16:2.324;N29:2.369;O66:2.580;N7:2.683;N17:2.875;N30:3.368;N20:3.609,3.6092,inf,inf,N8:2.293;N16:2.324;N29:2.369;O66:2.580;N7:2.683;N17:2.875;N30:3.368;N20:3.609
174,c155a4660cba,Dy,66,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[6, 7, 15, 16, 19, 28, 29]",7,8,1,nitrate,66|CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_c155a4660cba.xyz,2,standard,78294720,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_c155a4660cba_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_c155a4660cba_attempt02_standard.mol2,-2688.8147784596185,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N29:2.211;N8:2.220;N20:2.398;N7:2.415;O66:2.680;N16:3.076;N30:3.207;N17:3.222,3.2222,inf,inf,N29:2.211;N8:2.220;N20:2.398;N7:2.415;O66:2.680;N16:3.076;N30:3.207;N17:3.222
210,b9cb0fd3aa1f,Sm,62,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[6, 7, 20, 21, 34, 35, 36, 37]",8,9,1,nitrate,62|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Sm/Sm_Z62_ox3_CN9_nlig1_nitrate_b9cb0fd3aa1f.xyz,1,standard,673681400,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Sm/Sm_Z62_ox3_CN9_nlig1_nitrate_b9cb0fd3aa1f_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Sm/Sm_Z62_ox3_CN9_nlig1_nitrate_b9cb0fd3aa1f_attempt01_standard.mol2,-3559.843276783238,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N8:2.211;N22:2.280;N21:2.280;N7:2.351;N36:2.392;N37:2.532;O95:2.618;N35:2.933;N38:3.857,3.8568,inf,inf,N8:2.211;N22:2.280;N21:2.280;N7:2.351;N36:2.392;N37:2.532;O95:2.618;N35:2.933;N38:3.857
