queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
32,5f7899a8a6a7,Gd,64,3,CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,"[9, 12]",2,9,4,nitrate,64|CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig4_nitrate_5f7899a8a6a7.xyz,1,standard,2007513041,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Gd/Gd_Z64_ox3_CN9_nlig4_nitrate_5f7899a8a6a7_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Gd/Gd_Z64_ox3_CN9_nlig4_nitrate_5f7899a8a6a7_attempt01_standard.mol2,-9556.1044146094,,OK,nearest_coreCN_qc_ok,O150:2.373;O220:2.432;O10:2.461;O80:2.471;O281:2.522;O223:2.537;O83:2.607;O153:2.727;O13:2.840,2.8404,3.6464,0.8060,O150:2.373;O220:2.432;O10:2.461;O80:2.471;O281:2.522;O223:2.537;O83:2.607;O153:2.727;O13:2.840;P219:3.646;P9:3.679;P149:3.688;P79:3.760;N224:4.751;N84:4.869;N154:4.916;N14:5.064
68,1c021f009609,Eu,63,3,CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[8, 11, 31]",3,9,3,water,63|CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_water_1c021f009609.xyz,1,standard,1970699308,40,5,250,7,build_failed,False,,,,,Cannot assign lig CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC to any ligType!,BUILD_FAILED,Cannot assign lig CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC to any ligType!,,,,,
68,1c021f009609,Eu,63,3,CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[8, 11, 31]",3,9,3,water,63|CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_water_1c021f009609.xyz,2,standard,1970707227,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_water_1c021f009609_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_water_1c021f009609_attempt02_standard.mol2,-12788.96436789629,,BORDERLINE_LONGISH,coreCN_max_dist>2.95,O170:2.270;O308:2.327;O288:2.358;O12:2.481;O150:2.482;O32:2.569;N285:2.922;N147:2.944;N9:3.012,3.0119,4.5001,1.4882,O170:2.270;O308:2.327;O288:2.358;O12:2.481;O150:2.482;O32:2.569;N285:2.922;N147:2.944;N9:3.012;N171:4.500;N289:4.540;N309:4.557;N151:4.667;N13:4.676;N33:4.780
104,9ce4f4d1c0d5,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23]",3,9,3,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_9ce4f4d1c0d5.xyz,1,standard,885327498,40,5,250,-6,build_failed,False,,,,,munmap_chunk(): invalid pointer,BUILD_FAILED,munmap_chunk(): invalid pointer,,,,,
104,9ce4f4d1c0d5,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23]",3,9,3,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_9ce4f4d1c0d5.xyz,2,standard,885335417,50,6,250,-6,build_failed,False,,,,,malloc(): unaligned tcache chunk detected,BUILD_FAILED,malloc(): unaligned tcache chunk detected,,,,,
140,797b56c554e7,Gd,64,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 10, 13, 14, 17]",8,9,1,nitrate,64|O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_797b56c554e7.xyz,1,standard,1770139055,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_797b56c554e7_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_797b56c554e7_attempt01_standard.mol2,-1898.1679069034874,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O1:2.084;O14:2.113;O18:2.273;O8:2.317;O38:2.417;N5:2.639;N11:2.802;O15:3.102;O3:3.556,3.5559,4.3518,0.7959,O1:2.084;O14:2.113;O18:2.273;O8:2.317;O38:2.417;N5:2.639;N11:2.802;O15:3.102;O3:3.556;O19:4.352
140,797b56c554e7,Gd,64,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 10, 13, 14, 17]",8,9,1,nitrate,64|O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_797b56c554e7.xyz,2,standard,1770146974,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_797b56c554e7_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_797b56c554e7_attempt02_standard.mol2,-1898.9255359608348,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O14:2.208;O18:2.225;O1:2.240;O8:2.253;O38:2.334;N5:2.561;N11:2.720;O15:4.341;O19:4.371,4.3713,4.3790,0.0077,O14:2.208;O18:2.225;O1:2.240;O8:2.253;O38:2.334;N5:2.561;N11:2.720;O15:4.341;O19:4.371;O3:4.379
176,b23446691216,Pr,59,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[6, 7, 20, 21, 34, 35, 36, 37]",8,9,1,nitrate,59|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_b23446691216.xyz,1,standard,344883681,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_b23446691216_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_b23446691216_attempt01_standard.mol2,-3561.6385512837055,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N21:2.297;N8:2.325;N22:2.501;N37:2.541;O95:2.562;N36:2.580;N7:3.262;N38:4.132;N35:4.290,4.2904,inf,inf,N21:2.297;N8:2.325;N22:2.501;N37:2.541;O95:2.562;N36:2.580;N7:3.262;N38:4.132;N35:4.290
176,b23446691216,Pr,59,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[6, 7, 20, 21, 34, 35, 36, 37]",8,9,1,nitrate,59|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_b23446691216.xyz,2,standard,344891600,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_b23446691216_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_b23446691216_attempt02_standard.mol2,-3562.326508329374,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N21:2.322;N8:2.363;N37:2.585;O95:2.639;N22:2.696;N36:2.703;N7:3.228;N35:4.481;N38:4.540,4.5404,inf,inf,N21:2.322;N8:2.363;N37:2.585;O95:2.639;N22:2.696;N36:2.703;N7:3.228;N35:4.481;N38:4.540
212,33c10b1775e6,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1,"[18, 28]",2,9,4,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6.xyz,1,standard,276999379,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6_attempt01_standard.mol2,-9504.468549160776,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O226:2.228;O88:2.264;O19:2.459;O157:2.480;O277:2.621;N98:2.789;N167:2.822;N236:3.019;N29:3.733,3.7327,4.3666,0.6339,O226:2.228;O88:2.264;O19:2.459;O157:2.480;O277:2.621;N98:2.789;N167:2.822;N236:3.019;N29:3.733;N216:4.367;N78:4.476;N147:4.636;N9:4.648
212,33c10b1775e6,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1,"[18, 28]",2,9,4,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6.xyz,2,standard,277007298,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6_attempt02_standard.mol2,-9504.441832471895,,BORDERLINE_LONGISH,coreCN_max_dist>2.95,O226:2.223;O157:2.473;O19:2.509;O88:2.548;O277:2.796;N167:2.917;N236:2.958;N98:3.042;N29:3.057,3.0566,4.4013,1.3447,O226:2.223;O157:2.473;O19:2.509;O88:2.548;O277:2.796;N167:2.917;N236:2.958;N98:3.042;N29:3.057;N216:4.401;N147:4.668;N9:4.717;N78:4.725
