queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
33,2ba2430d45f9,Eu,63,3,CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,"[18, 20, 23]",3,9,3,water,63|CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_water_2ba2430d45f9.xyz,1,standard,106341948,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_water_2ba2430d45f9_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_water_2ba2430d45f9_attempt01_standard.mol2,-10774.790199816847,,OK,nearest_coreCN_qc_ok,O250:2.217;O19:2.302;O245:2.405;O21:2.422;O24:2.449;O132:2.519;O247:2.604;O137:2.731;O134:2.764,2.7642,4.2633,1.4991,O250:2.217;O19:2.302;O245:2.405;O21:2.422;O24:2.449;O132:2.519;O247:2.604;O137:2.731;O134:2.764;N251:4.263;N233:4.410;N7:4.469;N25:4.530;N120:4.758;N138:4.913
69,5fdbc90e8042,Eu,63,3,CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,"[9, 22, 23, 26, 35, 38, 39, 40]",8,9,1,nitrate,63|CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_5fdbc90e8042.xyz,1,standard,854501302,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_5fdbc90e8042_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_5fdbc90e8042_attempt01_standard.mol2,-3277.993147608664,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N40:2.323;N41:2.335;N36:2.408;O81:2.460;N27:2.570;N23:2.836;N39:2.886;N24:3.322;N10:4.159,4.1588,inf,inf,N40:2.323;N41:2.335;N36:2.408;O81:2.460;N27:2.570;N23:2.836;N39:2.886;N24:3.322;N10:4.159
69,5fdbc90e8042,Eu,63,3,CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,"[9, 22, 23, 26, 35, 38, 39, 40]",8,9,1,nitrate,63|CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_5fdbc90e8042.xyz,2,standard,854509221,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_5fdbc90e8042_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_5fdbc90e8042_attempt02_standard.mol2,-3278.8389172956167,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N23:2.336;N40:2.375;N24:2.412;O81:2.504;N39:2.586;N36:2.593;N41:3.281;N27:3.886;N10:4.451,4.4510,inf,inf,N23:2.336;N40:2.375;N24:2.412;O81:2.504;N39:2.586;N36:2.593;N41:3.281;N27:3.886;N10:4.451
105,002121ae5677,Pr,59,3,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,"[22, 25, 29]",3,9,3,nitrate,59|CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_002121ae5677.xyz,1,standard,530427514,40,5,250,0,rejected_by_nearest_coreCN_qc,False,tri_mer_bent,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_002121ae5677_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_002121ae5677_attempt01_standard.mol2,-13358.226694050336,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O309:2.234;O23:2.254;O166:2.280;O173:2.345;O30:2.406;O316:2.557;O26:2.745;O312:2.800;O169:3.726,3.7260,4.2896,0.5636,O309:2.234;O23:2.254;O166:2.280;O173:2.345;O30:2.406;O316:2.557;O26:2.745;O312:2.800;O169:3.726;N11:4.290;N297:4.460;N154:4.473;N174:4.499;N31:4.613;N317:4.739
105,002121ae5677,Pr,59,3,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,"[22, 25, 29]",3,9,3,nitrate,59|CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_002121ae5677.xyz,2,standard,530435433,50,6,250,0,rejected_by_nearest_coreCN_qc,False,tri_mer_bent,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_002121ae5677_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_002121ae5677_attempt02_standard.mol2,-13360.207226829165,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O309:2.216;O312:2.335;O23:2.368;O173:2.461;O316:2.512;O26:2.589;O169:2.852;O30:2.929;O166:3.106,3.1063,4.3204,1.2140,O309:2.216;O312:2.335;O23:2.368;O173:2.461;O316:2.512;O26:2.589;O169:2.852;O30:2.929;O166:3.106;N297:4.320;N11:4.419;N317:4.578;N174:4.656;N31:5.044;N154:5.279
141,806c58d6243c,Nd,60,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[9, 22, 23, 26, 35, 36, 37, 38]",8,9,1,nitrate,60|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_806c58d6243c.xyz,1,standard,1927210361,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_806c58d6243c_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_806c58d6243c_attempt01_standard.mol2,-3161.631926258985,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N23:2.238;N10:2.377;N36:2.539;O79:2.565;N24:2.593;N37:2.595;N27:3.714;N39:4.024;N38:4.092,4.0916,inf,inf,N23:2.238;N10:2.377;N36:2.539;O79:2.565;N24:2.593;N37:2.595;N27:3.714;N39:4.024;N38:4.092
141,806c58d6243c,Nd,60,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[9, 22, 23, 26, 35, 36, 37, 38]",8,9,1,nitrate,60|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_806c58d6243c.xyz,2,standard,1927218280,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_806c58d6243c_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_806c58d6243c_attempt02_standard.mol2,-3162.1154134660806,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N23:2.250;N10:2.406;N37:2.569;N24:2.632;O79:2.668;N36:2.669;N39:3.897;N38:3.957;N27:4.075,4.0750,inf,inf,N23:2.250;N10:2.406;N37:2.569;N24:2.632;O79:2.668;N36:2.669;N39:3.897;N38:3.957;N27:4.075
177,a25c92c2c3c2,Ho,67,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[4, 5, 13, 14, 23, 24, 25]",7,8,1,nitrate,67|CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_a25c92c2c3c2.xyz,1,standard,781311554,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_a25c92c2c3c2_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_a25c92c2c3c2_attempt01_standard.mol2,-2455.8039797104234,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N14:2.246;N6:2.290;N5:2.310;N15:2.333;O62:2.470;N25:2.486;N24:3.762;N26:3.965,3.9649,inf,inf,N14:2.246;N6:2.290;N5:2.310;N15:2.333;O62:2.470;N25:2.486;N24:3.762;N26:3.965
177,a25c92c2c3c2,Ho,67,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[4, 5, 13, 14, 23, 24, 25]",7,8,1,nitrate,67|CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_a25c92c2c3c2.xyz,2,standard,781319473,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_a25c92c2c3c2_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_a25c92c2c3c2_attempt02_standard.mol2,-2455.921326339281,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N14:2.221;N6:2.252;N5:2.284;N15:2.353;N25:2.492;O62:2.572;N26:3.838;N24:3.880,3.8804,inf,inf,N14:2.221;N6:2.252;N5:2.284;N15:2.353;N25:2.492;O62:2.572;N26:3.838;N24:3.880
213,ee1036964dae,Eu,63,3,CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,"[5, 11, 14]",3,9,3,water,63|CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_water_ee1036964dae.xyz,1,standard,1230146946,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_water_ee1036964dae_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_water_ee1036964dae_attempt01_standard.mol2,-6091.744851671254,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O75:2.679;O12:2.790;S15:2.821;S78:2.849;S132:2.857;S69:2.862;S141:2.904;S6:3.006;O138:3.149,3.1487,3.7736,0.6249,O75:2.679;O12:2.790;S15:2.821;S78:2.849;S132:2.857;S69:2.862;S141:2.904;S6:3.006;O138:3.149;P77:3.774;P68:3.884;P14:3.977;P5:4.051;P140:4.097;P131:4.237
213,ee1036964dae,Eu,63,3,CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,"[5, 11, 14]",3,9,3,water,63|CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_water_ee1036964dae.xyz,2,standard,1230154865,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_water_ee1036964dae_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_water_ee1036964dae_attempt02_standard.mol2,-6090.802287720248,,BORDERLINE_LONGISH,coreCN_max_dist>2.95,S15:2.770;S141:2.851;S78:2.889;S6:2.926;O75:2.932;S132:2.973;O138:2.984;S69:3.035;O12:3.043,3.0434,3.9168,0.8734,S15:2.770;S141:2.851;S78:2.889;S6:2.926;O75:2.932;S132:2.973;O138:2.984;S69:3.035;O12:3.043;P14:3.917;P131:3.951;P77:3.976;P140:4.099;P5:4.119;P68:4.182
