queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
4,8ec3e5cffd20,Nd,60,3,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],"[9, 26, 44]",3,9,3,nitrate,60|CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-]|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_8ec3e5cffd20.xyz,1,standard,1697555183,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_8ec3e5cffd20_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_8ec3e5cffd20_attempt01_standard.mol2,-11602.17394403272,,OK,nearest_coreCN_qc_ok,O27:2.289;O147:2.395;O10:2.408;O165:2.410;O267:2.411;O285:2.456;O250:2.491;O130:2.501;O45:2.569,2.5691,3.6773,1.1082,O27:2.289;O147:2.395;O10:2.408;O165:2.410;O267:2.411;O285:2.456;O250:2.491;O130:2.501;O45:2.569;P26:3.677;N164:3.687;P146:3.725;N284:3.729;P266:3.731;P9:3.737;N44:3.796;P249:3.827;P129:3.839
40,54b95afb1c96,Eu,63,3,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,"[17, 18, 21, 30, 31, 34, 35, 38]",8,9,1,nitrate,63|CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_54b95afb1c96.xyz,1,standard,859917414,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_54b95afb1c96_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_54b95afb1c96_attempt01_standard.mol2,-3850.578929248495,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N35:2.220;N18:2.241;N19:2.407;N32:2.537;O103:2.606;N31:2.622;N36:2.828;N39:3.789;N22:4.085,4.0854,inf,inf,N35:2.220;N18:2.241;N19:2.407;N32:2.537;O103:2.606;N31:2.622;N36:2.828;N39:3.789;N22:4.085
40,54b95afb1c96,Eu,63,3,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,"[17, 18, 21, 30, 31, 34, 35, 38]",8,9,1,nitrate,63|CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_54b95afb1c96.xyz,2,standard,859925333,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_54b95afb1c96_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_54b95afb1c96_attempt02_standard.mol2,-3850.5375330436277,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N18:2.185;N35:2.219;N32:2.464;O103:2.489;N36:2.573;N31:2.686;N19:2.821;N39:3.064;N22:4.299,4.2988,inf,inf,N18:2.185;N35:2.219;N32:2.464;O103:2.489;N36:2.573;N31:2.686;N19:2.821;N39:3.064;N22:4.299
76,96914ff1df96,Eu,63,3,CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,"[9, 12]",2,9,4,nitrate,63|CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_96914ff1df96.xyz,1,standard,422785950,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_96914ff1df96_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_96914ff1df96_attempt01_standard.mol2,-9555.616770800869,,BORDERLINE_LONGISH,coreCN_max_dist>2.95,O281:2.300;O220:2.373;O150:2.495;O80:2.613;O223:2.626;O13:2.661;O153:2.701;O10:2.705;O83:2.996,2.9958,3.6876,0.6918,O281:2.300;O220:2.373;O150:2.495;O80:2.613;O223:2.626;O13:2.661;O153:2.701;O10:2.705;O83:2.996;P219:3.688;P149:3.855;P79:3.870;P9:3.897;N154:4.852;N224:4.892;N14:4.904;N84:5.212
76,96914ff1df96,Eu,63,3,CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,"[9, 12]",2,9,4,nitrate,63|CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_96914ff1df96.xyz,2,standard,422793869,50,6,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_96914ff1df96_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_96914ff1df96_attempt02_standard.mol2,-9556.647617789777,,OK,nearest_coreCN_qc_ok,O220:2.300;O150:2.383;O10:2.404;O13:2.506;O153:2.510;O281:2.555;O83:2.615;O223:2.617;O80:2.625,2.6250,3.6236,0.9985,O220:2.300;O150:2.383;O10:2.404;O13:2.506;O153:2.510;O281:2.555;O83:2.615;O223:2.617;O80:2.625;P219:3.624;P9:3.662;P149:3.662;P79:3.835;N154:4.652;N14:4.751;N224:4.865;N84:4.874
112,721a61092186,Nd,60,3,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,"[18, 21, 25]",3,9,3,nitrate,60|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_721a61092186.xyz,1,standard,1593927168,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_721a61092186_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_721a61092186_attempt01_standard.mol2,-11293.660155857997,,OK,nearest_coreCN_qc_ok,O257:2.288;O138:2.352;O145:2.362;O19:2.382;O264:2.383;O26:2.458;O22:2.524;O260:2.554;O141:2.616,2.6165,4.3525,1.7360,O257:2.288;O138:2.352;O145:2.362;O19:2.382;O264:2.383;O26:2.458;O22:2.524;O260:2.554;O141:2.616;N247:4.353;N128:4.496;N146:4.503;N265:4.518;N9:4.523;N27:4.588
148,4c1137e8e97b,Ho,67,3,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,"[1, 7, 10, 12, 15, 19, 23]",7,8,1,water,67|COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig1_water_4c1137e8e97b.xyz,1,standard,2015754072,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_water_4c1137e8e97b_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_water_4c1137e8e97b_attempt01_standard.mol2,-2443.2892337095354,,OK,nearest_coreCN_qc_ok,O16:2.129;O11:2.280;O8:2.319;O24:2.373;O13:2.512;O58:2.567;O20:2.688;O2:2.713,2.7128,3.1870,0.4742,O16:2.129;O11:2.280;O8:2.319;O24:2.373;O13:2.512;O58:2.567;O20:2.688;O2:2.713;N17:3.187;N5:3.316
184,422eaccbf51e,Lu,71,3,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,"[1, 7, 10, 12, 15, 19, 23]",7,8,1,water,71|COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Lu/Lu_Z71_ox3_CN8_nlig1_water_422eaccbf51e.xyz,1,standard,1877483095,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Lu/Lu_Z71_ox3_CN8_nlig1_water_422eaccbf51e_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Lu/Lu_Z71_ox3_CN8_nlig1_water_422eaccbf51e_attempt01_standard.mol2,-2442.3696943570553,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O11:2.050;O16:2.073;O2:2.326;O20:2.437;O24:2.521;O58:2.528;O8:2.842;O13:3.004,3.0039,3.1019,0.0980,O11:2.050;O16:2.073;O2:2.326;O20:2.437;O24:2.521;O58:2.528;O8:2.842;O13:3.004;N17:3.102;N5:3.378
184,422eaccbf51e,Lu,71,3,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,"[1, 7, 10, 12, 15, 19, 23]",7,8,1,water,71|COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Lu/Lu_Z71_ox3_CN8_nlig1_water_422eaccbf51e.xyz,2,standard,1877491014,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Lu/Lu_Z71_ox3_CN8_nlig1_water_422eaccbf51e_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Lu/Lu_Z71_ox3_CN8_nlig1_water_422eaccbf51e_attempt02_standard.mol2,-2442.0997000978923,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O16:2.015;O11:2.098;O8:2.305;O24:2.436;O2:2.531;O58:2.574;O20:2.790;N5:3.114,3.1137,3.2732,0.1595,O16:2.015;O11:2.098;O8:2.305;O24:2.436;O2:2.531;O58:2.574;O20:2.790;N5:3.114;O13:3.273;N17:3.314
220,7b3aca9f455b,Tm,69,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[6, 7, 15, 16, 19, 28, 29]",7,8,1,nitrate,69|CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tm/Tm_Z69_ox3_CN8_nlig1_nitrate_7b3aca9f455b.xyz,1,standard,469979068,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Tm/Tm_Z69_ox3_CN8_nlig1_nitrate_7b3aca9f455b_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Tm/Tm_Z69_ox3_CN8_nlig1_nitrate_7b3aca9f455b_attempt01_standard.mol2,-2683.938197823972,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N8:2.154;N17:2.240;O66:2.285;N29:2.328;N16:2.414;N20:2.455;N7:2.707;N30:3.967,3.9666,inf,inf,N8:2.154;N17:2.240;O66:2.285;N29:2.328;N16:2.414;N20:2.455;N7:2.707;N30:3.967
220,7b3aca9f455b,Tm,69,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[6, 7, 15, 16, 19, 28, 29]",7,8,1,nitrate,69|CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tm/Tm_Z69_ox3_CN8_nlig1_nitrate_7b3aca9f455b.xyz,2,standard,469986987,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Tm/Tm_Z69_ox3_CN8_nlig1_nitrate_7b3aca9f455b_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Tm/Tm_Z69_ox3_CN8_nlig1_nitrate_7b3aca9f455b_attempt02_standard.mol2,-2688.2540402565432,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N16:2.271;N8:2.317;N29:2.351;O66:2.392;N7:2.443;N30:3.005;N17:3.009;N20:4.346,4.3460,inf,inf,N16:2.271;N8:2.317;N29:2.351;O66:2.392;N7:2.443;N30:3.005;N17:3.009;N20:4.346
