queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
5,f08b024abf27,Nd,60,3,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,"[22, 25, 29]",3,9,3,nitrate,60|CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_f08b024abf27.xyz,1,standard,755613743,40,5,250,0,accepted,True,tri_mer_bent,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_f08b024abf27_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_f08b024abf27_attempt01_standard.mol2,-13358.96329303373,,OK,nearest_coreCN_qc_ok,O173:2.196;O166:2.323;O23:2.337;O312:2.347;O30:2.352;O169:2.483;O316:2.511;O26:2.702;O309:2.730,2.7298,4.1771,1.4473,O173:2.196;O166:2.323;O23:2.337;O312:2.347;O30:2.352;O169:2.483;O316:2.511;O26:2.702;O309:2.730;N154:4.177;N174:4.283;N31:4.545;N11:4.553;N317:4.621;N297:4.736
41,ed83b77205f9,Pr,59,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,9,1,water,59|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig1_water_ed83b77205f9.xyz,1,standard,1823109890,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Pr/Pr_Z59_ox3_CN9_nlig1_water_ed83b77205f9_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Pr/Pr_Z59_ox3_CN9_nlig1_water_ed83b77205f9_attempt01_standard.mol2,-4795.045899721968,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O60:2.306;O52:2.449;O114:2.559;N57:2.565;N54:2.575;O111:2.578;O117:2.650;N44:4.490;N7:4.498,4.4977,inf,inf,O60:2.306;O52:2.449;O114:2.559;N57:2.565;N54:2.575;O111:2.578;O117:2.650;N44:4.490;N7:4.498
41,ed83b77205f9,Pr,59,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,9,1,water,59|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig1_water_ed83b77205f9.xyz,2,standard,1823117809,50,6,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
77,7218af7f73e0,Dy,66,3,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,"[11, 20]",2,8,4,nitrate,66|CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig4_nitrate_7218af7f73e0.xyz,1,standard,404819737,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Dy/Dy_Z66_ox3_CN8_nlig4_nitrate_7218af7f73e0_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Dy/Dy_Z66_ox3_CN8_nlig4_nitrate_7218af7f73e0_attempt01_standard.mol2,-10823.457335308553,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O97:2.128;O191:2.194;O21:2.415;O182:2.500;O12:2.541;O106:2.745;O276:3.650;O267:3.858,3.8580,3.9484,0.0903,O97:2.128;O191:2.194;O21:2.415;O182:2.500;O12:2.541;O106:2.745;O276:3.650;O267:3.858;N94:3.948;N192:4.276;N22:4.575;N179:4.653;N9:4.730;N107:4.861;N277:5.913;N264:5.979
77,7218af7f73e0,Dy,66,3,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,"[11, 20]",2,8,4,nitrate,66|CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig4_nitrate_7218af7f73e0.xyz,2,standard,404827656,50,6,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Dy/Dy_Z66_ox3_CN8_nlig4_nitrate_7218af7f73e0_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Dy/Dy_Z66_ox3_CN8_nlig4_nitrate_7218af7f73e0_attempt02_standard.mol2,-10825.037384162182,,OK,nearest_coreCN_qc_ok,O106:2.359;O12:2.362;O182:2.406;O97:2.435;O191:2.494;O267:2.538;O276:2.560;O21:2.577,2.5771,4.5270,1.9499,O106:2.359;O12:2.362;O182:2.406;O97:2.435;O191:2.494;O267:2.538;O276:2.560;O21:2.577;N107:4.527;N9:4.556;N179:4.610;N94:4.633;N192:4.729;N22:4.768;N264:4.785;N277:4.812
113,a61bb065986b,Dy,66,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,8,1,water,66|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig1_water_a61bb065986b.xyz,1,standard,1377229706,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Dy/Dy_Z66_ox3_CN8_nlig1_water_a61bb065986b_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Dy/Dy_Z66_ox3_CN8_nlig1_water_a61bb065986b_attempt01_standard.mol2,-4652.408046874434,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O52:2.109;O60:2.266;N57:2.389;N54:2.424;O111:2.431;O114:2.441;N44:3.606;N7:4.370,4.3700,inf,inf,O52:2.109;O60:2.266;N57:2.389;N54:2.424;O111:2.431;O114:2.441;N44:3.606;N7:4.370
113,a61bb065986b,Dy,66,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,8,1,water,66|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig1_water_a61bb065986b.xyz,2,standard,1377237625,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Dy/Dy_Z66_ox3_CN8_nlig1_water_a61bb065986b_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Dy/Dy_Z66_ox3_CN8_nlig1_water_a61bb065986b_attempt02_standard.mol2,-4653.352472414821,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O60:2.178;O52:2.195;O114:2.365;N57:2.401;N54:2.401;O111:2.621;N44:4.044;N7:4.204,4.2037,inf,inf,O60:2.178;O52:2.195;O114:2.365;N57:2.401;N54:2.401;O111:2.621;N44:4.044;N7:4.204
149,3095c50fd4a6,Nd,60,3,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,"[17, 19, 22]",3,9,3,water,60|CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig3_water_3095c50fd4a6.xyz,1,standard,84916450,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_water_3095c50fd4a6_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_water_3095c50fd4a6_attempt01_standard.mol2,-10257.77588817505,,OK,nearest_coreCN_qc_ok,O232:2.252;O23:2.294;O130:2.331;O237:2.340;O18:2.342;O127:2.563;O125:2.595;O234:2.603;O20:2.799,2.7990,4.0837,1.2847,O232:2.252;O23:2.294;O130:2.331;O237:2.340;O18:2.342;O127:2.563;O125:2.595;O234:2.603;O20:2.799;N238:4.084;N229:4.294;N24:4.403;N15:4.479;N131:4.486;N122:4.569
185,1f1106359435,Eu,63,3,CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,"[10, 14, 18, 30]",4,9,2,nitrate,63|CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_1f1106359435.xyz,1,standard,1724577200,40,5,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
185,1f1106359435,Eu,63,3,CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,"[10, 14, 18, 30]",4,9,2,nitrate,63|CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_1f1106359435.xyz,2,standard,1724585119,50,6,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
221,f5a4d693ef5a,Eu,63,3,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,"[15, 17, 20]",3,9,3,water,63|CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_water_f5a4d693ef5a.xyz,1,standard,465142881,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_water_f5a4d693ef5a_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_water_f5a4d693ef5a_attempt01_standard.mol2,-9224.99328272386,,OK,nearest_coreCN_qc_ok,O116:2.141;O21:2.225;O206:2.330;O113:2.487;O211:2.550;O111:2.561;O18:2.595;O208:2.617;O16:2.660,2.6599,3.9489,1.2890,O116:2.141;O21:2.225;O206:2.330;O113:2.487;O211:2.550;O111:2.561;O18:2.595;O208:2.617;O16:2.660;N22:3.949;N117:3.957;N203:4.381;N108:4.717;N212:4.728;N13:4.832
