queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,attempts_run,best_qc_class,best_coreCN_max_dist,best_gap_after_coreCN,best_xyz_path,best_failed_xyz_path,failure_note,accepted_for_clean_3d_features,ligtype_override
1,1deb3f946bab,Ce,58,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 10, 13, 14, 17]",8,9,1,nitrate,58|O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O|nitrate,2,FAIL_LONG_BOND,3.407,1.0036,data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_1deb3f946bab_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_1deb3f946bab_attempt02_standard_dup2.xyz,coreCN_max_dist>3.10,False,
2,23bc11341179,Ce,58,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,9,1,nitrate,58|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|nitrate,2,FAIL_LONG_BOND,3.2927,0.3734,data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_23bc11341179_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_23bc11341179_attempt01_standard_dup2.xyz,no_structures_returned,False,
3,436f63f21bbe,Ce,58,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[6, 7, 15, 16, 19, 28, 29]",7,9,1,nitrate,58|CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C|nitrate,2,FAIL_LONG_BOND,3.2259,0.0757,data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_436f63f21bbe_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_436f63f21bbe_attempt01_standard_dup2.xyz,coreCN_max_dist>3.10,False,
4,4de900a55128,Ce,58,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[9, 22, 23, 26, 35, 36, 37, 38]",8,9,1,nitrate,58|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,2,FAIL_LONG_BOND,4.3499,inf,data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_4de900a55128_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_4de900a55128_attempt02_standard_dup2.xyz,coreCN_max_dist>3.10,False,
5,6774552a35e9,Ce,58,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 8, 15, 18, 19]",8,9,1,nitrate,58|O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O|nitrate,2,FAIL_LONG_BOND,3.8333,1.3385,data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_6774552a35e9_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_6774552a35e9_attempt01_standard_dup2.xyz,coreCN_max_dist>3.10,False,
6,70e091c4e6a2,Ce,58,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[6, 7, 20, 21, 34, 35, 36, 37]",8,9,1,nitrate,58|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|nitrate,2,FAIL_LONG_BOND,4.0812,inf,data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_70e091c4e6a2_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_70e091c4e6a2_attempt01_standard_dup2.xyz,no_structures_returned,False,
7,9fa96db16fe2,Ce,58,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[4, 5, 13, 14, 23, 24, 25]",7,9,1,nitrate,58|CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC|nitrate,2,FAIL_LONG_BOND,3.1585,0.3007,data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_9fa96db16fe2_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_9fa96db16fe2_attempt01_standard_dup2.xyz,coreCN_max_dist>3.10,False,
8,1e103e29e69e,Ce,58,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,9,1,water,58|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|water,2,FAIL_LONG_BOND,4.3586,inf,data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_water_1e103e29e69e_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Ce/Ce_Z58_ox3_CN9_nlig1_water_1e103e29e69e_attempt01_standard_dup2.xyz,coreCN_max_dist>3.10,False,
9,8891c25d4c67,Ce,58,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]",4,9,2,nitrate,58|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,2,,,,,,no_structures_returned,False,tetra_trigonal_pyramidal
20,7fca7db38c62,Dy,66,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[9, 22, 23, 26, 35, 36, 37, 38]",8,8,1,nitrate,66|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,2,FAIL_LONG_BOND,3.9894,inf,data/processed/geometries_regenerated_fail_long_bond/rejected/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_7fca7db38c62_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_7fca7db38c62_attempt01_standard_dup2.xyz,coreCN_max_dist>3.10,False,
